N1	N2	time	env
250.000000	250.000000	0.000000	20.000000
286.458848	372.723600	1.000000	19.382175
340.642913	502.297922	2.000000	20.506202
380.172742	756.478686	3.000000	18.929500
422.931278	1111.942404	4.000000	19.076219
453.687159	1659.000638	5.000000	18.276889
491.794275	2315.836188	6.000000	19.036384
530.793889	3053.615372	7.000000	19.374906
586.058372	3582.722125	8.000000	20.398210
605.195990	4506.417498	9.000000	19.006918
617.919333	5350.266114	10.000000	19.221635
642.951733	5752.897740	11.000000	20.114192
638.086658	6469.381759	12.000000	19.128477
617.943948	7155.995644	13.000000	18.797018
587.700247	7746.415336	14.000000	18.591740
562.296502	8040.104982	15.000000	19.000632
541.587519	8135.050587	16.000000	19.273146
509.855628	8432.173804	17.000000	18.669505
492.826158	8316.109674	18.000000	19.461707
473.992884	8331.156647	19.000000	19.267384
463.145895	8164.562845	20.000000	19.646793
446.370001	8254.117956	21.000000	19.221157
416.952723	8616.763269	22.000000	18.368877
388.110314	8856.379851	23.000000	18.401005
370.156333	8748.282529	24.000000	19.146969
346.753180	8893.026655	25.000000	18.586370
336.301973	8595.447923	26.000000	19.535662
326.930838	8443.243727	27.000000	19.464659
328.420498	7967.480562	28.000000	20.172728
318.345020	8180.210598	29.000000	19.119855
315.676168	8026.336028	30.000000	19.764401
305.219727	8245.053397	31.000000	19.062799
293.123737	8433.033479	32.000000	18.965359
280.232735	8581.510597	33.000000	18.910466
262.700310	8850.389794	34.000000	18.405404
252.199199	8755.187254	35.000000	19.161933
243.029074	8676.123604	36.000000	19.206790
232.249470	8735.995249	37.000000	18.942751
232.129082	8229.051026	38.000000	20.058628
228.649504	8191.341291	39.000000	19.521110
231.560942	7829.191096	40.000000	20.157888
224.334511	8174.025129	41.000000	18.920457
219.321840	8257.126856	42.000000	19.301418
208.269381	8598.808865	43.000000	18.543346
202.581744	8526.938364	44.000000	19.327983
195.569736	8581.746938	45.000000	19.097115
188.451597	8632.649298	46.000000	19.063147
179.006521	8808.826879	47.000000	18.686373
175.917981	8517.477107	48.000000	19.630082
174.935205	8245.666460	49.000000	19.797354
176.271011	7959.280907	50.000000	20.002795
172.762893	8155.096292	51.000000	19.215543
166.978364	8403.979260	52.000000	18.928163
166.053567	8201.743915	53.000000	19.745124
160.991424	8399.894113	54.000000	19.023336
158.606197	8318.466097	55.000000	19.509742
153.709616	8467.082267	56.000000	19.054287
151.532256	8346.394557	57.000000	19.544018
147.845397	8411.934501	58.000000	19.232645
145.719848	8327.970051	59.000000	19.509978
145.448614	8137.500414	60.000000	19.779333
142.061087	8302.113241	61.000000	19.164010
140.415430	8247.717587	62.000000	19.528884
142.264144	7915.558363	63.000000	20.090534
145.382051	7656.668028	64.000000	20.166271
144.834768	7841.314373	65.000000	19.464414
139.506355	8286.434563	66.000000	18.650810
131.581381	8713.077473	67.000000	18.244335
129.004859	8538.868859	68.000000	19.479865
131.089860	8007.547799	69.000000	20.248921
127.544383	8286.062259	70.000000	18.987352
126.504124	8209.185872	71.000000	19.590051
122.764415	8418.723205	72.000000	19.001768
118.376305	8592.248464	73.000000	18.918137
116.977023	8399.028608	74.000000	19.609525
115.053680	8368.394664	75.000000	19.416172
115.881349	8063.672158	76.000000	19.971024
116.924474	7905.147868	77.000000	19.899275
120.577681	7552.876306	78.000000	20.338449
122.893062	7538.213121	79.000000	19.943625
121.848564	7847.703260	80.000000	19.265726
123.619129	7733.317632	81.000000	19.951301
124.319224	7784.906024	82.000000	19.700769
126.378624	7677.321315	83.000000	19.976751
123.366066	8080.842981	84.000000	18.920436
117.923093	8498.136533	85.000000	18.517709
113.759456	8629.902101	86.000000	18.959099
113.202688	8331.783298	87.000000	19.785425
110.714361	8403.698913	88.000000	19.241194
112.472046	7969.779976	89.000000	20.174665
110.257986	8199.505910	90.000000	19.146382
108.665559	8255.284261	91.000000	19.377372
109.068088	8062.827655	92.000000	19.840517
107.849416	8152.255093	93.000000	19.402608
104.879440	8380.018011	94.000000	19.008449
106.490717	7971.044295	95.000000	20.148366
106.390075	7989.860192	96.000000	19.616146
109.691925	7600.524237	97.000000	20.352737
106.871061	8067.194001	98.000000	18.809932
106.980357	8011.302990	99.000000	19.702240
107.949411	7887.119333	100.000000	19.870443
109.849369	7723.814608	101.000000	20.020513
108.401967	8003.962868	102.000000	19.208185
102.900373	8519.385139	103.000000	18.250295
104.727370	7999.096720	104.000000	20.248577
105.165265	7942.774723	105.000000	19.748455
104.629246	8026.057884	106.000000	19.501048
104.377451	8034.751139	107.000000	19.600355
103.360280	8125.301615	108.000000	19.421478
102.797572	8118.806975	109.000000	19.564189
102.143423	8127.072777	110.000000	19.538260
102.613311	7998.611843	111.000000	19.805039
97.395932	8519.877987	112.000000	18.236126
97.543538	8214.980172	113.000000	19.876249
95.372177	8360.374241	114.000000	19.165033
92.706223	8496.379784	115.000000	19.072268
95.268328	7866.277360	116.000000	20.442421
95.115422	7954.952377	117.000000	19.544389
95.993103	7867.747122	118.000000	19.839114
96.146130	7917.613649	119.000000	19.624039
96.059974	7970.934451	120.000000	19.583646
99.647950	7518.965972	121.000000	20.469226
101.751813	7514.139927	122.000000	19.950255
104.312970	7461.410952	123.000000	20.042927
105.030088	7649.057341	124.000000	19.596791
103.947558	7937.011809	125.000000	19.244699
103.904068	7969.129415	126.000000	19.612327
101.867238	8203.808918	127.000000	19.137561
100.171131	8288.565327	128.000000	19.312390
96.598335	8539.590712	129.000000	18.832763
94.733838	8481.604477	130.000000	19.375997
92.608519	8492.663349	131.000000	19.269216
89.546204	8618.996554	132.000000	18.986532
89.177510	8335.274164	133.000000	19.772144
86.209323	8545.281887	134.000000	18.906723
84.346135	8518.681481	135.000000	19.306442
83.419415	8380.477259	136.000000	19.561520
85.048315	7933.679095	137.000000	20.216943
82.878361	8260.069586	138.000000	18.937248
83.830499	7986.190249	139.000000	19.992883
81.976141	8252.509584	140.000000	19.052112
80.628942	8323.034302	141.000000	19.314013
78.353277	8490.405677	142.000000	19.030131
74.923429	8737.808651	143.000000	18.661915
71.976669	8817.180544	144.000000	18.896882
71.633858	8441.010753	145.000000	19.811131
71.617647	8221.901066	146.000000	19.776353
70.724043	8269.658386	147.000000	19.389916
71.055584	8085.098196	148.000000	19.825697
67.182302	8613.180272	149.000000	18.115015
65.224746	8650.013532	150.000000	19.113233
65.604283	8239.199838	151.000000	19.987290
66.042594	8050.430783	152.000000	19.854815
67.167065	7836.271982	153.000000	20.021565
66.551654	8045.422119	154.000000	19.307908
66.742942	8007.762777	155.000000	19.691067
67.886557	7815.228011	156.000000	20.008830
68.992691	7736.379125	157.000000	19.917835
69.148233	7864.541913	158.000000	19.554795
66.263455	8384.826229	159.000000	18.408679
67.082409	8041.741301	160.000000	20.040023
67.112603	8034.741345	161.000000	19.631866
67.178573	8025.046233	162.000000	19.642004
66.462649	8156.363641	163.000000	19.349251
64.462416	8434.781518	164.000000	18.886288
66.618282	7786.804589	165.000000	20.513534
67.206713	7813.690003	166.000000	19.730986
66.978881	7968.956282	167.000000	19.444781
65.469246	8258.680588	168.000000	19.011633
62.674473	8613.332187	169.000000	18.567605
60.447745	8723.594916	170.000000	18.933011
59.917069	8460.897483	171.000000	19.666958
60.097004	8198.707137	172.000000	19.846377
60.546012	8026.526767	173.000000	19.851532
59.694035	8200.071997	174.000000	19.253852
58.845932	8287.309650	175.000000	19.322308
57.924997	8346.414192	176.000000	19.320488
57.112593	8356.204772	177.000000	19.385181
55.541401	8514.150840	178.000000	19.034276
53.485897	8694.864178	179.000000	18.838323
51.347561	8816.619366	180.000000	18.831983
49.676342	8794.632684	181.000000	19.087731
49.380517	8463.574834	182.000000	19.749162
49.283841	8269.917839	183.000000	19.718283
48.134260	8430.806352	184.000000	19.099985
49.235683	7938.384260	185.000000	20.269514
49.106863	8033.814512	186.000000	19.493873
48.301542	8237.079877	187.000000	19.181925
47.971706	8226.653860	188.000000	19.509679
46.419626	8505.531438	189.000000	18.830493
43.733926	8889.255576	190.000000	18.187586
41.821048	8956.694994	191.000000	18.798358
40.571529	8834.254462	192.000000	19.205359
39.990231	8592.736809	193.000000	19.551182
38.958552	8620.560178	194.000000	19.160011
39.030244	8298.101531	195.000000	19.855262
37.965043	8494.447099	196.000000	18.991878
38.449946	8104.772623	197.000000	20.057816
37.762743	8295.826569	198.000000	19.160334
37.614989	8226.524895	199.000000	19.592267
37.213254	8274.379574	200.000000	19.396294
36.427211	8416.569395	201.000000	19.145562
36.568022	8186.018102	202.000000	19.823065
