N1	N2	time	env
250.000000	250.000000	0.000000	20.000000
324.870171	263.427273	1.000000	22.506983
402.065962	320.101491	2.000000	21.476186
506.656713	359.574018	3.000000	22.028306
624.445064	422.646447	4.000000	21.663389
756.005868	509.183642	5.000000	21.423571
920.176308	582.913335	6.000000	21.762144
1109.457536	660.568282	7.000000	21.783174
1316.418932	752.802665	8.000000	21.679843
1573.994288	795.871823	9.000000	22.160534
1843.944295	852.342268	10.000000	22.017025
2126.167057	907.977296	11.000000	21.995716
2390.079272	991.076697	12.000000	21.754766
2606.839513	1124.484231	13.000000	21.376548
2807.981977	1259.494442	14.000000	21.392593
3002.980591	1374.549034	15.000000	21.517233
3291.162614	1320.152844	16.000000	22.383212
3519.919249	1316.468330	17.000000	22.105053
3745.990171	1281.626463	18.000000	22.244556
3984.637631	1202.788310	19.000000	22.474294
4120.743676	1204.946976	20.000000	22.022820
4181.502107	1256.675516	21.000000	21.706934
4340.897803	1191.660718	22.000000	22.361080
4401.005179	1202.708021	23.000000	21.927451
4416.508370	1242.340269	24.000000	21.743489
4309.244414	1392.251296	25.000000	21.059984
4494.008183	1248.484191	26.000000	22.670305
4670.028956	1112.355983	27.000000	22.731245
4627.889366	1157.190460	28.000000	21.687491
4558.997449	1229.929874	29.000000	21.508934
4696.645876	1121.418773	30.000000	22.582837
4622.451386	1186.951116	31.000000	21.546497
4696.706069	1131.618511	32.000000	22.294273
4560.910468	1248.221032	33.000000	21.204456
4560.445113	1264.502818	34.000000	21.851947
4599.219630	1241.603747	35.000000	22.072547
4592.137551	1256.729430	36.000000	21.855687
4605.554348	1252.234947	37.000000	21.966077
4640.570808	1225.365027	38.000000	22.095235
4770.314312	1109.767969	39.000000	22.618062
4725.703053	1137.047000	40.000000	21.790435
4699.542798	1155.061061	41.000000	21.849984
4589.056761	1248.654878	42.000000	21.362876
4720.739863	1136.008118	43.000000	22.587994
4717.242118	1136.072400	44.000000	21.965267
4637.090893	1201.348826	45.000000	21.545330
4565.664325	1271.148078	46.000000	21.526072
4536.446147	1310.999272	47.000000	21.708383
4625.956007	1236.243288	48.000000	22.339638
4662.559477	1206.161106	49.000000	22.118735
4601.651019	1260.624956	50.000000	21.617425
4745.499395	1131.720349	51.000000	22.668088
4800.075145	1079.179328	52.000000	22.295825
4736.075587	1119.012452	53.000000	21.707650
4877.025474	999.652222	54.000000	22.724475
4756.062160	1073.152905	55.000000	21.457313
4709.270340	1108.355997	56.000000	21.745624
4791.179781	1043.870461	57.000000	22.390420
4735.809101	1081.570136	58.000000	21.727652
4856.255171	986.424942	59.000000	22.604494
4806.695738	1012.590002	60.000000	21.809797
4786.059496	1023.914768	61.000000	21.917276
4918.066450	923.064676	62.000000	22.688972
4939.166101	896.190463	63.000000	22.219840
4870.437497	928.105812	64.000000	21.766294
4735.350498	1014.888531	65.000000	21.337669
4570.719883	1147.745740	66.000000	21.033317
4697.472503	1063.222226	67.000000	22.503224
4632.250407	1125.111332	68.000000	21.570547
4792.847581	1005.955255	69.000000	22.728870
4804.212800	996.610612	70.000000	22.067518
5780.907105	847.969232	71.000000	31.254820
6356.971334	715.360689	72.000000	32.053522
6632.294136	602.106454	73.000000	32.425004
7051.606887	505.871717	74.000000	32.048516
7513.148792	423.159953	75.000000	31.759907
7436.974931	354.052002	76.000000	32.518105
7874.474497	296.009244	77.000000	31.619562
7806.853223	247.297772	78.000000	32.341220
7937.089181	206.904435	79.000000	32.049017
7655.326414	173.739058	80.000000	32.652780
7488.702683	146.751652	81.000000	32.629056
7860.121718	123.816479	82.000000	31.787326
8004.996593	104.050883	83.000000	32.018541
7740.399036	87.648959	84.000000	32.610747
8094.740086	73.792465	85.000000	31.682382
8427.917088	61.740839	86.000000	31.489137
8635.291200	51.411195	87.000000	31.536226
7935.069958	43.072306	88.000000	32.897916
8242.241009	36.213917	89.000000	31.669098
8683.290097	30.227731	90.000000	31.082246
8720.739693	25.123765	91.000000	31.721838
8353.382619	20.962021	92.000000	32.394274
8450.707964	17.534076	93.000000	31.829326
8331.016060	14.674526	94.000000	32.159318
7498.192621	12.407960	95.000000	33.220285
8117.062821	10.504390	96.000000	31.208276
8616.006266	8.795000	97.000000	31.028599
8902.268271	7.307539	98.000000	31.196742
8728.545372	6.067206	99.000000	31.975792
8589.218006	5.053331	100.000000	32.026739
8941.991733	4.198685	101.000000	31.021662
9065.513662	3.472642	102.000000	31.333822
9361.968919	2.859858	103.000000	30.587619
9237.388402	2.351957	104.000000	31.551537
9199.157617	1.937319	105.000000	31.464699
8745.615856	1.604231	106.000000	32.250745
8911.266636	1.331606	107.000000	31.400175
8896.036937	1.103805	108.000000	31.672031
9084.837486	0.913264	109.000000	31.204994
8602.049166	0.758250	110.000000	32.363029
8777.767446	0.631160	111.000000	31.492901
9125.203995	0.522573	112.000000	30.813656
9061.990924	0.000000	113.000000	31.610180
