N1		N2		time
250.000000	250.000000	0.000000
261.934246	249.323379	0.100000	28.192945
274.421817	248.643361	0.200000	28.192945
287.486756	247.959708	0.300000	28.192945
301.153991	247.272173	0.400000	28.192945
315.449359	246.580501	0.500000	28.192945
330.399612	245.884426	0.600000	28.192945
346.032441	245.183675	0.700000	28.192945
362.376478	244.477965	0.800000	28.192945
379.461317	243.767001	0.900000	28.192945
397.317514	243.050481	1.000000	28.192945
395.961572	242.332906	1.100000	42.833182
394.613490	241.618968	1.200000	42.833182
393.273202	240.908639	1.300000	42.833182
391.940640	240.201891	1.400000	42.833182
390.615738	239.498697	1.500000	42.833182
389.298434	238.799031	1.600000	42.833182
387.988661	238.102864	1.700000	42.833182
386.686357	237.410172	1.800000	42.833182
385.391460	236.720927	1.900000	42.833182
384.103906	236.035105	2.000000	42.833182
393.102220	239.331187	2.100000	21.914563
402.290377	242.664861	2.200000	21.914563
411.671421	246.036278	2.300000	21.914563
421.248402	249.445577	2.400000	21.914563
431.024368	252.892889	2.500000	21.914563
441.002370	256.378335	2.600000	21.914563
451.185455	259.902024	2.700000	21.914563
461.576663	263.464056	2.800000	21.914563
472.179025	267.064517	2.900000	21.914563
482.995562	270.703484	3.000000	21.914563
481.831102	271.511175	3.100000	11.204403
480.671464	272.320808	3.200000	11.204403
479.516614	273.132380	3.300000	11.204403
478.366518	273.945889	3.400000	11.204403
477.221142	274.761333	3.500000	11.204403
476.080451	275.578710	3.600000	11.204403
474.944413	276.398016	3.700000	11.204403
473.812995	277.219250	3.800000	11.204403
472.686163	278.042409	3.900000	11.204403
471.563885	278.867490	4.000000	11.204403
469.751016	277.953369	4.100000	0.468278
467.950197	277.044508	4.200000	0.468278
466.161310	276.140862	4.300000	0.468278
464.384238	275.242384	4.400000	0.468278
462.618867	274.349031	4.500000	0.468278
460.865082	273.460757	4.600000	0.468278
459.122772	272.577520	4.700000	0.468278
457.391826	271.699276	4.800000	0.468278
455.672135	270.825981	4.900000	0.468278
453.963591	269.957595	5.000000	0.468278
473.722185	269.088338	5.100000	26.929688
494.291796	268.212235	5.200000	26.929688
515.701354	267.328939	5.300000	26.929688
537.980436	266.438095	5.400000	26.929688
561.159244	265.539337	5.500000	26.929688
585.268576	264.632293	5.600000	26.929688
610.339803	263.716581	5.700000	26.929688
636.404825	262.791809	5.800000	26.929688
663.496038	261.857579	5.900000	26.929688
691.646284	260.913483	6.000000	26.929688
690.199245	264.891570	6.100000	13.001725
688.754693	268.925702	6.200000	13.001725
687.312541	273.016513	6.300000	13.001725
685.872699	277.164642	6.400000	13.001725
684.435080	281.370730	6.500000	13.001725
682.999594	285.635419	6.600000	13.001725
681.566153	289.959353	6.700000	13.001725
680.134670	294.343178	6.800000	13.001725
678.705056	298.787542	6.900000	13.001725
677.277224	303.293092	7.000000	13.001725
680.818438	317.890141	7.100000	17.306407
684.345636	333.162493	7.200000	17.306407
687.857510	349.138843	7.300000	17.306407
691.352700	365.848861	7.400000	17.306407
694.829788	383.323203	7.500000	17.306407
698.287301	401.593518	7.600000	17.306407
701.723704	420.692450	7.700000	17.306407
705.137401	440.653643	7.800000	17.306407
708.526737	461.511730	7.900000	17.306407
711.889987	483.302333	8.000000	17.306407
721.332151	480.990957	8.100000	33.980736
730.868247	478.687074	8.200000	33.980736
740.498336	476.390574	8.300000	33.980736
750.222453	474.101351	8.400000	33.980736
760.040607	471.819300	8.500000	33.980736
769.952780	469.544319	8.600000	33.980736
779.958928	467.276306	8.700000	33.980736
790.058979	465.015165	8.800000	33.980736
800.252832	462.760797	8.900000	33.980736
810.540358	460.513110	9.000000	33.980736
805.764571	458.278948	9.100000	37.719365
801.039512	456.065030	9.200000	37.719365
796.364386	453.871075	9.300000	37.719365
791.738414	451.696808	9.400000	37.719365
787.160832	449.541959	9.500000	37.719365
782.630893	447.406263	9.600000	37.719365
778.147864	445.289461	9.700000	37.719365
773.711030	443.191298	9.800000	37.719365
769.319686	441.111522	9.900000	37.719365
764.973144	439.049888	10.000000	37.719365
761.958989	440.511757	10.100000	11.555892
758.965886	441.977912	10.200000	11.555892
755.993595	443.448338	10.300000	11.555892
753.041879	444.923015	10.400000	11.555892
750.110505	446.401927	10.500000	11.555892
747.199242	447.885054	10.600000	11.555892
744.307864	449.372379	10.700000	11.555892
741.436148	450.863884	10.800000	11.555892
738.583875	452.359551	10.900000	11.555892
735.750828	453.859361	11.000000	11.555892
767.477964	451.723553	11.100000	27.467348
800.447209	449.573529	11.200000	27.467348
834.696080	447.408493	11.300000	27.467348
870.262254	445.227639	11.400000	27.467348
907.183466	443.030152	11.500000	27.467348
945.497408	440.815211	11.600000	27.467348
985.241615	438.581987	11.700000	27.467348
1026.453334	436.329648	11.800000	27.467348
1069.169399	434.057358	11.900000	27.467348
1113.426082	431.764279	12.000000	27.467348
1161.364483	429.448680	12.100000	28.362856
1211.076832	427.108766	12.200000	28.362856
1262.603484	424.743597	12.300000	28.362856
1315.983496	422.352241	12.400000	28.362856
1371.254390	419.933772	12.500000	28.362856
1428.451921	417.487276	12.600000	28.362856
1487.609818	415.011850	12.700000	28.362856
1548.759526	412.506610	12.800000	28.362856
1611.929935	409.970692	12.900000	28.362856
1677.147103	407.403254	13.000000	28.362856
1666.189831	415.405660	13.100000	13.698216
1655.367535	423.557372	13.200000	13.698216
1644.676922	431.860574	13.300000	13.698216
1634.114782	440.317456	13.400000	13.698216
1623.677994	448.930215	13.500000	13.698216
1613.363513	457.701048	13.600000	13.698216
1603.168375	466.632159	13.700000	13.698216
1593.089690	475.725750	13.800000	13.698216
1583.124641	484.984024	13.900000	13.698216
1573.270481	494.409183	14.000000	13.698216
1633.084029	491.147022	14.100000	31.353206
1694.668325	487.855152	14.200000	31.353206
1758.037364	484.532812	14.300000	31.353206
1823.202203	481.179278	14.400000	31.353206
1890.170752	477.793868	14.500000	31.353206
1958.947567	474.375948	14.600000	31.353206
2029.533652	470.924932	14.700000	31.353206
2101.926258	467.440288	14.800000	31.353206
2176.118704	463.921543	14.900000	31.353206
2252.100192	460.368285	15.000000	31.353206
2224.350841	457.323685	15.100000	9.151354
2197.257883	454.330991	15.200000	9.151354
2170.798393	451.388749	15.300000	9.151354
2144.950498	448.495560	15.400000	9.151354
2119.693320	445.650080	15.500000	9.151354
2095.006921	442.851019	15.600000	9.151354
2070.872246	440.097131	15.700000	9.151354
2047.271081	437.387219	15.800000	9.151354
2024.185999	434.720130	15.900000	9.151354
2001.600327	432.094754	16.000000	9.151354
2052.440092	429.013426	16.100000	24.341866
2104.045213	425.917013	16.200000	24.341866
2156.400709	422.805553	16.300000	24.341866
2209.490224	419.679112	16.400000	24.341866
2263.296028	416.537787	16.500000	24.341866
2317.799020	413.381708	16.600000	24.341866
2372.978733	410.211034	16.700000	24.341866
2428.813348	407.025957	16.800000	24.341866
2485.279714	403.826703	16.900000	24.341866
2542.353373	400.613528	17.000000	24.341866
2547.418833	414.864432	17.100000	19.371463
2552.356606	429.586866	17.200000	19.371463
2557.165108	444.794144	17.300000	19.371463
2561.842721	460.499800	17.400000	19.371463
2566.387789	476.717580	17.500000	19.371463
2570.798625	493.461432	17.600000	19.371463
2575.073501	510.745498	17.700000	19.371463
2579.210656	528.584099	17.800000	19.371463
2583.208292	546.991727	17.900000	19.371463
2587.064574	565.983026	18.000000	19.371463
2548.775062	560.966450	18.100000	-0.351760
2511.551237	556.050127	18.200000	-0.351760
2475.349443	551.230775	18.300000	-0.351760
2440.128374	546.505260	18.400000	-0.351760
2405.848916	541.870589	18.500000	-0.351760
2372.474001	537.323902	18.600000	-0.351760
2339.968481	532.862465	18.700000	-0.351760
2308.299001	528.483661	18.800000	-0.351760
2277.433887	524.184986	18.900000	-0.351760
2247.343044	519.964042	19.000000	-0.351760
2225.428716	528.325172	19.100000	13.526782
2203.930103	536.821432	19.200000	13.526782
2182.834209	545.454200	19.300000	13.526782
2162.128547	554.224846	19.400000	13.526782
2141.801119	563.134735	19.500000	13.526782
2121.840387	572.185222	19.600000	13.526782
2102.235256	581.377653	19.700000	13.526782
2082.975050	590.713359	19.800000	13.526782
2064.049494	600.193662	19.900000	13.526782
2045.448693	609.819869	20.000000	13.526782
2053.346467	631.692151	20.100000	19.317575
2061.102464	654.265981	20.200000	19.317575
2068.713394	677.558391	20.300000	19.317575
2076.175940	701.586455	20.400000	19.317575
2083.486759	726.367253	20.500000	19.317575
2090.642480	751.917844	20.600000	19.317575
2097.639711	778.255225	20.700000	19.317575
2104.475037	805.396302	20.800000	19.317575
2111.145021	833.357844	20.900000	19.317575
2117.646212	862.156448	21.000000	19.317575
2177.810547	853.974341	21.100000	25.438400
2239.041197	845.801785	21.200000	25.438400
2301.320279	837.638188	21.300000	25.438400
2364.627706	829.483048	21.400000	25.438400
2428.941171	821.335953	21.500000	25.438400
2494.236135	813.196584	21.600000	25.438400
2560.485824	805.064715	21.700000	25.438400
2627.661240	796.940213	21.800000	25.438400
2695.731175	788.823039	21.900000	25.438400
2764.662243	780.713246	22.000000	25.438400
2723.968007	776.974389	22.100000	11.038441
2684.430910	773.329746	22.200000	11.038441
2646.002357	769.776058	22.300000	11.038441
2608.636435	766.310220	22.400000	11.038441
2572.289725	762.929274	22.500000	11.038441
2536.921140	759.630398	22.600000	11.038441
2502.491771	756.410901	22.700000	11.038441
2468.964741	753.268211	22.800000	11.038441
2436.305075	750.199872	22.900000	11.038441
2404.479583	747.203537	23.000000	11.038441
2391.351409	778.742563	23.100000	16.825544
2378.297667	811.503635	23.200000	16.825544
2365.311214	845.523797	23.300000	16.825544
2352.384966	880.840306	23.400000	16.825544
2339.511893	917.490545	23.500000	16.825544
2326.685026	955.511920	23.600000	16.825544
2313.897451	994.941762	23.700000	16.825544
2301.142314	1035.817204	23.800000	16.825544
2288.412822	1078.175067	23.900000	16.825544
2275.702245	1122.051719	24.000000	16.825544
2253.209898	1148.517637	24.100000	14.496285
2231.069537	1175.503188	24.200000	14.496285
2209.269018	1203.011754	24.300000	14.496285
2187.796671	1231.046386	24.400000	14.496285
2166.641275	1259.609788	24.500000	14.496285
2145.792047	1288.704297	24.600000	14.496285
2125.238614	1318.331867	24.700000	14.496285
2104.971005	1348.494054	24.800000	14.496285
2084.979626	1379.191993	24.900000	14.496285
2065.255253	1410.426386	25.000000	14.496285
2037.798040	1394.856380	25.100000	9.033018
2011.040296	1379.639215	25.200000	9.033018
1984.955808	1364.762831	25.300000	9.033018
1959.519650	1350.215718	25.400000	9.033018
1934.708107	1335.986883	25.500000	9.033018
1910.498603	1322.065824	25.600000	9.033018
1886.869635	1308.442499	25.700000	9.033018
1863.800705	1295.107303	25.800000	9.033018
1841.272268	1282.051044	25.900000	9.033018
1819.265673	1269.264920	26.000000	9.033018
1805.256332	1301.710500	26.100000	14.662200
1791.362427	1334.803999	26.200000	14.662200
1777.579636	1368.548024	26.300000	14.662200
1763.903780	1402.944618	26.400000	14.662200
1750.330818	1437.995230	26.500000	14.662200
1736.856843	1473.700691	26.600000	14.662200
1723.478084	1510.061190	26.700000	14.662200
1710.190901	1547.076249	26.800000	14.662200
1696.991782	1584.744698	26.900000	14.662200
1683.877347	1623.064652	27.000000	14.662200
1663.669565	1603.890826	27.100000	8.361728
1643.930751	1585.157023	27.200000	8.361728
1624.644786	1566.848255	27.300000	8.361728
1605.796280	1548.950203	27.400000	8.361728
1587.370532	1531.449190	27.500000	8.361728
1569.353494	1514.332136	27.600000	8.361728
1551.731730	1497.586531	27.700000	8.361728
1534.492389	1481.200402	27.800000	8.361728
1517.623170	1465.162288	27.900000	8.361728
1501.112292	1449.461207	28.000000	8.361728
1491.176646	1484.730001	28.100000	14.575400
1481.274823	1520.616614	28.200000	14.575400
1471.404964	1557.119589	28.300000	14.575400
1461.565283	1594.236809	28.400000	14.575400
1451.754063	1631.965477	28.500000	14.575400
1441.969659	1670.302091	28.600000	14.575400
1432.210496	1709.242435	28.700000	14.575400
1422.475070	1748.781562	28.800000	14.575400
1412.761952	1788.913774	28.900000	14.575400
1403.069783	1829.632616	29.000000	14.575400
1387.448936	1806.762702	29.100000	7.784935
1372.169998	1784.435386	29.200000	7.784935
1357.221753	1762.631696	29.300000	7.784935
1342.593475	1741.333528	29.400000	7.784935
1328.274898	1720.523602	29.500000	7.784935
1314.256195	1700.185415	29.600000	7.784935
1300.527953	1680.303197	29.700000	7.784935
1287.081149	1660.861870	29.800000	7.784935
1273.907135	1641.847012	29.900000	7.784935
1260.997614	1623.244823	30.000000	7.784935
1306.911697	1604.544738	30.100000	31.508042
1354.232243	1586.059650	30.200000	31.508042
1402.980769	1567.780998	30.300000	31.508042
1453.177455	1549.700528	30.400000	31.508042
1504.841004	1531.810291	30.500000	31.508042
1557.988495	1514.102636	30.600000	31.508042
1612.635244	1496.570206	30.700000	31.508042
1668.794649	1479.205933	30.800000	31.508042
1726.478047	1462.003036	30.900000	31.508042
1785.694561	1444.955014	31.000000	31.508042
1821.799407	1428.090515	31.100000	23.369721
1858.358921	1411.438545	31.200000	23.369721
1895.366217	1394.993538	31.300000	23.369721
1932.813855	1378.750149	31.400000	23.369721
1970.693847	1362.703249	31.500000	23.369721
2008.997649	1346.847922	31.600000	23.369721
2047.716167	1331.179448	31.700000	23.369721
2086.839757	1315.693307	31.800000	23.369721
2126.358227	1300.385164	31.900000	23.369721
2166.260845	1285.250866	32.000000	23.369721
2136.674987	1271.118324	32.100000	8.547799
2107.859801	1257.302437	32.200000	8.547799
2079.785783	1243.792422	32.300000	8.547799
2052.424911	1230.577989	32.400000	8.547799
2025.750551	1217.649310	32.500000	8.547799
1999.737374	1204.996995	32.600000	8.547799
1974.361279	1192.612067	32.700000	8.547799
1949.599315	1180.485941	32.800000	8.547799
1925.429620	1168.610397	32.900000	8.547799
1901.831350	1156.977569	33.000000	8.547799
1879.348551	1146.919543	33.100000	9.660395
1857.374937	1137.056122	33.200000	9.660395
1835.893528	1127.381572	33.300000	9.660395
1814.888090	1117.890386	33.400000	9.660395
1794.343091	1108.577272	33.500000	9.660395
1774.243665	1099.437142	33.600000	9.660395
1754.575577	1090.465106	33.700000	9.660395
1735.325189	1081.656455	33.800000	9.660395
1716.479432	1073.006663	33.900000	9.660395
1698.025772	1064.511366	34.000000	9.660395
1723.371928	1072.300710	34.100000	21.898686
1748.847027	1080.050197	34.200000	21.898686
1774.444687	1087.758094	34.300000	21.898686
1800.158398	1095.422687	34.400000	21.898686
1825.981533	1103.042285	34.500000	21.898686
1851.907353	1110.615221	34.600000	21.898686
1877.929014	1118.139855	34.700000	21.898686
1904.039572	1125.614574	34.800000	21.898686
1930.231993	1133.037793	34.900000	21.898686
1956.499161	1140.407959	35.000000	21.898686
1931.488706	1128.487862	35.100000	4.405836
1907.078545	1116.813415	35.200000	4.405836
1883.247491	1105.376919	35.300000	4.405836
1859.975338	1094.171000	35.400000	4.405836
1837.242805	1083.188587	35.500000	4.405836
1815.031486	1072.422902	35.600000	4.405836
1793.323799	1061.867442	35.700000	4.405836
1772.102939	1051.515965	35.800000	4.405836
1751.352841	1041.362478	35.900000	4.405836
1731.058134	1031.401224	36.000000	4.405836
1776.780068	1021.557286	36.100000	24.537373
1823.324822	1011.763617	36.200000	24.537373
1870.686198	1002.018687	36.300000	24.537373
1918.856773	992.321049	36.400000	24.537373
1967.827874	982.669338	36.500000	24.537373
2017.589555	973.062278	36.600000	24.537373
2068.130573	963.498673	36.700000	24.537373
2119.438377	953.977413	36.800000	24.537373
2171.499089	944.497474	36.900000	24.537373
2224.297499	935.057912	37.000000	24.537373
2193.691488	925.735639	37.100000	35.826795
2163.873358	916.603967	37.200000	35.826795
2134.813309	907.656825	37.300000	35.826795
2106.483020	898.888405	37.400000	35.826795
2078.855557	890.293148	37.500000	35.826795
2051.905293	881.865729	37.600000	35.826795
2025.607827	873.601047	37.700000	35.826795
1999.939912	865.494210	37.800000	35.826795
1974.879387	857.540528	37.900000	35.826795
1950.405118	849.735499	38.000000	35.826795
2022.523940	841.994249	38.100000	31.018853
2096.575677	834.233908	38.200000	31.018853
2172.557438	826.453199	38.300000	31.018853
2250.461962	818.650965	38.400000	31.018853
2330.277428	810.826174	38.500000	31.018853
2411.987258	802.977927	38.600000	31.018853
2495.569959	795.105460	38.700000	31.018853
2580.998964	787.208152	38.800000	31.018853
2668.242509	779.285531	38.900000	31.018853
2757.263526	771.337278	39.000000	31.018853
2841.383007	763.368250	39.100000	31.479776
2926.874152	755.383548	39.200000	31.479776
3013.687214	747.383441	39.300000	31.479776
3101.768336	739.368340	39.400000	31.479776
3191.059621	731.338796	39.500000	31.479776
3281.499234	723.295504	39.600000	31.479776
3373.021529	715.239298	39.700000	31.479776
3465.557194	707.171155	39.800000	31.479776
3559.033431	699.092189	39.900000	31.479776
3653.374155	691.003651	40.000000	31.479776
3591.442091	699.397801	40.100000	13.502676
3531.575103	707.950141	40.200000	13.502676
3473.668579	716.660520	40.300000	13.502676
3417.624802	725.528846	40.400000	13.502676
3363.352388	734.555073	40.500000	13.502676
3310.765784	743.739198	40.600000	13.502676
3259.784809	753.081256	40.700000	13.502676
3210.334242	762.581315	40.800000	13.502676
3162.343437	772.239468	40.900000	13.502676
3115.745987	782.055831	41.000000	13.502676
3163.229636	773.409391	41.100000	23.477476
3210.729751	764.818856	41.200000	23.477476
3258.225041	756.284270	41.300000	23.477476
3305.694236	747.805709	41.400000	23.477476
3353.116120	739.383276	41.500000	23.477476
3400.469570	731.017100	41.600000	23.477476
3447.733597	722.707333	41.700000	23.477476
3494.887382	714.454149	41.800000	23.477476
3541.910311	706.257743	41.900000	23.477476
3588.782015	698.118327	42.000000	23.477476
3517.368279	690.117878	42.100000	-1.430664
3448.637867	682.331639	42.200000	-1.430664
3382.442975	674.750182	42.300000	-1.430664
3318.646441	667.364661	42.400000	-1.430664
3257.120806	660.166756	42.500000	-1.430664
3197.747471	653.148640	42.600000	-1.430664
3140.415943	646.302938	42.700000	-1.430664
3085.023150	639.622698	42.800000	-1.430664
3031.472835	633.101354	42.900000	-1.430664
2979.674995	626.732704	43.000000	-1.430664
3081.029739	620.417017	43.100000	29.369668
3184.243482	614.058796	43.200000	29.369668
3289.244128	607.658579	43.300000	29.369668
3395.952832	601.217070	43.400000	29.369668
3504.284121	594.735149	43.500000	29.369668
3614.146075	588.213871	43.600000	29.369668
3725.440554	581.654463	43.700000	29.369668
3838.063475	575.058328	43.800000	29.369668
3951.905141	568.427044	43.900000	29.369668
4066.850624	561.762355	44.000000	29.369668
4142.740691	555.088287	44.100000	32.205214
4218.503417	548.428612	44.200000	32.205214
4294.083740	541.784852	44.300000	32.205214
4369.427159	535.158554	44.400000	32.205214
4444.479888	528.551285	44.500000	32.205214
4519.189011	521.964631	44.600000	32.205214
4593.502625	515.400188	44.700000	32.205214
4667.369986	508.859564	44.800000	32.205214
4740.741642	502.344368	44.900000	32.205214
4813.569554	495.856208	45.000000	32.205214
4691.458798	489.492279	45.100000	37.393415
4575.227503	483.340295	45.200000	37.393415
4464.461942	477.388392	45.300000	37.393415
4358.786289	471.625629	45.400000	37.393415
4257.858377	466.041896	45.500000	37.393415
4161.366013	460.627836	45.600000	37.393415
4069.023771	455.374774	45.700000	37.393415
3980.570180	450.274650	45.800000	37.393415
3895.765265	445.319969	45.900000	37.393415
3814.388384	440.503748	46.000000	37.393415
3907.786753	435.744574	46.100000	26.564508
4001.636415	430.966384	46.200000	26.564508
4095.852883	426.170630	46.300000	26.564508
4190.350348	421.358836	46.400000	26.564508
4285.041987	416.532592	46.500000	26.564508
4379.840287	411.693553	46.600000	26.564508
4474.657368	406.843431	46.700000	26.564508
4569.405309	401.983992	46.800000	26.564508
4663.996477	397.117051	46.900000	26.564508
4758.343854	392.244466	47.000000	26.564508
4639.826658	387.450815	47.100000	39.347102
4526.921611	382.813325	47.200000	39.347102
4419.240001	378.323392	47.300000	39.347102
4316.428185	373.973072	47.400000	39.347102
4218.163721	369.755017	47.500000	39.347102
4124.152004	365.662416	47.600000	39.347102
4034.123323	361.688948	47.700000	39.347102
3947.830290	357.828737	47.800000	39.347102
3865.045576	354.076311	47.900000	39.347102
3785.559920	350.426565	48.000000	39.347102
3896.335924	346.809747	48.100000	28.389567
4008.151423	343.160096	48.200000	28.389567
4120.891712	339.478827	48.300000	28.389567
4234.438072	335.767262	48.400000	28.389567
4348.668253	332.026820	48.500000	28.389567
4463.456987	328.259016	48.600000	28.389567
4578.676524	324.465459	48.700000	28.389567
4694.197198	320.647843	48.800000	28.389567
4809.888009	316.807946	48.900000	28.389567
4925.617217	312.947622	49.000000	28.389567
4814.123099	315.586808	49.100000	13.197438
4707.690897	318.313324	49.200000	13.197438
4605.981726	321.125765	49.300000	13.197438
4508.686252	324.022891	49.400000	13.197438
4415.521532	327.003610	49.500000	13.197438
4326.228264	330.066967	49.600000	13.197438
4240.568364	333.212128	49.700000	13.197438
4158.322839	336.438374	49.800000	13.197438
4079.289915	339.745088	49.900000	13.197438
4003.283370	343.131746	50.000000	13.197438
4092.369223	339.462119	50.100000	26.122534
4181.603574	335.778024	50.200000	26.122534
4270.908350	332.080743	50.300000	26.122534
4360.205253	328.371597	50.400000	26.122534
4449.416035	324.651948	50.500000	26.122534
4538.462774	320.923195	50.600000	26.122534
4627.268148	317.186767	50.700000	26.122534
4715.755700	313.444123	50.800000	26.122534
4803.850102	309.696745	50.900000	26.122534
4891.477409	305.946135	51.000000	26.122534
4782.144724	308.887904	51.100000	13.305316
4677.726218	311.919950	51.200000	13.305316
4577.895927	315.041238	51.300000	13.305316
4482.356044	318.250878	51.400000	13.305316
4390.833941	321.548118	51.500000	13.305316
4303.079566	324.932327	51.600000	13.305316
4218.863153	328.402986	51.700000	13.305316
4137.973200	331.959677	51.800000	13.305316
4060.214695	335.602077	51.900000	13.305316
3985.407536	339.329948	52.000000	13.305316
3982.864579	347.021572	52.100000	20.559765
3980.312072	354.875560	52.200000	20.559765
3977.748934	362.894760	52.300000	20.559765
3975.174083	371.082044	52.400000	20.559765
3972.586442	379.440304	52.500000	20.559765
3969.984933	387.972458	52.600000	20.559765
3967.368480	396.681438	52.700000	20.559765
3964.736007	405.570199	52.800000	20.559765
3962.086441	414.641710	52.900000	20.559765
3959.418708	423.898957	53.000000	20.559765
3875.666973	419.306707	53.100000	36.226464
3795.277910	414.841670	53.200000	36.226464
3718.053467	410.497899	53.300000	36.226464
3643.810834	406.269834	53.400000	36.226464
3572.381003	402.152274	53.500000	36.226464
3503.607494	398.140342	53.600000	36.226464
3437.345212	394.229463	53.700000	36.226464
3373.459432	390.415338	53.800000	36.226464
3311.824890	386.693924	53.900000	36.226464
3252.324965	383.061416	54.000000	36.226464
3194.851485	379.514225	54.100000	-5.520674
3139.302430	376.048966	54.200000	-5.520674
3085.583003	372.662442	54.300000	-5.520674
3033.604528	369.351631	54.400000	-5.520674
2983.283961	366.113673	54.500000	-5.520674
2934.543456	362.945860	54.600000	-5.520674
2887.309957	359.845625	54.700000	-5.520674
2841.514842	356.810531	54.800000	-5.520674
2797.093588	353.838266	54.900000	-5.520674
2753.985473	350.926634	55.000000	-5.520674
2742.509261	366.004497	55.100000	17.699419
2731.152702	381.709536	55.200000	17.699419
2719.909641	398.065563	55.300000	17.699419
2708.773976	415.097080	55.400000	17.699419
2697.739644	432.829285	55.500000	17.699419
2686.800623	451.288066	55.600000	17.699419
2675.950922	470.500001	55.700000	17.699419
2665.184579	490.492345	55.800000	17.699419
2654.495657	511.293029	55.900000	17.699419
2643.878236	532.930641	56.000000	17.699419
2641.518465	553.435446	56.100000	18.741226
2639.082289	574.671974	56.200000	18.741226
2636.567033	596.661871	56.300000	18.741226
2633.969960	619.427076	56.400000	18.741226
2631.288273	642.989797	56.500000	18.741226
2628.519115	667.372478	56.600000	18.741226
2625.659571	692.597774	56.700000	18.741226
2622.706666	718.688512	56.800000	18.741226
2619.657372	745.667654	56.900000	18.741226
2616.508603	773.558261	57.000000	18.741226
2614.441690	801.809108	57.100000	18.880817
2612.254206	830.975947	57.200000	18.880817
2609.943214	861.080047	57.300000	18.880817
2607.505731	892.142550	57.400000	18.880817
2604.938735	924.184421	57.500000	18.880817
2602.239166	957.226383	57.600000	18.880817
2599.403933	991.288861	57.700000	18.880817
2596.429915	1026.391917	57.800000	18.880817
2593.313968	1062.555177	57.900000	18.880817
2590.052928	1099.797768	58.000000	18.880817
2681.436289	1087.017963	58.100000	29.852846
2774.832607	1074.256739	58.200000	29.852846
2870.200374	1061.512622	58.300000	29.852846
2967.491751	1048.784401	58.400000	29.852846
3066.652508	1036.071141	58.500000	29.852846
3167.622000	1023.372176	58.600000	29.852846
3270.333189	1010.687120	58.700000	29.852846
3374.712696	998.015861	58.800000	29.852846
3480.680914	985.358568	58.900000	29.852846
3588.152156	972.715684	59.000000	29.852846
3695.303177	960.089576	59.100000	29.023655
3803.699618	947.482875	59.200000	29.023655
3913.241491	934.896813	59.300000	29.023655
4023.824146	922.332878	59.400000	29.023655
4135.338635	909.792796	59.500000	29.023655
4247.672119	897.278529	59.600000	29.023655
4360.708308	884.792264	59.700000	29.023655
4474.327928	872.336401	59.800000	29.023655
4588.409222	859.913540	59.900000	29.023655
4702.828465	847.526471	60.000000	29.023655
4760.875533	835.225255	60.100000	24.712102
4818.365012	823.057831	60.200000	24.712102
4875.272184	811.023948	60.300000	24.712102
4931.573538	799.123355	60.400000	24.712102
4987.246797	787.355807	60.500000	24.712102
5042.270940	775.721052	60.600000	24.712102
5096.626218	764.218836	60.700000	24.712102
5150.294165	752.848891	60.800000	24.712102
5203.257608	741.610940	60.900000	24.712102
5255.500667	730.504691	61.000000	24.712102
5113.164775	721.111441	61.100000	9.803861
4978.223935	712.069120	61.200000	9.803861
4850.117743	703.356319	61.300000	9.803861
4728.340972	694.953430	61.400000	9.803861
4612.436954	686.842453	61.500000	9.803861
4501.991880	679.006830	61.600000	9.803861
4396.629893	671.431300	61.700000	9.803861
4296.008835	664.101769	61.800000	9.803861
4199.816553	657.005197	61.900000	9.803861
4107.767685	650.129501	62.000000	9.803861
4055.721214	675.654741	62.100000	17.209328
4005.153058	702.162858	62.200000	17.209328
3955.987846	729.685186	62.300000	17.209328
3908.154503	758.253516	62.400000	17.209328
3861.585937	787.900053	62.500000	17.209328
3816.218742	818.657363	62.600000	17.209328
3771.992929	850.558318	62.700000	17.209328
3728.851687	883.636029	62.800000	17.209328
