mean	shape	N	N	dom_1	dom_2	coexist	extinct	ff
2.000000	0.500000	100	100	100	0	0	0	0
2.000000	0.500000	100	100	0	100	0	0	0
2.000000	0.500000	100	100	0	100	0	0	0
2.000000	0.500000	100	100	0	0	100	0	0
2.000000	0.500000	100	100	0	0	100	0	0
5.000000	0.500000	100	100	100	0	0	0	0
5.000000	0.500000	100	100	0	100	0	0	0
5.000000	0.500000	100	100	0	100	0	0	0
5.000000	0.500000	100	100	0	0	100	0	0
5.000000	0.500000	100	100	0	0	100	0	0
8.000000	0.500000	100	100	100	0	0	0	0
8.000000	0.500000	100	100	0	100	0	0	0
8.000000	0.500000	100	100	0	6	94	0	0
8.000000	0.500000	100	100	0	0	100	0	0
8.000000	0.500000	100	100	0	0	100	0	0
11.000000	0.500000	100	100	0	100	0	0	0
11.000000	0.500000	100	100	0	100	0	0	0
11.000000	0.500000	100	100	0	0	100	0	0
11.000000	0.500000	100	100	0	0	100	0	0
11.000000	0.500000	100	100	0	0	100	0	0
14.000000	0.500000	100	100	0	100	0	0	0
14.000000	0.500000	100	100	0	100	0	0	0
14.000000	0.500000	100	100	0	0	100	0	0
14.000000	0.500000	100	100	0	0	100	0	0
14.000000	0.500000	100	100	0	0	100	0	0
17.000000	0.500000	100	100	0	100	0	0	0
17.000000	0.500000	100	100	0	100	0	0	0
17.000000	0.500000	100	100	0	0	100	0	0
17.000000	0.500000	100	100	0	0	100	0	0
17.000000	0.500000	100	100	0	0	100	0	0
20.000000	0.500000	100	100	0	100	0	0	0
20.000000	0.500000	100	100	0	0	100	0	0
20.000000	0.500000	100	100	0	0	100	0	0
20.000000	0.500000	100	100	0	0	100	0	0
20.000000	0.500000	100	100	0	0	100	0	0
23.000000	0.500000	100	100	0	0	100	0	0
23.000000	0.500000	100	100	0	0	100	0	0
23.000000	0.500000	100	100	0	0	100	0	0
23.000000	0.500000	100	100	0	0	100	0	0
23.000000	0.500000	100	100	0	0	100	0	0
26.000000	0.500000	100	100	100	0	0	0	0
26.000000	0.500000	100	100	18	0	82	0	0
26.000000	0.500000	100	100	0	0	100	0	0
26.000000	0.500000	100	100	0	0	100	0	0
26.000000	0.500000	100	100	0	0	100	0	0
29.000000	0.500000	100	100	100	0	0	0	0
29.000000	0.500000	100	100	100	0	0	0	0
29.000000	0.500000	100	100	20	0	80	0	0
29.000000	0.500000	100	100	0	0	100	0	0
29.000000	0.500000	100	100	0	0	100	0	0
32.000000	0.500000	100	100	100	0	0	0	0
32.000000	0.500000	100	100	100	0	0	0	0
32.000000	0.500000	100	100	100	0	0	0	0
32.000000	0.500000	100	100	8	0	92	0	0
32.000000	0.500000	100	100	0	0	100	0	0
35.000000	0.500000	100	100	100	0	0	0	0
35.000000	0.500000	100	100	100	0	0	0	0
35.000000	0.500000	100	100	100	0	0	0	0
35.000000	0.500000	100	100	58	0	42	0	0
35.000000	0.500000	100	100	0	0	100	0	0
38.000000	0.500000	100	100	1	0	0	99	0
38.000000	0.500000	100	100	100	0	0	0	0
38.000000	0.500000	100	100	100	0	0	0	0
38.000000	0.500000	100	100	99	0	1	0	0
38.000000	0.500000	100	100	21	0	79	0	0
