mean	shape	N	N	dom_1	dom_2	coexist	extinct	ff
2.000000	4.500000	100	100	69	31	0	0	0
2.000000	4.500000	100	100	0	100	0	0	0
2.000000	4.500000	100	100	0	100	0	0	0
2.000000	4.500000	100	100	0	0	100	0	0
2.000000	4.500000	100	100	0	0	100	0	0
5.000000	4.500000	100	100	46	54	0	0	0
5.000000	4.500000	100	100	0	100	0	0	0
5.000000	4.500000	100	100	0	96	4	0	0
5.000000	4.500000	100	100	0	0	100	0	0
5.000000	4.500000	100	100	0	0	100	0	0
8.000000	4.500000	100	100	8	92	0	0	0
8.000000	4.500000	100	100	0	100	0	0	0
8.000000	4.500000	100	100	0	9	91	0	0
8.000000	4.500000	100	100	0	0	100	0	0
8.000000	4.500000	100	100	0	0	100	0	0
11.000000	4.500000	100	100	0	100	0	0	0
11.000000	4.500000	100	100	0	100	0	0	0
11.000000	4.500000	100	100	0	1	99	0	0
11.000000	4.500000	100	100	0	0	100	0	0
11.000000	4.500000	100	100	0	0	100	0	0
14.000000	4.500000	100	100	0	100	0	0	0
14.000000	4.500000	100	100	0	100	0	0	0
14.000000	4.500000	100	100	0	0	100	0	0
14.000000	4.500000	100	100	0	0	100	0	0
14.000000	4.500000	100	100	0	0	100	0	0
17.000000	4.500000	100	100	15	85	0	0	0
17.000000	4.500000	100	100	0	100	0	0	0
17.000000	4.500000	100	100	0	0	100	0	0
17.000000	4.500000	100	100	0	0	100	0	0
17.000000	4.500000	100	100	0	0	100	0	0
20.000000	4.500000	100	100	26	74	0	0	0
20.000000	4.500000	100	100	30	14	56	0	0
20.000000	4.500000	100	100	0	0	100	0	0
20.000000	4.500000	100	100	0	0	100	0	0
20.000000	4.500000	100	100	0	0	100	0	0
23.000000	4.500000	100	100	65	35	0	0	0
23.000000	4.500000	100	100	96	0	4	0	0
23.000000	4.500000	100	100	0	0	100	0	0
23.000000	4.500000	100	100	0	0	100	0	0
23.000000	4.500000	100	100	0	0	100	0	0
26.000000	4.500000	100	100	88	12	0	0	0
26.000000	4.500000	100	100	100	0	0	0	0
26.000000	4.500000	100	100	9	0	91	0	0
26.000000	4.500000	100	100	0	0	100	0	0
26.000000	4.500000	100	100	0	0	100	0	0
29.000000	4.500000	100	100	98	2	0	0	0
29.000000	4.500000	100	100	100	0	0	0	0
29.000000	4.500000	100	100	77	0	23	0	0
29.000000	4.500000	100	100	0	0	100	0	0
29.000000	4.500000	100	100	1	0	99	0	0
32.000000	4.500000	100	100	100	0	0	0	0
32.000000	4.500000	100	100	100	0	0	0	0
32.000000	4.500000	100	100	100	0	0	0	0
32.000000	4.500000	100	100	13	0	87	0	0
32.000000	4.500000	100	100	1	0	99	0	0
35.000000	4.500000	100	100	100	0	0	0	0
35.000000	4.500000	100	100	100	0	0	0	0
35.000000	4.500000	100	100	100	0	0	0	0
35.000000	4.500000	100	100	63	0	37	0	0
35.000000	4.500000	100	100	2	0	98	0	0
38.000000	4.500000	100	100	99	0	0	1	0
38.000000	4.500000	100	100	100	0	0	0	0
38.000000	4.500000	100	100	100	0	0	0	0
38.000000	4.500000	100	100	100	0	0	0	0
38.000000	4.500000	100	100	28	0	72	0	0
