mean	shape	N	N	dom_1	dom_2	coexist	extinct	ff
2.000000	8.500000	100	100	32	68	0	0	0
2.000000	8.500000	100	100	1	99	0	0	0
2.000000	8.500000	100	100	0	98	2	0	0
2.000000	8.500000	100	100	0	0	100	0	0
2.000000	8.500000	100	100	0	0	100	0	0
5.000000	8.500000	100	100	12	88	0	0	0
5.000000	8.500000	100	100	0	100	0	0	0
5.000000	8.500000	100	100	0	61	39	0	0
5.000000	8.500000	100	100	0	0	100	0	0
5.000000	8.500000	100	100	0	0	100	0	0
8.000000	8.500000	100	100	8	92	0	0	0
8.000000	8.500000	100	100	1	99	0	0	0
8.000000	8.500000	100	100	0	7	93	0	0
8.000000	8.500000	100	100	0	0	100	0	0
8.000000	8.500000	100	100	0	0	100	0	0
11.000000	8.500000	100	100	13	87	0	0	0
11.000000	8.500000	100	100	1	99	0	0	0
11.000000	8.500000	100	100	0	0	100	0	0
11.000000	8.500000	100	100	0	0	100	0	0
11.000000	8.500000	100	100	0	0	100	0	0
14.000000	8.500000	100	100	27	73	0	0	0
14.000000	8.500000	100	100	4	96	0	0	0
14.000000	8.500000	100	100	0	0	100	0	0
14.000000	8.500000	100	100	0	0	100	0	0
14.000000	8.500000	100	100	0	0	100	0	0
17.000000	8.500000	100	100	41	59	0	0	0
17.000000	8.500000	100	100	49	49	2	0	0
17.000000	8.500000	100	100	0	0	100	0	0
17.000000	8.500000	100	100	0	0	100	0	0
17.000000	8.500000	100	100	0	0	100	0	0
20.000000	8.500000	100	100	51	49	0	0	0
20.000000	8.500000	100	100	89	11	0	0	0
20.000000	8.500000	100	100	2	0	98	0	0
20.000000	8.500000	100	100	0	0	100	0	0
20.000000	8.500000	100	100	0	0	100	0	0
23.000000	8.500000	100	100	64	36	0	0	0
23.000000	8.500000	100	100	99	1	0	0	0
23.000000	8.500000	100	100	11	0	89	0	0
23.000000	8.500000	100	100	0	0	100	0	0
23.000000	8.500000	100	100	0	0	100	0	0
26.000000	8.500000	100	100	71	29	0	0	0
26.000000	8.500000	100	100	100	0	0	0	0
26.000000	8.500000	100	100	47	0	53	0	0
26.000000	8.500000	100	100	0	0	100	0	0
26.000000	8.500000	100	100	0	0	100	0	0
29.000000	8.500000	100	100	84	16	0	0	0
29.000000	8.500000	100	100	100	0	0	0	0
29.000000	8.500000	100	100	92	0	8	0	0
29.000000	8.500000	100	100	2	0	98	0	0
29.000000	8.500000	100	100	1	0	99	0	0
32.000000	8.500000	100	100	89	11	0	0	0
32.000000	8.500000	100	100	100	0	0	0	0
32.000000	8.500000	100	100	100	0	0	0	0
32.000000	8.500000	100	100	25	0	75	0	0
32.000000	8.500000	100	100	2	0	98	0	0
35.000000	8.500000	100	100	91	9	0	0	0
35.000000	8.500000	100	100	100	0	0	0	0
35.000000	8.500000	100	100	100	0	0	0	0
35.000000	8.500000	100	100	72	0	28	0	0
35.000000	8.500000	100	100	6	0	94	0	0
38.000000	8.500000	100	100	88	8	0	4	0
38.000000	8.500000	100	100	100	0	0	0	0
38.000000	8.500000	100	100	100	0	0	0	0
38.000000	8.500000	100	100	100	0	0	0	0
38.000000	8.500000	100	100	32	0	68	0	0
