mean	shape	N	N	dom_1	dom_2	coexist	extinct	ff
2.000000	12.500000	100	100	24	76	0	0	0
2.000000	12.500000	100	100	9	91	0	0	0
2.000000	12.500000	100	100	0	77	23	0	0
2.000000	12.500000	100	100	0	0	100	0	0
2.000000	12.500000	100	100	0	0	100	0	0
5.000000	12.500000	100	100	27	73	0	0	0
5.000000	12.500000	100	100	15	85	0	0	0
5.000000	12.500000	100	100	0	27	73	0	0
5.000000	12.500000	100	100	0	0	100	0	0
5.000000	12.500000	100	100	0	0	100	0	0
8.000000	12.500000	100	100	27	73	0	0	0
8.000000	12.500000	100	100	24	76	0	0	0
8.000000	12.500000	100	100	0	6	94	0	0
8.000000	12.500000	100	100	0	0	100	0	0
8.000000	12.500000	100	100	0	0	100	0	0
11.000000	12.500000	100	100	40	60	0	0	0
11.000000	12.500000	100	100	32	68	0	0	0
11.000000	12.500000	100	100	0	2	98	0	0
11.000000	12.500000	100	100	0	0	100	0	0
11.000000	12.500000	100	100	0	0	100	0	0
14.000000	12.500000	100	100	51	49	0	0	0
14.000000	12.500000	100	100	52	48	0	0	0
14.000000	12.500000	100	100	1	0	99	0	0
14.000000	12.500000	100	100	0	0	100	0	0
14.000000	12.500000	100	100	0	0	100	0	0
17.000000	12.500000	100	100	51	49	0	0	0
17.000000	12.500000	100	100	86	14	0	0	0
17.000000	12.500000	100	100	6	0	94	0	0
17.000000	12.500000	100	100	0	0	100	0	0
17.000000	12.500000	100	100	0	0	100	0	0
20.000000	12.500000	100	100	65	35	0	0	0
20.000000	12.500000	100	100	94	6	0	0	0
20.000000	12.500000	100	100	17	0	83	0	0
20.000000	12.500000	100	100	0	0	100	0	0
20.000000	12.500000	100	100	0	0	100	0	0
23.000000	12.500000	100	100	59	41	0	0	0
23.000000	12.500000	100	100	98	2	0	0	0
23.000000	12.500000	100	100	44	0	56	0	0
23.000000	12.500000	100	100	0	0	100	0	0
23.000000	12.500000	100	100	0	0	100	0	0
26.000000	12.500000	100	100	73	27	0	0	0
26.000000	12.500000	100	100	99	1	0	0	0
26.000000	12.500000	100	100	72	0	28	0	0
26.000000	12.500000	100	100	2	0	98	0	0
26.000000	12.500000	100	100	0	0	100	0	0
29.000000	12.500000	100	100	78	22	0	0	0
29.000000	12.500000	100	100	100	0	0	0	0
29.000000	12.500000	100	100	94	0	6	0	0
29.000000	12.500000	100	100	10	0	90	0	0
29.000000	12.500000	100	100	1	0	99	0	0
32.000000	12.500000	100	100	80	20	0	0	0
32.000000	12.500000	100	100	100	0	0	0	0
32.000000	12.500000	100	100	99	0	1	0	0
32.000000	12.500000	100	100	31	0	69	0	0
32.000000	12.500000	100	100	2	0	98	0	0
35.000000	12.500000	100	100	75	25	0	0	0
35.000000	12.500000	100	100	100	0	0	0	0
35.000000	12.500000	100	100	100	0	0	0	0
35.000000	12.500000	100	100	59	0	41	0	0
35.000000	12.500000	100	100	8	0	92	0	0
38.000000	12.500000	100	100	85	15	0	0	0
38.000000	12.500000	100	100	100	0	0	0	0
38.000000	12.500000	100	100	100	0	0	0	0
38.000000	12.500000	100	100	96	0	4	0	0
38.000000	12.500000	100	100	25	0	75	0	0
