mean	shape	N	N	dom_1	dom_2	coexist	extinct	ff
2.000000	0.500000	100	100	100	0	0	0	0
2.000000	5.500000	100	100	59	41	0	0	0
2.000000	10.500000	100	100	19	81	0	0	0
2.000000	15.500000	100	100	34	66	0	0	0
2.000000	20.500000	100	100	40	60	0	0	0
5.000000	0.500000	100	100	100	0	0	0	0
5.000000	5.500000	100	100	18	82	0	0	0
5.000000	10.500000	100	100	18	82	0	0	0
5.000000	15.500000	100	100	35	65	0	0	0
5.000000	20.500000	100	100	43	57	0	0	0
8.000000	0.500000	100	100	100	0	0	0	0
8.000000	5.500000	100	100	5	95	0	0	0
8.000000	10.500000	100	100	19	81	0	0	0
8.000000	15.500000	100	100	46	54	0	0	0
8.000000	20.500000	100	100	54	46	0	0	0
11.000000	0.500000	100	100	0	100	0	0	0
11.000000	5.500000	100	100	2	98	0	0	0
11.000000	10.500000	100	100	31	69	0	0	0
11.000000	15.500000	100	100	47	53	0	0	0
11.000000	20.500000	100	100	50	50	0	0	0
14.000000	0.500000	100	100	0	100	0	0	0
14.000000	5.500000	100	100	4	96	0	0	0
14.000000	10.500000	100	100	46	54	0	0	0
14.000000	15.500000	100	100	57	43	0	0	0
14.000000	20.500000	100	100	61	39	0	0	0
17.000000	0.500000	100	100	0	100	0	0	0
17.000000	5.500000	100	100	14	86	0	0	0
17.000000	10.500000	100	100	48	52	0	0	0
17.000000	15.500000	100	100	56	44	0	0	0
17.000000	20.500000	100	100	57	43	0	0	0
20.000000	0.500000	100	100	0	100	0	0	0
20.000000	5.500000	100	100	43	57	0	0	0
20.000000	10.500000	100	100	64	36	0	0	0
20.000000	15.500000	100	100	63	37	0	0	0
20.000000	20.500000	100	100	70	30	0	0	0
23.000000	0.500000	100	100	0	0	100	0	0
23.000000	5.500000	100	100	63	37	0	0	0
23.000000	10.500000	100	100	69	31	0	0	0
23.000000	15.500000	100	100	62	38	0	0	0
23.000000	20.500000	100	100	70	30	0	0	0
26.000000	0.500000	100	100	100	0	0	0	0
26.000000	5.500000	100	100	79	21	0	0	0
26.000000	10.500000	100	100	68	32	0	0	0
26.000000	15.500000	100	100	64	36	0	0	0
26.000000	20.500000	100	100	66	34	0	0	0
29.000000	0.500000	100	100	100	0	0	0	0
29.000000	5.500000	100	100	95	5	0	0	0
29.000000	10.500000	100	100	77	23	0	0	0
29.000000	15.500000	100	100	64	36	0	0	0
29.000000	20.500000	100	100	64	36	0	0	0
32.000000	0.500000	100	100	100	0	0	0	0
32.000000	5.500000	100	100	98	2	0	0	0
32.000000	10.500000	100	100	80	20	0	0	0
32.000000	15.500000	100	100	70	30	0	0	0
32.000000	20.500000	100	100	71	28	0	1	0
35.000000	0.500000	100	100	100	0	0	0	0
35.000000	5.500000	100	100	99	1	0	0	0
35.000000	10.500000	100	100	82	18	0	0	0
35.000000	15.500000	100	100	82	18	0	0	0
35.000000	20.500000	100	100	76	24	0	0	0
38.000000	0.500000	100	100	0	0	0	100	0
38.000000	5.500000	100	100	97	0	0	3	0
38.000000	10.500000	100	100	87	11	0	2	0
38.000000	15.500000	100	100	76	22	0	2	0
38.000000	20.500000	100	100	64	36	0	0	0
