mean	shape	N	N	dom_1	dom_2	coexist	extinct	ff
2.000000	0.500000	100	100	0	100	0	0	0
2.000000	5.500000	100	100	0	100	0	0	0
2.000000	10.500000	100	100	4	96	0	0	0
2.000000	15.500000	100	100	31	69	0	0	0
2.000000	20.500000	100	100	45	55	0	0	0
5.000000	0.500000	100	100	0	100	0	0	0
5.000000	5.500000	100	100	0	100	0	0	0
5.000000	10.500000	100	100	5	95	0	0	0
5.000000	15.500000	100	100	34	66	0	0	0
5.000000	20.500000	100	100	49	51	0	0	0
8.000000	0.500000	100	100	0	100	0	0	0
8.000000	5.500000	100	100	0	100	0	0	0
8.000000	10.500000	100	100	16	84	0	0	0
8.000000	15.500000	100	100	46	54	0	0	0
8.000000	20.500000	100	100	58	42	0	0	0
11.000000	0.500000	100	100	0	100	0	0	0
11.000000	5.500000	100	100	0	100	0	0	0
11.000000	10.500000	100	100	21	79	0	0	0
11.000000	15.500000	100	100	54	46	0	0	0
11.000000	20.500000	100	100	71	29	0	0	0
14.000000	0.500000	100	100	0	100	0	0	0
14.000000	5.500000	100	100	0	100	0	0	0
14.000000	10.500000	100	100	32	68	0	0	0
14.000000	15.500000	100	100	77	23	0	0	0
14.000000	20.500000	100	100	72	28	0	0	0
17.000000	0.500000	100	100	0	100	0	0	0
17.000000	5.500000	100	100	1	99	0	0	0
17.000000	10.500000	100	100	68	32	0	0	0
17.000000	15.500000	100	100	74	26	0	0	0
17.000000	20.500000	100	100	84	16	0	0	0
20.000000	0.500000	100	100	0	0	100	0	0
20.000000	5.500000	100	100	34	66	0	0	0
20.000000	10.500000	100	100	84	16	0	0	0
20.000000	15.500000	100	100	94	6	0	0	0
20.000000	20.500000	100	100	81	19	0	0	0
23.000000	0.500000	100	100	0	0	100	0	0
23.000000	5.500000	100	100	94	6	0	0	0
23.000000	10.500000	100	100	94	6	0	0	0
23.000000	15.500000	100	100	95	5	0	0	0
23.000000	20.500000	100	100	90	10	0	0	0
26.000000	0.500000	100	100	95	0	5	0	0
26.000000	5.500000	100	100	100	0	0	0	0
26.000000	10.500000	100	100	100	0	0	0	0
26.000000	15.500000	100	100	98	2	0	0	0
26.000000	20.500000	100	100	89	11	0	0	0
29.000000	0.500000	100	100	100	0	0	0	0
29.000000	5.500000	100	100	100	0	0	0	0
29.000000	10.500000	100	100	100	0	0	0	0
29.000000	15.500000	100	100	96	4	0	0	0
29.000000	20.500000	100	100	91	9	0	0	0
32.000000	0.500000	100	100	100	0	0	0	0
32.000000	5.500000	100	100	100	0	0	0	0
32.000000	10.500000	100	100	100	0	0	0	0
32.000000	15.500000	100	100	98	2	0	0	0
32.000000	20.500000	100	100	94	6	0	0	0
35.000000	0.500000	100	100	100	0	0	0	0
35.000000	5.500000	100	100	100	0	0	0	0
35.000000	10.500000	100	100	100	0	0	0	0
35.000000	15.500000	100	100	98	2	0	0	0
35.000000	20.500000	100	100	93	7	0	0	0
38.000000	0.500000	100	100	100	0	0	0	0
38.000000	5.500000	100	100	100	0	0	0	0
38.000000	10.500000	100	100	100	0	0	0	0
38.000000	15.500000	100	100	99	1	0	0	0
38.000000	20.500000	100	100	96	4	0	0	0
