mean	shape	N	N	dom_1	dom_2	coexist	extinct	ff
2.000000	0.500000	100	100	0	77	23	0	0
2.000000	5.500000	100	100	0	41	59	0	0
2.000000	10.500000	100	100	0	11	89	0	0
2.000000	15.500000	100	100	0	12	88	0	0
2.000000	20.500000	100	100	10	15	75	0	0
5.000000	0.500000	100	100	0	2	98	0	0
5.000000	5.500000	100	100	0	0	100	0	0
5.000000	10.500000	100	100	0	0	100	0	0
5.000000	15.500000	100	100	0	0	100	0	0
5.000000	20.500000	100	100	2	8	90	0	0
8.000000	0.500000	100	100	0	0	100	0	0
8.000000	5.500000	100	100	0	0	100	0	0
8.000000	10.500000	100	100	0	0	100	0	0
8.000000	15.500000	100	100	0	1	99	0	0
8.000000	20.500000	100	100	7	3	90	0	0
11.000000	0.500000	100	100	0	0	100	0	0
11.000000	5.500000	100	100	0	0	100	0	0
11.000000	10.500000	100	100	0	0	100	0	0
11.000000	15.500000	100	100	0	0	100	0	0
11.000000	20.500000	100	100	5	0	95	0	0
14.000000	0.500000	100	100	0	0	100	0	0
14.000000	5.500000	100	100	0	0	100	0	0
14.000000	10.500000	100	100	0	0	100	0	0
14.000000	15.500000	100	100	1	0	99	0	0
14.000000	20.500000	100	100	8	0	92	0	0
17.000000	0.500000	100	100	0	0	100	0	0
17.000000	5.500000	100	100	0	0	100	0	0
17.000000	10.500000	100	100	0	0	100	0	0
17.000000	15.500000	100	100	3	0	97	0	0
17.000000	20.500000	100	100	16	0	84	0	0
20.000000	0.500000	100	100	0	0	100	0	0
20.000000	5.500000	100	100	0	0	100	0	0
20.000000	10.500000	100	100	1	0	99	0	0
20.000000	15.500000	100	100	5	0	95	0	0
20.000000	20.500000	100	100	26	0	74	0	0
23.000000	0.500000	100	100	0	0	100	0	0
23.000000	5.500000	100	100	0	0	100	0	0
23.000000	10.500000	100	100	7	0	93	0	0
23.000000	15.500000	100	100	15	0	85	0	0
23.000000	20.500000	100	100	39	0	61	0	0
26.000000	0.500000	100	100	0	0	100	0	0
26.000000	5.500000	100	100	3	0	97	0	0
26.000000	10.500000	100	100	15	0	85	0	0
26.000000	15.500000	100	100	41	0	59	0	0
26.000000	20.500000	100	100	54	0	46	0	0
29.000000	0.500000	100	100	1	0	99	0	0
29.000000	5.500000	100	100	14	0	86	0	0
29.000000	10.500000	100	100	42	0	58	0	0
29.000000	15.500000	100	100	66	0	34	0	0
29.000000	20.500000	100	100	71	0	29	0	0
32.000000	0.500000	100	100	61	0	39	0	0
32.000000	5.500000	100	100	84	0	16	0	0
32.000000	10.500000	100	100	87	0	13	0	0
32.000000	15.500000	100	100	84	0	16	0	0
32.000000	20.500000	100	100	90	0	10	0	0
35.000000	0.500000	100	100	100	0	0	0	0
35.000000	5.500000	100	100	100	0	0	0	0
35.000000	10.500000	100	100	100	0	0	0	0
35.000000	15.500000	100	100	99	0	1	0	0
35.000000	20.500000	100	100	97	0	3	0	0
38.000000	0.500000	100	100	100	0	0	0	0
38.000000	5.500000	100	100	100	0	0	0	0
38.000000	10.500000	100	100	100	0	0	0	0
38.000000	15.500000	100	100	100	0	0	0	0
38.000000	20.500000	100	100	100	0	0	0	0
