N1	N2	time	env	freq1	freq2	abf1	abf2
250.000000	250.000000	0.000000
249.326513	249.326499	0.100000	0.363023	0.500000	0.500000	-0.026952	-0.026953
248.656009	248.655981	0.200000	0.363023	0.500000	0.500000	-0.026905	-0.026906
247.988470	247.988429	0.300000	0.363023	0.500000	0.500000	-0.026859	-0.026859
247.323876	247.323821	0.400000	0.363023	0.500000	0.500000	-0.026812	-0.026813
246.662209	246.662140	0.500000	0.363023	0.500000	0.500000	-0.026766	-0.026766
246.003448	246.003366	0.600000	0.363023	0.500000	0.500000	-0.026720	-0.026720
245.347576	245.347480	0.700000	0.363023	0.500000	0.500000	-0.026674	-0.026674
244.694573	244.694464	0.800000	0.363023	0.500000	0.500000	-0.026628	-0.026629
244.044421	244.044299	0.900000	0.363023	0.500000	0.500000	-0.026583	-0.026583
243.397102	243.396967	1.000000	0.363023	0.500000	0.500000	-0.026537	-0.026538
243.753961	250.766013	1.100000	17.314885	0.492910	0.507090	0.014568	0.298077
244.107261	258.348324	1.200000	17.314885	0.485829	0.514171	0.014399	0.297691
244.456882	266.149475	1.300000	17.314885	0.478758	0.521242	0.014225	0.297294
244.802705	274.175153	1.400000	17.314885	0.471702	0.528298	0.014047	0.296886
245.144604	282.431154	1.500000	17.314885	0.464662	0.535338	0.013865	0.296466
245.482452	290.923383	1.600000	17.314885	0.457643	0.542357	0.013678	0.296035
245.816118	299.657852	1.700000	17.314885	0.450647	0.549353	0.013487	0.295591
246.145470	308.640684	1.800000	17.314885	0.443676	0.556324	0.013291	0.295135
246.470369	317.878107	1.900000	17.314885	0.436734	0.563266	0.013090	0.294667
246.790675	327.376455	2.000000	17.314885	0.429824	0.570176	0.012884	0.294186
246.125160	326.431127	2.100000	10.521079	0.429871	0.570129	-0.026977	-0.028887
245.462718	325.490495	2.200000	10.521079	0.429917	0.570083	-0.026925	-0.028827
244.803328	324.554526	2.300000	10.521079	0.429964	0.570036	-0.026873	-0.028767
244.146968	323.623184	2.400000	10.521079	0.430010	0.569990	-0.026822	-0.028707
243.493617	322.696437	2.500000	10.521079	0.430056	0.569944	-0.026771	-0.028648
242.843255	321.774251	2.600000	10.521079	0.430102	0.569898	-0.026720	-0.028589
242.195862	320.856592	2.700000	10.521079	0.430148	0.569852	-0.026669	-0.028530
241.551416	319.943428	2.800000	10.521079	0.430193	0.569807	-0.026619	-0.028472
240.909899	319.034726	2.900000	10.521079	0.430239	0.569761	-0.026568	-0.028413
240.271291	318.130454	3.000000	10.521079	0.430284	0.569716	-0.026518	-0.028355
239.620899	317.189482	3.100000	9.558207	0.430346	0.569654	-0.027080	-0.029592
238.973491	316.253188	3.200000	9.558207	0.430407	0.569593	-0.027029	-0.029532
238.329048	315.321537	3.300000	9.558207	0.430468	0.569532	-0.026978	-0.029473
237.687548	314.394496	3.400000	9.558207	0.430529	0.569471	-0.026928	-0.029414
237.048972	313.472032	3.500000	9.558207	0.430590	0.569410	-0.026877	-0.029355
236.413300	312.554110	3.600000	9.558207	0.430651	0.569349	-0.026827	-0.029296
235.780512	311.640698	3.700000	9.558207	0.430711	0.569289	-0.026777	-0.029238
235.150588	310.731764	3.800000	9.558207	0.430772	0.569228	-0.026727	-0.029180
234.523510	309.827274	3.900000	9.558207	0.430832	0.569168	-0.026678	-0.029122
233.899258	308.927198	4.000000	9.558207	0.430891	0.569109	-0.026629	-0.029064
233.383715	308.688100	4.100000	12.901529	0.430540	0.569460	-0.022050	-0.007731
232.870019	308.449872	4.200000	12.901529	0.430189	0.569811	-0.022020	-0.007709
232.358160	308.212511	4.300000	12.901529	0.429839	0.570161	-0.021989	-0.007687
231.848128	307.976012	4.400000	12.901529	0.429488	0.570512	-0.021959	-0.007665
231.339914	307.740372	4.500000	12.901529	0.429138	0.570862	-0.021929	-0.007643
230.833508	307.505585	4.600000	12.901529	0.428788	0.571212	-0.021899	-0.007621
230.328900	307.271648	4.700000	12.901529	0.428439	0.571561	-0.021869	-0.007600
229.826082	307.038556	4.800000	12.901529	0.428089	0.571911	-0.021839	-0.007578
229.325044	306.806307	4.900000	12.901529	0.427740	0.572260	-0.021810	-0.007556
228.825776	306.574895	5.000000	12.901529	0.427392	0.572608	-0.021780	-0.007535
228.207907	305.675606	5.100000	3.669338	0.427449	0.572551	-0.027014	-0.029348
227.592816	304.780697	5.200000	3.669338	0.427506	0.572494	-0.026965	-0.029291
226.980484	303.890137	5.300000	3.669338	0.427563	0.572437	-0.026917	-0.029234
226.370894	303.003896	5.400000	3.669338	0.427619	0.572381	-0.026869	-0.029178
225.764026	302.121943	5.500000	3.669338	0.427676	0.572324	-0.026821	-0.029121
225.159864	301.244246	5.600000	3.669338	0.427732	0.572268	-0.026773	-0.029065
224.558388	300.370777	5.700000	3.669338	0.427788	0.572212	-0.026725	-0.029010
223.959581	299.501505	5.800000	3.669338	0.427844	0.572156	-0.026678	-0.028954
223.363426	298.636400	5.900000	3.669338	0.427899	0.572101	-0.026631	-0.028899
222.769905	297.775433	6.000000	3.669338	0.427955	0.572045	-0.026584	-0.028844
226.094035	311.128353	6.100000	21.724536	0.420857	0.579143	0.147898	0.438290
229.457672	325.055708	6.200000	21.724536	0.413800	0.586200	0.147451	0.437526
232.860787	339.580058	6.300000	21.724536	0.406786	0.593214	0.146991	0.436732
236.303319	354.724657	6.400000	21.724536	0.399817	0.600183	0.146516	0.435906
239.785177	370.513459	6.500000	21.724536	0.392898	0.607102	0.146026	0.435047
243.306234	386.971118	6.600000	21.724536	0.386030	0.613970	0.145521	0.434153
246.866329	404.122986	6.700000	21.724536	0.379217	0.620783	0.145000	0.433225
250.465261	421.995115	6.800000	21.724536	0.372461	0.627539	0.144462	0.432259
254.102791	440.614248	6.900000	21.724536	0.365764	0.634236	0.143908	0.431255
257.778639	460.007811	7.000000	21.724536	0.359130	0.640870	0.143336	0.430212
264.633044	471.066433	7.100000	24.068042	0.359703	0.640297	0.262146	0.237210
271.654216	482.357262	7.200000	24.068042	0.360279	0.639721	0.261569	0.236505
278.845402	493.883524	7.300000	24.068042	0.360858	0.639142	0.260979	0.235785
286.209870	505.648412	7.400000	24.068042	0.361441	0.638559	0.260376	0.235050
293.750910	517.655072	7.500000	24.068042	0.362027	0.637973	0.259758	0.234299
301.471824	529.906608	7.600000	24.068042	0.362617	0.637383	0.259127	0.233532
309.375931	542.406066	7.700000	24.068042	0.363210	0.636790	0.258482	0.232749
317.466561	555.156438	7.800000	24.068042	0.363807	0.636193	0.257823	0.231949
325.747051	568.160650	7.900000	24.068042	0.364408	0.635592	0.257148	0.231133
334.220743	581.421557	8.000000	24.068042	0.365012	0.634988	0.256460	0.230301
332.961030	578.800786	8.100000	4.480513	0.365184	0.634816	-0.037705	-0.045099
331.709878	576.200795	8.200000	4.480513	0.365355	0.634645	-0.037590	-0.044944
330.467200	573.621342	8.300000	4.480513	0.365525	0.634475	-0.037476	-0.044790
329.232907	571.062186	8.400000	4.480513	0.365694	0.634306	-0.037363	-0.044638
328.006915	568.523092	8.500000	4.480513	0.365863	0.634137	-0.037251	-0.044486
326.789137	566.003829	8.600000	4.480513	0.366030	0.633970	-0.037140	-0.044336
325.579490	563.504167	8.700000	4.480513	0.366197	0.633803	-0.037030	-0.044187
324.377892	561.023882	8.800000	4.480513	0.366362	0.633638	-0.036920	-0.044039
323.184260	558.562752	8.900000	4.480513	0.366527	0.633473	-0.036811	-0.043892
321.998515	556.120559	9.000000	4.480513	0.366691	0.633309	-0.036703	-0.043746
320.940236	554.372474	9.100000	12.272364	0.366658	0.633342	-0.032876	-0.031429
319.888237	552.635863	9.200000	12.272364	0.366624	0.633376	-0.032789	-0.031321
318.842463	550.910617	9.300000	12.272364	0.366590	0.633410	-0.032702	-0.031214
317.802857	549.196624	9.400000	12.272364	0.366555	0.633445	-0.032616	-0.031107
316.769365	547.493775	9.500000	12.272364	0.366520	0.633480	-0.032530	-0.031001
315.741932	545.801963	9.600000	12.272364	0.366484	0.633516	-0.032445	-0.030896
