N1	N2	time	env
250.000000	250.000000	0.000000	20.000000
243.396967	243.396967	1.000000	59.234587
237.075528	237.075528	2.000000	59.653673
231.018312	231.018312	3.000000	59.103594
225.209351	225.209351	4.000000	58.979344
219.633934	219.633934	5.000000	60.246876
214.278492	214.278492	6.000000	59.483307
209.130487	209.130487	7.000000	58.973830
204.178314	204.178314	8.000000	59.077399
199.411218	199.411218	9.000000	60.083184
194.819218	194.819218	10.000000	59.900913
190.393038	190.393038	11.000000	58.700146
186.124043	186.124043	12.000000	60.075991
182.004190	182.004190	13.000000	58.770742
178.025974	178.025974	14.000000	60.134695
174.182384	174.182384	15.000000	59.061863
170.466865	170.466865	16.000000	60.153888
166.873281	166.873281	17.000000	58.508220
163.395880	163.395880	18.000000	59.131792
160.029267	160.029267	19.000000	59.815771
156.768376	156.768376	20.000000	59.795625
153.608444	153.608444	21.000000	58.883796
150.544989	150.544989	22.000000	59.322110
147.573793	147.573793	23.000000	60.552222
144.690876	144.690876	24.000000	59.366336
141.892488	141.892488	25.000000	59.221958
139.175085	139.175085	26.000000	59.612005
136.535318	136.535318	27.000000	59.062129
133.970022	133.970022	28.000000	59.611760
131.476201	131.476201	29.000000	59.335515
129.051015	129.051015	30.000000	60.113688
126.691775	126.691775	31.000000	59.701479
124.395930	124.395930	32.000000	59.456011
122.161057	122.161057	33.000000	60.277879
119.984857	119.984857	34.000000	59.734563
117.865143	117.865143	35.000000	59.910879
115.799837	115.799837	36.000000	58.726146
113.786959	113.786959	37.000000	59.758493
111.824626	111.824626	38.000000	58.686574
109.911042	109.911042	39.000000	59.281351
108.044498	108.044498	40.000000	59.028274
106.223360	106.223360	41.000000	59.399266
104.446070	104.446070	42.000000	59.912405
102.711142	102.711142	43.000000	59.116793
101.017155	101.017155	44.000000	59.785205
99.362749	99.362749	45.000000	58.984526
97.746625	97.746625	46.000000	59.780835
96.167541	96.167541	47.000000	60.461360
94.624306	94.624306	48.000000	60.715431
93.115781	93.115781	49.000000	59.585133
91.640873	91.640873	50.000000	59.419050
90.198536	90.198536	51.000000	59.403871
88.787765	88.787765	52.000000	59.768129
87.407596	87.407596	53.000000	58.616983
86.057106	86.057106	54.000000	59.482554
84.735406	84.735406	55.000000	58.934409
83.441642	83.441642	56.000000	60.119480
82.174995	82.174995	57.000000	59.544764
80.934677	80.934677	58.000000	59.831513
79.719930	79.719930	59.000000	58.921902
78.530023	78.530023	60.000000	58.776632
77.364255	77.364255	61.000000	58.226182
76.221949	76.221949	62.000000	58.821483
75.102454	75.102454	63.000000	58.758508
74.005144	74.005144	64.000000	59.312400
72.929412	72.929412	65.000000	59.593004
71.874676	71.874676	66.000000	59.892932
70.840374	70.840374	67.000000	58.958332
69.825961	69.825961	68.000000	60.105449
68.830916	68.830916	69.000000	59.671012
67.854731	67.854731	70.000000	59.238131
66.897321	66.896918	71.000000	-3.684773
65.957837	65.957006	72.000000	-3.548017
65.035614	65.034538	73.000000	-4.299386
64.130360	64.129074	74.000000	-4.461616
63.241898	63.240187	75.000000	-3.449677
62.369599	62.367466	76.000000	-3.417965
61.513048	61.510511	77.000000	-3.439239
60.671757	60.668938	78.000000	-3.870979
59.845310	59.842372	79.000000	-4.841794
59.033586	59.030452	80.000000	-4.257957
58.236122	58.232827	81.000000	-4.451340
57.452622	57.449160	82.000000	-4.362338
56.682733	56.679121	83.000000	-4.450782
55.926341	55.922391	84.000000	-3.457443
55.182892	55.178661	85.000000	-3.650097
54.452035	54.447633	86.000000	-4.181884
53.734056	53.729015	87.000000	-2.508393
53.027753	53.022525	88.000000	-3.984187
52.333351	52.327892	89.000000	-3.716327
51.650547	51.644848	90.000000	-3.645209
50.979033	50.973136	91.000000	-3.818387
50.318510	50.312508	92.000000	-4.359842
49.668842	49.662718	93.000000	-4.223958
49.029855	49.023532	94.000000	-3.723571
48.401592	48.394720	95.000000	-2.499109
47.782964	47.776059	96.000000	-4.834668
47.174389	47.167333	97.000000	-3.878768
46.575633	46.568331	98.000000	-3.374098
45.986284	45.978849	99.000000	-3.921305
45.406521	45.398686	100.000000	-2.764942
44.835518	44.827650	101.000000	-4.622085
44.273589	44.265552	102.000000	-3.622461
43.720355	43.712209	103.000000	-3.950478
43.175681	43.167441	104.000000	-4.026505
42.639420	42.631076	105.000000	-3.934921
42.111363	42.102944	106.000000	-4.115582
41.591366	41.582880	107.000000	-4.157273
41.079232	41.070723	108.000000	-4.544269
40.574905	40.566318	109.000000	-4.032931
40.078217	40.069511	110.000000	-3.730056
39.588870	39.580155	111.000000	-4.623204
39.106996	39.098105	112.000000	-3.359354
38.632334	38.623218	113.000000	-3.104149
38.164590	38.155359	114.000000	-3.645349
37.703716	37.694392	115.000000	-3.760073
37.249485	37.240187	116.000000	-4.913233
36.801986	36.792616	117.000000	-3.884531
36.360924	36.351555	118.000000	-4.549101
35.926290	35.916882	119.000000	-4.116162
35.497895	35.488478	120.000000	-4.404307
35.075625	35.066229	121.000000	-4.761987
34.659435	34.650020	122.000000	-4.267776
34.249173	34.239742	123.000000	-4.282153
33.844861	33.835286	124.000000	-3.293657
33.446253	33.436548	125.000000	-3.351314
33.053203	33.043424	126.000000	-3.697718
32.665671	32.655815	127.000000	-3.650615
32.283565	32.273622	128.000000	-3.556254
31.906745	31.896750	129.000000	-3.794392
31.535206	31.525104	130.000000	-3.382789
31.168666	31.158594	131.000000	-4.649968
30.807161	30.797129	132.000000	-4.804444
30.450778	30.440622	133.000000	-3.224440
30.099244	30.088988	134.000000	-3.354974
29.752370	29.742143	135.000000	-4.555190
29.410283	29.400005	136.000000	-3.678162
29.072755	29.062494	137.000000	-4.370017
28.739810	28.729532	138.000000	-3.963156
28.411322	28.401042	139.000000	-4.110224
28.087194	28.076949	140.000000	-4.590373
27.767300	27.757180	141.000000	47.314781
27.451660	27.441663	142.000000	47.689385
27.140203	27.130328	143.000000	46.644167
26.832861	26.823106	144.000000	47.927904
26.529567	26.519929	145.000000	46.995134
26.230254	26.220732	146.000000	48.010961
25.934857	25.925450	147.000000	47.129172
25.643314	25.634020	148.000000	47.783712
25.355562	25.346379	149.000000	46.826316
25.071541	25.062468	150.000000	47.158662
24.791191	24.782226	151.000000	47.414690
24.514453	24.505595	152.000000	47.375810
24.241272	24.232519	153.000000	47.901042
23.971590	23.962940	154.000000	47.841243
23.705352	23.696805	155.000000	47.120980
23.442506	23.434060	156.000000	48.132137
23.182998	23.174651	157.000000	48.003516
22.926777	22.918527	158.000000	48.269633
22.673791	22.665638	159.000000	47.210962
22.423992	22.415934	160.000000	48.168297
22.177329	22.169366	161.000000	48.270851
21.933757	21.925886	162.000000	48.006932
21.693227	21.685448	163.000000	47.154268
21.455694	21.448004	164.000000	47.672509
21.221112	21.213512	165.000000	47.440547
20.989437	20.981925	166.000000	46.800181
20.760627	20.753201	167.000000	47.305440
20.534637	20.527296	168.000000	48.733703
20.311427	20.304170	169.000000	46.919998
20.090955	20.083781	170.000000	47.027142
19.873181	19.866089	171.000000	47.221486
19.658065	19.651054	172.000000	47.803660
19.445568	19.438638	173.000000	47.919708
19.235654	19.228802	174.000000	46.862232
19.028283	19.021509	175.000000	47.736429
18.823419	18.816721	176.000000	47.762618
18.621026	18.614404	177.000000	47.689200
18.421068	18.414522	178.000000	47.049718
18.223512	18.217039	179.000000	48.029486
18.028322	18.021921	180.000000	47.662446
17.835464	17.829136	181.000000	47.377867
17.644907	17.638649	182.000000	48.083574
17.456617	17.450429	183.000000	47.529001
17.270562	17.264444	184.000000	47.421977
17.086712	17.080662	185.000000	47.631860
16.905035	16.899052	186.000000	48.261133
16.725501	16.719585	187.000000	47.629529
16.548081	16.542230	188.000000	48.008973
16.372744	16.366959	189.000000	45.769259
16.199463	16.193742	190.000000	47.014649
16.028210	16.022551	191.000000	47.114161
15.858955	15.853359	192.000000	47.090630
15.691673	15.686139	193.000000	47.325876
15.526336	15.520863	194.000000	47.454341
15.362918	15.357505	195.000000	46.565111
15.201393	15.196039	196.000000	47.637241
15.041735	15.036440	197.000000	47.232645
14.883919	14.878682	198.000000	48.157509
14.727921	14.722741	199.000000	47.481797
14.573716	14.568592	200.000000	47.803735
14.421280	14.416213	201.000000	47.536949
14.270591	14.265578	202.000000	47.428555
14.121623	14.116665	203.000000	48.478746
13.974356	13.969452	204.000000	47.249821
13.828766	13.823915	205.000000	47.596073
13.684832	13.680033	206.000000	47.293674
13.542532	13.537785	207.000000	46.778573
13.401844	13.397148	208.000000	47.628399
13.262747	13.258102	209.000000	47.576401
13.125221	13.120626	210.000000	47.489675
12.989245	12.984699	211.000000	47.672670
12.854800	12.850303	212.000000	47.361477
12.721865	12.717417	213.000000	47.688022
12.590422	12.586021	214.000000	48.129877
12.460451	12.456097	215.000000	47.381456
12.331933	12.327625	216.000000	47.635704
12.204849	12.200588	217.000000	47.927412
12.079182	12.074966	218.000000	47.683985
11.954914	11.950743	219.000000	47.784579
11.832026	11.827899	220.000000	48.322871
11.710502	11.706419	221.000000	48.915591
11.590324	11.586284	222.000000	48.275260
11.471475	11.467478	223.000000	48.388131
11.353939	11.349984	224.000000	47.806422
11.237699	11.233786	225.000000	47.869541
11.122739	11.118867	226.000000	48.823848
11.009043	11.005213	227.000000	48.129256
10.896596	10.892806	228.000000	48.450117
10.785382	10.781631	229.000000	48.870393
10.675385	10.671674	230.000000	47.568254
10.566591	10.562919	231.000000	47.664749
10.458985	10.455351	232.000000	48.283004
10.352552	10.348957	233.000000	48.377009
10.247279	10.243721	234.000000	47.577400
10.143150	10.139629	235.000000	47.513357
10.040152	10.036668	236.000000	48.942746
9.938271	9.934824	237.000000	48.721517
9.837494	9.834083	238.000000	48.251658
9.737807	9.734431	239.000000	48.635909
9.639197	9.635856	240.000000	48.090211
9.541651	9.538345	241.000000	48.028039
9.445157	9.441885	242.000000	48.235543
9.349701	9.346463	243.000000	47.564040
9.255271	9.252067	244.000000	47.869329
9.161855	9.158685	245.000000	48.433579
9.069441	9.066304	246.000000	48.175339
8.978017	8.974912	247.000000	47.170660
8.887572	8.884498	248.000000	47.999973
8.798092	8.795051	249.000000	47.992543
8.709568	8.706558	250.000000	47.221085
8.621988	8.619009	251.000000	48.304976
8.535340	8.532392	252.000000	47.869972
8.449615	8.446697	253.000000	48.594684
8.364800	8.361912	254.000000	47.821403
8.280885	8.278027	255.000000	48.604392
8.197860	8.195031	256.000000	47.921903
8.115715	8.112915	257.000000	47.612143
8.034438	8.031667	258.000000	47.780449
7.954020	7.951278	259.000000	47.734449
7.874452	7.871737	260.000000	48.407079
7.795723	7.793035	261.000000	47.138919
7.717823	7.715163	262.000000	47.634005
7.640742	7.638110	263.000000	48.629064
7.564473	7.561867	264.000000	48.274835
7.489004	7.486425	265.000000	48.447819
7.414327	7.411775	266.000000	48.406525
7.340434	7.337907	267.000000	48.091621
7.267314	7.264813	268.000000	47.414673
7.194959	7.192483	269.000000	47.482871
7.123360	7.120909	270.000000	47.695069
7.052509	7.050083	271.000000	47.671670
6.982397	6.979996	272.000000	47.499179
6.913015	6.910639	273.000000	48.980269
6.844357	6.842004	274.000000	47.870683
6.776412	6.774084	275.000000	47.906577
6.709174	6.706869	276.000000	48.551159
6.642634	6.640352	277.000000	47.983113
6.576785	6.574526	278.000000	47.063924
6.511618	6.509382	279.000000	47.654209
6.447126	6.444912	280.000000	47.542040
6.383600	6.381110	281.000000	-0.486277
6.320622	6.317968	282.000000	-1.210537
6.258457	6.255477	283.000000	-0.188758
6.196939	6.193632	284.000000	-0.143196
6.136120	6.132425	285.000000	0.147377
6.075673	6.071848	286.000000	-1.353203
6.015805	6.011895	287.000000	-1.817179
5.956602	5.952559	288.000000	-1.268287
5.898083	5.893833	289.000000	-0.662409
5.840122	5.835709	290.000000	-0.962823
5.782872	5.778183	291.000000	-0.206834
5.726106	5.721247	292.000000	-0.834757
5.669851	5.664894	293.000000	-1.441025
5.614285	5.609118	294.000000	-0.513981
5.559224	5.553912	295.000000	-0.943881
5.504717	5.499272	296.000000	-1.010837
5.450698	5.445189	297.000000	-1.733490
5.397334	5.391659	298.000000	-0.706090
5.344408	5.338675	299.000000	-1.735405
5.292151	5.286231	300.000000	-0.512075
5.240333	5.234321	301.000000	-1.284125
5.189018	5.182940	302.000000	-1.539102
5.138202	5.132081	303.000000	-1.846580
5.087933	5.081740	304.000000	-1.432737
5.038178	5.031909	305.000000	-1.364145
4.988921	4.982585	306.000000	-1.447626
4.940275	4.933762	307.000000	-0.423448
4.892066	4.885433	308.000000	-0.842989
4.844306	4.837594	309.000000	-1.214023
4.797067	4.790239	310.000000	-0.828110
4.750246	4.743364	311.000000	-1.456385
4.703858	4.696962	312.000000	-2.063462
4.657976	4.651030	313.000000	-1.477211
4.612688	4.605561	314.000000	-0.250359
4.567754	4.560552	315.000000	-1.107903
4.523276	4.515996	316.000000	-1.051948
4.479231	4.471890	317.000000	-1.229524
4.435679	4.428228	318.000000	-0.697391
4.392506	4.385005	319.000000	-1.317631
4.349774	4.342218	320.000000	-1.222871
4.307474	4.299861	321.000000	-1.177386
4.265628	4.257929	322.000000	-0.844004
4.224112	4.216419	323.000000	-2.134090
4.183131	4.175325	324.000000	-0.552284
4.142494	4.134644	325.000000	-1.257761
4.102279	4.094371	326.000000	-1.045837
4.062498	4.054502	327.000000	-0.710354
4.023102	4.015031	328.000000	-0.825274
3.984089	3.975956	329.000000	-0.943826
3.945496	3.937272	330.000000	-0.615946
3.907249	3.898975	331.000000	-1.032330
3.869448	3.861061	332.000000	-0.365177
3.831923	3.823525	333.000000	-1.557702
3.794797	3.786365	334.000000	-1.155626
3.758116	3.749575	335.000000	-0.348612
3.721798	3.713152	336.000000	-0.355940
3.685744	3.677092	337.000000	-1.529504
3.650058	3.641392	338.000000	-1.371468
3.614740	3.606047	339.000000	-1.146888
3.579770	3.571054	340.000000	-1.206155
3.545181	3.536409	341.000000	-0.745962
3.510876	3.502109	342.000000	-1.628052
3.476954	3.468150	343.000000	-0.939077
3.443443	3.434528	344.000000	-0.161878
3.410261	3.401240	345.000000	-0.168846
3.377379	3.368282	346.000000	-0.439075
3.344728	3.335652	347.000000	-1.813046
3.312482	3.303345	348.000000	-0.539575
3.280496	3.271358	349.000000	-1.354551
3.248817	3.239688	350.000000	-1.523592
3.995887	3.208308	351.000000	33.791634
4.982480	3.177182	352.000000	33.701818
6.431723	3.146287	353.000000	33.464372
8.101908	3.115600	354.000000	33.632765
9.327460	3.085127	355.000000	34.195819
11.417880	3.054856	356.000000	33.820121
14.148428	3.024742	357.000000	33.740213
16.241343	2.994784	358.000000	34.210892
19.265837	2.964976	359.000000	34.014566
23.962422	2.935244	360.000000	33.712797
27.503416	2.905574	361.000000	34.208614
35.034823	2.875895	362.000000	33.548363
41.572743	2.846120	363.000000	34.006306
51.774814	2.816191	364.000000	33.695916
68.923118	2.785831	365.000000	33.218809
90.903233	2.754730	366.000000	33.281484
114.890249	2.722727	367.000000	33.577856
138.462672	2.689814	368.000000	33.882504
146.378093	2.656450	369.000000	34.632234
173.021576	2.622614	370.000000	33.992987
214.738164	2.587464	371.000000	33.670141
233.414613	2.551217	372.000000	34.460357
282.163565	2.513817	373.000000	33.821541
332.812230	2.474505	374.000000	33.960688
418.169661	2.432544	375.000000	33.524717
552.711380	2.386113	376.000000	33.110496
656.694895	2.334921	377.000000	33.821352
763.316656	2.280017	378.000000	33.926726
911.523093	2.220774	379.000000	33.712880
1076.502290	2.156309	380.000000	33.734315
1394.854395	2.083779	381.000000	32.969308
1628.365441	2.002466	382.000000	33.639173
1910.525124	1.914442	383.000000	33.516565
2341.983126	1.817347	384.000000	33.057498
2536.511610	1.714276	385.000000	33.826356
2586.327669	1.613120	386.000000	34.159350
2512.296262	1.518351	387.000000	34.439645
2867.540588	1.425114	388.000000	33.384754
3237.775465	1.327916	389.000000	33.331075
3049.688283	1.235209	390.000000	34.446329
3389.205152	1.147126	391.000000	33.385880
3510.872681	1.060432	392.000000	33.787474
4199.977852	0.972390	393.000000	32.509343
3867.248668	0.888643	394.000000	34.325766
3490.353288	0.817913	395.000000	34.534898
3567.035296	0.754929	396.000000	33.849295
3988.167444	0.693312	397.000000	33.130125
3660.645615	0.636262	398.000000	34.402182
3529.542187	0.586531	399.000000	34.185189
3677.201124	0.540554	400.000000	33.699833
3771.731121	0.000000	401.000000	33.762701
3390.593480	0.000000	402.000000	34.582701
3222.684980	0.000000	403.000000	34.350508
3498.765915	0.000000	404.000000	33.501887
3711.004140	0.000000	405.000000	33.578642
3816.895638	0.000000	406.000000	33.731799
3754.724206	0.000000	407.000000	34.007868
3692.179577	0.000000	408.000000	34.029171
3712.969504	0.000000	409.000000	33.896584
3904.117168	0.000000	410.000000	33.568389
4156.138570	0.000000	411.000000	33.403379
4316.460881	0.000000	412.000000	33.505733
3755.706621	0.000000	413.000000	34.637069
3793.485940	0.000000	414.000000	33.845886
4025.090132	0.000000	415.000000	33.470055
4334.874649	0.000000	416.000000	33.262843
4626.086527	0.000000	417.000000	33.218089
4546.283596	0.000000	418.000000	33.761739
3889.577600	0.000000	419.000000	34.678974
3867.081125	0.000000	420.000000	33.913293
3212.339858	0.000000	421.000000	35.340066
2743.414555	0.000000	422.000000	35.144631
2391.046874	0.000000	423.000000	35.380601
2324.867300	0.000000	424.000000	34.486968
2064.085493	0.000000	425.000000	35.298742
1891.238154	0.000000	426.000000	34.897010
1712.212981	0.000000	427.000000	35.152865
1562.860045	0.000000	428.000000	36.068013
1436.372206	0.000000	429.000000	35.547033
1327.876589	0.000000	430.000000	35.826136
1233.793116	0.000000	431.000000	35.107711
1151.432443	0.000000	432.000000	35.774240
1078.735161	0.000000	433.000000	35.621187
1077.266970	0.000000	434.000000	34.686036
1012.787566	0.000000	435.000000	36.304556
955.076183	0.000000	436.000000	36.386755
903.122586	0.000000	437.000000	35.269959
892.180894	0.000000	438.000000	34.788719
846.176897	0.000000	439.000000	35.018457
804.308063	0.000000	440.000000	35.024940
766.042479	0.000000	441.000000	35.336970
730.935706	0.000000	442.000000	35.782294
716.349888	0.000000	443.000000	34.873287
699.555023	0.000000	444.000000	34.895130
669.629488	0.000000	445.000000	35.096194
641.907872	0.000000	446.000000	35.689528
616.156476	0.000000	447.000000	35.377228
592.173511	0.000000	448.000000	36.029476
569.783838	0.000000	449.000000	35.252890
548.834700	0.000000	450.000000	35.633984
529.192266	0.000000	451.000000	35.021471
510.738781	0.000000	452.000000	35.540053
502.957932	0.000000	453.000000	34.903533
486.037509	0.000000	454.000000	35.428398
470.072465	0.000000	455.000000	35.933721
459.267475	0.000000	456.000000	34.953325
444.760256	0.000000	457.000000	35.069393
431.015497	0.000000	458.000000	35.750540
417.975200	0.000000	459.000000	36.211282
405.587104	0.000000	460.000000	35.326108
393.803994	0.000000	461.000000	35.842513
382.583102	0.000000	462.000000	36.525373
371.885599	0.000000	463.000000	35.508595
382.130541	0.000000	464.000000	34.719972
396.428100	0.000000	465.000000	34.666866
385.083118	0.000000	466.000000	35.160032
374.270019	0.000000	467.000000	35.539063
365.751944	0.000000	468.000000	34.975544
355.817516	0.000000	469.000000	35.366798
374.326959	0.000000	470.000000	34.599325
364.007067	0.000000	471.000000	36.232549
354.150235	0.000000	472.000000	35.403492
359.333935	0.000000	473.000000	34.790370
355.705557	0.000000	474.000000	34.914830
362.419697	0.000000	475.000000	34.768397
352.633208	0.000000	476.000000	35.845678
343.275202	0.000000	477.000000	35.355887
334.318536	0.000000	478.000000	35.519619
325.738312	0.000000	479.000000	36.261359
317.511652	0.000000	480.000000	35.097218
309.617489	0.000000	481.000000	35.600332
302.036403	0.000000	482.000000	36.101323
294.750452	0.000000	483.000000	35.827253
311.526225	0.000000	484.000000	34.591080
338.062227	0.000000	485.000000	34.442007
329.325574	0.000000	486.000000	35.337403
320.951935	0.000000	487.000000	35.734355
312.919500	0.000000	488.000000	35.366223
306.353429	0.000000	489.000000	34.981464
298.900078	0.000000	490.000000	35.239152
