N1	N2	time	env	freq1	freq2	abf1	abf2
250.000000	250.000000	0.000000
249.694315	251.913215	0.100000	14.945184	0.497788	0.502212	-0.012246	0.076192
249.388427	253.838790	0.200000	14.945184	0.495578	0.504422	-0.012270	0.076102
249.082333	255.776771	0.300000	14.945184	0.493370	0.506630	-0.012293	0.076011
248.776029	257.727199	0.400000	14.945184	0.491164	0.508836	-0.012317	0.075920
248.469509	259.690119	0.500000	14.945184	0.488960	0.511040	-0.012341	0.075828
248.162770	261.665574	0.600000	14.945184	0.486758	0.513242	-0.012365	0.075735
247.855808	263.653605	0.700000	14.945184	0.484558	0.515442	-0.012389	0.075642
247.548618	265.654254	0.800000	14.945184	0.482360	0.517640	-0.012414	0.075548
247.241196	267.667563	0.900000	14.945184	0.480165	0.519835	-0.012439	0.075454
246.933538	269.693573	1.000000	14.945184	0.477972	0.522028	-0.012464	0.075359
246.263063	268.942243	1.100000	4.910812	0.477990	0.522010	-0.027165	-0.027872
245.595599	268.194371	1.200000	4.910812	0.478008	0.521992	-0.027116	-0.027821
244.931125	267.449933	1.300000	4.910812	0.478025	0.521975	-0.027068	-0.027771
244.269621	266.708905	1.400000	4.910812	0.478043	0.521957	-0.027020	-0.027721
243.611067	265.971264	1.500000	4.910812	0.478060	0.521940	-0.026973	-0.027670
242.955445	265.236988	1.600000	4.910812	0.478078	0.521922	-0.026925	-0.027621
242.302735	264.506055	1.700000	4.910812	0.478095	0.521905	-0.026878	-0.027571
241.652918	263.778440	1.800000	4.910812	0.478112	0.521888	-0.026831	-0.027522
241.005975	263.054124	1.900000	4.910812	0.478129	0.521871	-0.026784	-0.027472
240.361887	262.333083	2.000000	4.910812	0.478147	0.521853	-0.026737	-0.027424
252.024526	261.612093	2.100000	28.923853	0.490667	0.509333	0.473521	-0.027621
264.237661	260.887799	2.200000	28.923853	0.503190	0.496810	0.472925	-0.027829
277.025736	260.159951	2.300000	28.923853	0.515698	0.484302	0.472300	-0.028049
290.414126	259.428291	2.400000	28.923853	0.528177	0.471823	0.471645	-0.028280
304.429156	258.692549	2.500000	28.923853	0.540610	0.459390	0.470959	-0.028523
319.098127	257.952448	2.600000	28.923853	0.552981	0.447019	0.470240	-0.028780
334.449323	257.207698	2.700000	28.923853	0.565276	0.434724	0.469488	-0.029049
350.512036	256.458002	2.800000	28.923853	0.577478	0.422522	0.468700	-0.029333
367.316572	255.703050	2.900000	28.923853	0.589575	0.410425	0.467875	-0.029631
384.894269	254.942522	3.000000	28.923853	0.601551	0.398449	0.467011	-0.029945
384.241633	257.326701	3.100000	15.230829	0.598910	0.401090	-0.016978	0.093031
383.589518	259.730407	3.200000	15.230829	0.596266	0.403734	-0.016994	0.092923
382.937910	262.153744	3.300000	15.230829	0.593618	0.406382	-0.017010	0.092815
