N1	N2	time	env	freq1	freq2	abf1	abf2
250.000000	250.000000	0.000000
256.944492	255.906089	0.100000	24.194850	0.501012	0.498988	0.273758	0.233278
264.069446	261.940202	0.200000	24.194850	0.502024	0.497976	0.273281	0.232834
271.378870	268.104550	0.300000	24.194850	0.503035	0.496965	0.272792	0.232380
278.876819	274.401354	0.400000	24.194850	0.504044	0.495956	0.272291	0.231915
286.567400	280.832846	0.500000	24.194850	0.505053	0.494947	0.271778	0.231439
294.454770	287.401264	0.600000	24.194850	0.506061	0.493939	0.271253	0.230953
302.543129	294.108851	0.700000	24.194850	0.507068	0.492932	0.270714	0.230456
310.836723	300.957854	0.800000	24.194850	0.508074	0.491926	0.270162	0.229948
319.339838	307.950523	0.900000	24.194850	0.509078	0.490922	0.269597	0.229428
328.056803	315.089108	1.000000	24.194850	0.510081	0.489919	0.269019	0.228897
334.844741	326.317337	1.100000	23.002223	0.506449	0.493551	0.204519	0.349798
341.753624	337.921768	1.200000	23.002223	0.502819	0.497181	0.203941	0.349080
348.784675	349.913355	1.300000	23.002223	0.499192	0.500808	0.203350	0.348340
355.939077	362.303256	1.400000	23.002223	0.495570	0.504430	0.202744	0.347577
363.217978	375.102830	1.500000	23.002223	0.491951	0.508049	0.202124	0.346791
370.622484	388.323630	1.600000	23.002223	0.488338	0.511662	0.201490	0.345982
378.153653	401.977397	1.700000	23.002223	0.484731	0.515269	0.200840	0.345149
385.812500	416.076054	1.800000	23.002223	0.481130	0.518870	0.200175	0.344291
393.599986	430.631697	1.900000	23.002223	0.477536	0.522464	0.199495	0.343407
401.517019	445.656587	2.000000	23.002223	0.473949	0.526051	0.198798	0.342498
412.642622	454.486464	2.100000	24.395141	0.475872	0.524128	0.272952	0.195862
424.045072	463.460219	2.200000	24.395141	0.477794	0.522206	0.272202	0.195185
435.729571	472.578873	2.300000	24.395141	0.479715	0.520285	0.271436	0.194495
447.701326	481.843394	2.400000	24.395141	0.481635	0.518365	0.270652	0.193793
459.965547	491.254696	2.500000	24.395141	0.483553	0.516447	0.269850	0.193077
472.527440	500.813632	2.600000	24.395141	0.485470	0.514530	0.269031	0.192347
485.392197	510.520997	2.700000	24.395141	0.487384	0.512616	0.268194	0.191605
498.564994	520.377520	2.800000	24.395141	0.489296	0.510704	0.267338	0.190849
512.050983	530.383863	2.900000	24.395141	0.491207	0.508793	0.266464	0.190078
525.855282	540.540619	3.000000	24.395141	0.493115	0.506885	0.265570	0.189295
536.463499	558.051841	3.100000	23.183711	0.490138	0.509862	0.199283	0.318275
547.237023	576.066870	3.200000	23.183711	0.487167	0.512833	0.198384	0.317158
558.176209	594.596226	3.300000	23.183711	0.484203	0.515797	0.197466	0.316013
569.281296	613.650397	3.400000	23.183711	0.481246	0.518754	0.196530	0.314838
580.552410	633.239822	3.500000	23.183711	0.478296	0.521704	0.195575	0.313633
591.989554	653.374870	3.600000	23.183711	0.475354	0.524646	0.194600	0.312398
603.592603	674.065817	3.700000	23.183711	0.472421	0.527579	0.193606	0.311131
615.361302	695.322829	3.800000	23.183711	0.469496	0.530504	0.192593	0.309833
627.295260	717.155935	3.900000	23.183711	0.466581	0.533419	0.191559	0.308503
639.393946	739.575001	4.000000	23.183711	0.463675	0.536325	0.190506	0.307140
654.243209	756.944843	4.100000	23.922834	0.463612	0.536388	0.229037	0.231562
669.363711	774.631528	4.200000	23.922834	0.463550	0.536450	0.227928	0.230376
684.756989	792.636560	4.300000	23.922834	0.463490	0.536510	0.226798	0.229168
700.424425	810.961240	4.400000	23.922834	0.463432	0.536568	0.225648	0.227938
716.367236	829.606655	4.500000	23.922834	0.463376	0.536624	0.224478	0.226687
732.586470	848.573670	4.600000	23.922834	0.463322	0.536678	0.223288	0.225414
749.082993	867.862919	4.700000	23.922834	0.463270	0.536730	0.222077	0.224120
765.857487	887.474795	4.800000	23.922834	0.463221	0.536779	0.220846	0.222804
782.910442	907.409443	4.900000	23.922834	0.463173	0.536827	0.219595	0.221466
800.242147	927.666749	5.000000	23.922834	0.463128	0.536872	0.218323	0.220106
818.089404	947.683310	5.100000	23.976014	0.463304	0.536696	0.219925	0.212798
