N1	N2	time	env	freq1	freq2	abf1	abf2
250.000000	250.000000	0.000000
249.327940	249.326548	0.100000	5.887693	0.500001	0.499999	-0.026895	-0.026951
248.658854	248.656079	0.200000	5.887693	0.500003	0.499997	-0.026848	-0.026904
247.992724	247.988574	0.300000	5.887693	0.500004	0.499996	-0.026802	-0.026857
247.329529	247.324013	0.400000	5.887693	0.500006	0.499994	-0.026755	-0.026811
246.669252	246.662377	0.500000	5.887693	0.500007	0.499993	-0.026709	-0.026765
246.011872	246.003648	0.600000	5.887693	0.500008	0.499992	-0.026663	-0.026718
245.357371	245.347806	0.700000	5.887693	0.500010	0.499990	-0.026617	-0.026673
244.705731	244.694832	0.800000	5.887693	0.500011	0.499989	-0.026571	-0.026627
244.056933	244.044709	0.900000	5.887693	0.500013	0.499987	-0.026526	-0.026581
243.410959	243.397417	1.000000	5.887693	0.500014	0.499986	-0.026481	-0.026536
242.766388	242.752892	1.100000	-4.154788	0.500014	0.499986	-0.026493	-0.026493
242.124613	242.111162	1.200000	-4.154788	0.500014	0.499986	-0.026448	-0.026448
241.485618	241.472212	1.300000	-4.154788	0.500014	0.499986	-0.026404	-0.026403
240.849384	240.836023	1.400000	-4.154788	0.500014	0.499986	-0.026359	-0.026359
240.215893	240.202577	1.500000	-4.154788	0.500014	0.499986	-0.026315	-0.026314
239.585129	239.571857	1.600000	-4.154788	0.500014	0.499986	-0.026271	-0.026270
238.957074	238.943847	1.700000	-4.154788	0.500014	0.499986	-0.026227	-0.026226
238.331711	238.318527	1.800000	-4.154788	0.500014	0.499986	-0.026183	-0.026183
237.709023	237.695883	1.900000	-4.154788	0.500014	0.499986	-0.026139	-0.026139
237.088993	237.075897	2.000000	-4.154788	0.500014	0.499986	-0.026096	-0.026096
239.614283	248.647245	2.100000	20.705110	0.490750	0.509250	0.105769	0.476232
242.157666	260.766611	2.200000	20.705110	0.481499	0.518501	0.105400	0.475575
244.718851	273.458334	2.300000	20.705110	0.472269	0.527731	0.105018	0.474889
247.297523	286.747676	2.400000	20.705110	0.463065	0.536935	0.104623	0.474173
249.893337	300.660845	2.500000	20.705110	0.453894	0.546106	0.104215	0.473426
252.505922	315.225008	2.600000	20.705110	0.444763	0.555237	0.103793	0.472645
255.134873	330.468312	2.700000	20.705110	0.435679	0.564321	0.103357	0.471830
257.779756	346.419894	2.800000	20.705110	0.426647	0.573353	0.102906	0.470980
260.440103	363.109898	2.900000	20.705110	0.417673	0.582327	0.102439	0.470092
263.115412	380.569485	3.000000	20.705110	0.408764	0.591236	0.101956	0.469166
262.321106	379.287200	3.100000	-0.337303	0.408849	0.591151	-0.030202	-0.033711
261.530903	378.012251	3.200000	-0.337303	0.408934	0.591066	-0.030137	-0.033631
260.744770	376.744576	3.300000	-0.337303	0.409018	0.590982	-0.030072	-0.033552
