N1	N2	time	env
250.000000	250.000000	0.000000	20.000000
245.509161	248.432420	1.000000	9.835769
284.643766	362.024550	2.000000	19.703897
453.795367	349.728645	3.000000	28.678599
436.809468	337.505786	4.000000	3.610992
478.643090	525.578255	5.000000	18.385175
462.425200	513.517528	6.000000	9.891060
443.598597	491.578617	7.000000	4.116799
425.840069	471.239063	8.000000	55.270721
455.672405	743.237781	9.000000	17.658883
577.560933	769.843907	10.000000	22.426753
648.218776	1086.278947	11.000000	19.628856
620.243946	1109.657430	12.000000	11.868709
959.286714	1025.938597	13.000000	30.451015
1416.229508	944.917849	14.000000	27.434795
1886.028730	865.652612	15.000000	32.361622
1791.414015	1262.958585	16.000000	15.960186
1597.160353	1141.105832	17.000000	7.520493
1459.454787	1136.268345	18.000000	11.776900
1690.397856	1240.643093	19.000000	21.765380
1535.446904	1229.111818	20.000000	11.799898
2077.934996	1107.894344	21.000000	25.736923
1891.000279	1317.499709	22.000000	13.929644
1741.120003	1665.227475	23.000000	14.586223
1769.701224	2269.601444	24.000000	19.021081
1615.769331	2853.489279	25.000000	15.029226
2263.043474	2386.895051	26.000000	28.264473
2939.563807	2011.734237	27.000000	26.293164
2719.613830	2747.544445	28.000000	17.989178
2307.412085	2614.021956	29.000000	12.496736
1964.063234	2203.559170	30.000000	7.082408
1745.340898	2278.739442	31.000000	13.047617
1569.017651	1964.680120	32.000000	34.860981
1406.361204	1788.553280	33.000000	10.584557
1280.191326	1721.541641	34.000000	11.660459
1305.951966	2420.323258	35.000000	18.480831
1162.876173	2090.454821	36.000000	54.005126
1323.084019	2284.718093	37.000000	21.424776
1179.945083	1984.507714	38.000000	35.196828
1064.757965	1751.198325	39.000000	0.036928
969.826332	1564.785420	40.000000	37.616094
1223.304994	1407.992159	41.000000	23.310688
1607.022940	1268.262527	42.000000	24.563142
2329.209888	1137.682577	43.000000	28.763427
2218.072863	1670.434176	44.000000	17.318068
1921.468527	1468.253768	45.000000	3.267258
1691.773930	1308.984676	46.000000	35.755599
1682.662171	1901.665500	47.000000	17.983551
2416.806739	1654.964586	48.000000	29.501953
3348.029144	1433.069830	49.000000	29.731502
2839.471500	1491.691532	50.000000	12.964125
2400.753434	1307.943961	51.000000	39.927910
2075.255920	1164.933042	52.000000	41.038270
2040.282502	1689.045670	53.000000	18.099484
2114.217849	2140.272446	54.000000	19.990178
2911.376942	1826.666969	55.000000	28.212211
2440.260104	1576.142263	56.000000	-2.753392
2703.872874	1583.364824	57.000000	22.079023
2297.704832	1385.800289	58.000000	4.688358
1992.536824	1232.094996	59.000000	-1.294842
1850.364518	1686.972385	60.000000	15.400531
2644.759941	1476.705432	61.000000	29.817344
2373.192620	1974.370974	62.000000	15.414691
3272.255079	1687.431268	63.000000	29.326312
2715.819232	1459.004873	64.000000	7.571282
2575.619347	2056.525461	65.000000	18.098055
2181.682785	1766.397928	66.000000	-8.804846
1937.928124	1884.667363	67.000000	13.198403
1902.971476	2604.871725	68.000000	18.375991
1769.136182	3549.708954	69.000000	16.817620
1637.125341	4613.645121	70.000000	17.183926
1739.533273	4439.247983	71.000000	21.438630
1470.503120	3498.682087	72.000000	-14.112225
1276.707524	2877.899958	73.000000	-14.789391
1129.616189	2438.143908	74.000000	-1.503342
1013.658646	2110.659189	75.000000	-5.570955
919.643608	1857.530609	76.000000	-10.883499
841.718444	1656.151548	77.000000	-19.081829
775.972724	1492.215126	78.000000	-38.292437
719.687239	1356.230245	79.000000	-21.095834
670.908178	1241.655317	80.000000	-20.071093
633.964100	1172.153259	81.000000	10.065173
595.402434	1084.050495	82.000000	-6.759568
561.124695	1007.429253	83.000000	-9.495988
534.218638	952.937206	84.000000	9.402114
506.168468	892.079354	85.000000	-14.640203
480.788866	837.955047	86.000000	-2.595092
460.110834	794.630319	87.000000	8.662040
438.806400	750.530951	88.000000	-11.504378
419.267032	710.656748	89.000000	-11.644439
401.318402	674.433474	90.000000	0.797879
387.525346	650.608916	91.000000	9.455530
371.968810	619.598829	92.000000	2.070288
357.442982	591.121598	93.000000	-12.234979
343.913217	564.882880	94.000000	-15.809539
331.279047	540.631478	95.000000	-15.523848
319.456126	518.152278	96.000000	-3.065170
308.886074	497.413210	97.000000	6.131644
298.431707	477.933193	98.000000	-9.300187
294.186688	510.447327	99.000000	11.985659
284.364796	490.286772	100.000000	-2.977139
275.108355	471.471197	101.000000	-3.428169
297.200323	744.915227	102.000000	17.724633
285.948960	707.435134	103.000000	-16.714209
275.470264	673.191546	104.000000	-11.438910
265.684378	641.786748	105.000000	-6.478216
256.521804	612.885422	106.000000	-9.331200
255.348671	723.461677	107.000000	13.270769
246.282474	688.317900	108.000000	-14.217777
237.802338	656.099115	109.000000	-9.625375
229.850489	626.458375	110.000000	-17.256792
222.376803	599.101352	111.000000	-17.119669
215.337494	573.776746	112.000000	-19.281312
208.694347	550.268704	113.000000	-6.249776
202.427216	528.390733	114.000000	0.184533
196.487459	507.980945	115.000000	-0.343694
190.879867	488.898250	116.000000	1.950828
185.519597	471.018655	117.000000	-1.676521
180.415479	454.233694	118.000000	-19.856936
175.552642	438.447232	119.000000	-15.086999
170.914634	423.574013	120.000000	-4.019977
166.484181	409.538186	121.000000	-19.446408
162.248188	396.272045	122.000000	-5.898672
158.195413	383.714956	123.000000	-2.525982
154.314688	371.812459	124.000000	-1.254783
150.588313	360.515531	125.000000	-12.860565
147.094543	349.783692	126.000000	3.927820
143.655012	339.568589	127.000000	-19.633907
140.347551	329.838427	128.000000	-19.095445
137.444589	320.726605	129.000000	6.510856
134.405859	311.861362	130.000000	2.494378
131.442101	303.390493	131.000000	-9.806669
128.583698	295.289179	132.000000	-14.071211
125.825246	287.534263	133.000000	-5.725760
123.161225	280.104475	134.000000	-7.479980
120.586891	272.980248	135.000000	-13.619429
118.098236	266.143542	136.000000	-4.377530
138.453028	384.631995	137.000000	19.831646
135.181354	372.827918	138.000000	-15.156933
132.038529	361.617212	139.000000	-25.743277
131.434253	386.645067	140.000000	11.858913
174.198568	383.223624	141.000000	22.863771
249.530516	370.951412	142.000000	24.744368
242.375055	359.029959	143.000000	53.753596
235.561633	347.741803	144.000000	39.160243
249.134095	336.971495	145.000000	34.567147
273.846559	530.959043	146.000000	18.165239
439.283569	508.864827	147.000000	30.021162
468.959002	800.871669	148.000000	17.632239
734.984798	754.063383	149.000000	28.913561
833.999472	1019.442947	150.000000	20.134871
780.490837	947.644962	151.000000	7.465509
730.965824	883.275704	152.000000	35.770387
687.012064	826.541051	153.000000	38.785169
647.736292	776.165534	154.000000	39.864801
741.566179	1038.212600	155.000000	20.260762
694.627463	964.281563	156.000000	36.414821
898.927265	897.397529	157.000000	23.300849
860.925706	1014.910239	158.000000	13.108381
802.244575	941.587165	159.000000	41.732110
750.650911	877.525231	160.000000	48.449962
977.044573	818.941882	161.000000	23.471816
1450.193435	761.276706	162.000000	27.547985
1671.392773	881.552052	163.000000	21.458288
1938.481257	948.547357	164.000000	21.937803
1721.160565	865.772300	165.000000	36.836501
1948.215285	997.855914	166.000000	21.408021
2700.634212	900.046423	167.000000	31.389855
2320.582748	812.553311	168.000000	37.184575
2732.565590	736.184418	169.000000	23.050587
2352.458484	669.303121	170.000000	3.374618
2644.373159	610.807281	171.000000	33.471264
2392.756274	802.528743	172.000000	14.714119
2112.255174	765.546358	173.000000	10.807763
2664.761955	697.057267	174.000000	24.470140
2733.974968	923.800281	175.000000	19.965125
3432.123632	823.661216	176.000000	25.284094
4286.830075	726.601921	177.000000	26.163701
5451.746811	631.161609	178.000000	30.389484
4251.026593	577.544400	179.000000	10.820742
3834.321798	835.750774	180.000000	18.040220
4036.899309	841.205326	181.000000	22.133240
3281.962386	744.796956	182.000000	43.715464
3100.333748	668.204168	183.000000	34.338332
2672.672660	661.622354	184.000000	11.737614
3713.230223	595.963757	185.000000	29.802519
4859.336805	526.887667	186.000000	28.890459
3961.990083	600.668096	187.000000	13.681669
3604.560580	875.385893	188.000000	17.914782
3308.342595	1264.027188	189.000000	17.885539
4307.188814	1094.049032	190.000000	31.063463
3648.455285	1492.703184	191.000000	15.764640
3858.044260	1424.422916	192.000000	22.309037
3353.739438	1994.898379	193.000000	16.531731
2751.499547	1696.461990	194.000000	36.411251
3552.363215	1458.503076	195.000000	26.579030
3025.573462	1745.352803	196.000000	14.402049
2527.107512	1508.564736	197.000000	45.271545
3489.014820	1311.728457	198.000000	29.850439
4583.391896	1127.877025	199.000000	29.392178
4174.377436	1486.911255	200.000000	19.249844
5270.860286	1251.606772	201.000000	29.126206
4051.666825	1067.207019	202.000000	35.532283
3494.590102	1498.650776	203.000000	16.156499
3416.632419	1844.818573	204.000000	20.145427
3422.509390	2083.851126	205.000000	20.868869
4362.222020	1736.271992	206.000000	27.736347
3450.847987	1469.697288	207.000000	4.208714
4441.166233	1256.934611	208.000000	27.805991
3527.389200	1085.285631	209.000000	38.343009
3599.040397	951.469764	210.000000	33.717297
4480.407093	831.478272	211.000000	26.407497
3578.003592	731.305149	212.000000	47.006621
3121.606974	984.880205	213.000000	15.200812
3890.072882	868.411926	214.000000	32.062533
3411.553694	1251.680491	215.000000	16.447178
3267.589757	1093.916661	216.000000	34.162194
4345.094868	954.220694	217.000000	30.504094
3481.833796	836.413172	218.000000	44.599403
4597.554787	734.874853	219.000000	30.506069
3660.187228	647.973682	220.000000	37.869215
