N1	N2	time	env	freq1	freq2	abf1	abf2
250.000000	250.000000	0.000000
249.338533	249.332178	0.100000	8.891367	0.500006	0.499994	-0.026471	-0.026725
248.679968	248.667297	0.200000	8.891367	0.500013	0.499987	-0.026424	-0.026679
248.024287	248.005337	0.300000	8.891367	0.500019	0.499981	-0.026378	-0.026633
247.371470	247.346280	0.400000	8.891367	0.500025	0.499975	-0.026332	-0.026587
246.721500	246.690107	0.500000	8.891367	0.500032	0.499968	-0.026287	-0.026541
246.074358	246.036799	0.600000	8.891367	0.500038	0.499962	-0.026241	-0.026495
245.430026	245.386338	0.700000	8.891367	0.500045	0.499955	-0.026196	-0.026450
244.788485	244.738705	0.800000	8.891367	0.500051	0.499949	-0.026151	-0.026405
244.149718	244.093883	0.900000	8.891367	0.500057	0.499943	-0.026106	-0.026360
243.513708	243.451854	1.000000	8.891367	0.500064	0.499936	-0.026062	-0.026315
251.335100	246.756045	1.100000	24.959747	0.504597	0.495403	0.315909	0.134648
259.395684	250.096954	1.200000	24.959747	0.509125	0.490875	0.315439	0.134320
267.702027	253.474691	1.300000	24.959747	0.513649	0.486351	0.314956	0.133985
276.260832	256.889352	1.400000	24.959747	0.518167	0.481833	0.314460	0.133643
285.078932	260.341021	1.500000	24.959747	0.522678	0.477322	0.313950	0.133294
294.163294	263.829766	1.600000	24.959747	0.527181	0.472819	0.313426	0.132938
303.521017	267.355645	1.700000	24.959747	0.531675	0.468325	0.312888	0.132575
313.159330	270.918697	1.800000	24.959747	0.536160	0.463840	0.312335	0.132204
323.085592	274.518946	1.900000	24.959747	0.540634	0.459366	0.311766	0.131825
333.307287	278.156402	2.000000	24.959747	0.545097	0.454903	0.311182	0.131439
349.056031	277.317378	2.100000	28.562079	0.557265	0.442735	0.461288	-0.030347
365.520085	276.473144	2.200000	28.562079	0.569352	0.430648	0.460482	-0.030634
382.729137	275.623367	2.300000	28.562079	0.581344	0.418656	0.459638	-0.030936
400.713839	274.767705	2.400000	28.562079	0.593227	0.406773	0.458756	-0.031253
419.505808	273.905803	2.500000	28.562079	0.604988	0.395012	0.457834	-0.031585
439.137631	273.037296	2.600000	28.562079	0.616615	0.383385	0.456869	-0.031935
459.642858	272.161807	2.700000	28.562079	0.628095	0.371905	0.455862	-0.032301
481.056001	271.278947	2.800000	28.562079	0.639417	0.360583	0.454809	-0.032685
503.412517	270.388317	2.900000	28.562079	0.650571	0.349429	0.453709	-0.033088
526.748803	269.489504	3.000000	28.562079	0.661547	0.338453	0.452560	-0.033509
524.595990	268.590177	3.100000	7.669538	0.661378	0.338622	-0.040891	-0.033383
522.458516	267.696200	3.200000	7.669538	0.661210	0.338790	-0.040766	-0.033296
520.336219	266.807524	3.300000	7.669538	0.661043	0.338957	-0.040642	-0.033209
518.228942	265.924101	3.400000	7.669538	0.660877	0.339123	-0.040519	-0.033123
516.136527	265.045883	3.500000	7.669538	0.660712	0.339288	-0.040397	-0.033037
514.058820	264.172824	3.600000	7.669538	0.660547	0.339453	-0.040276	-0.032952
511.995669	263.304877	3.700000	7.669538	0.660383	0.339617	-0.040155	-0.032867
509.946922	262.441996	3.800000	7.669538	0.660220	0.339780	-0.040035	-0.032783
507.912432	261.584137	3.900000	7.669538	0.660058	0.339942	-0.039917	-0.032699
505.892053	260.731254	4.000000	7.669538	0.659897	0.340103	-0.039798	-0.032616
503.875033	259.882317	4.100000	-12.868590	0.659732	0.340268	-0.039891	-0.032572
501.871949	259.038282	4.200000	-12.868590	0.659568	0.340432	-0.039774	-0.032489
499.882659	258.199105	4.300000	-12.868590	0.659405	0.340595	-0.039658	-0.032408
497.907022	257.364745	4.400000	-12.868590	0.659242	0.340758	-0.039543	-0.032326
495.944901	256.535157	4.500000	-12.868590	0.659080	0.340920	-0.039428	-0.032246
493.996159	255.710302	4.600000	-12.868590	0.658919	0.341081	-0.039314	-0.032165
492.060662	254.890137	4.700000	-12.868590	0.658759	0.341241	-0.039201	-0.032086
490.138277	254.074622	4.800000	-12.868590	0.658600	0.341400	-0.039088	-0.032006
488.228874	253.263716	4.900000	-12.868590	0.658441	0.341559	-0.038977	-0.031928
486.332323	252.457380	5.000000	-12.868590	0.658282	0.341718	-0.038866	-0.031850
484.448496	251.655574	5.100000	51.415139	0.658125	0.341875	-0.038756	-0.031772
482.577269	250.858259	5.200000	51.415139	0.657968	0.342032	-0.038646	-0.031694
480.718516	250.065398	5.300000	51.415139	0.657812	0.342188	-0.038537	-0.031618
478.872116	249.276951	5.400000	51.415139	0.657657	0.342343	-0.038429	-0.031541
477.037947	248.492882	5.500000	51.415139	0.657502	0.342498	-0.038322	-0.031465
475.215890	247.713153	5.600000	51.415139	0.657348	0.342652	-0.038215	-0.031390
473.405827	246.937728	5.700000	51.415139	0.657195	0.342805	-0.038109	-0.031315
471.607643	246.166570	5.800000	51.415139	0.657042	0.342958	-0.038004	-0.031240
469.821221	245.399644	5.900000	51.415139	0.656890	0.343110	-0.037899	-0.031166
