N1	N2	time	env	freq1	freq2	abf1	abf2
250.000000	250.000000	0.000000
250.391399	257.803682	0.100000	17.402904	0.492707	0.507293	0.015556	0.307175
250.778951	265.840219	0.200000	17.402904	0.485423	0.514577	0.015375	0.306765
251.162521	274.115891	0.300000	17.402904	0.478151	0.521849	0.015191	0.306344
251.541973	282.637102	0.400000	17.402904	0.470894	0.529106	0.015001	0.305910
251.917167	291.410387	0.500000	17.402904	0.463656	0.536344	0.014807	0.305464
252.287958	300.442404	0.600000	17.402904	0.456439	0.543561	0.014608	0.305005
252.654198	309.739940	0.700000	17.402904	0.449248	0.550752	0.014404	0.304533
253.015736	319.309905	0.800000	17.402904	0.442084	0.557916	0.014194	0.304047
253.372417	329.159335	0.900000	17.402904	0.434950	0.565050	0.013979	0.303547
253.724080	339.295388	1.000000	17.402904	0.427851	0.572149	0.013759	0.303033
254.033314	349.388317	1.100000	17.314261	0.420988	0.579012	0.012071	0.292872
254.337330	359.762849	1.200000	17.314261	0.414163	0.585837	0.011849	0.292347
254.635970	370.425732	1.300000	17.314261	0.407377	0.592623	0.011620	0.291808
254.929071	381.383808	1.400000	17.314261	0.400635	0.599365	0.011387	0.291255
255.216469	392.644013	1.500000	17.314261	0.393937	0.606063	0.011147	0.290686
255.497995	404.213371	1.600000	17.314261	0.387288	0.612712	0.010902	0.290102
255.773476	416.098993	1.700000	17.314261	0.380688	0.619312	0.010650	0.289502
256.042737	428.308072	1.800000	17.314261	0.374140	0.625860	0.010392	0.288886
256.305597	440.847876	1.900000	17.314261	0.367646	0.632354	0.010128	0.288254
256.561873	453.725747	2.000000	17.314261	0.361208	0.638792	0.009858	0.287605
255.758495	452.037983	2.100000	2.333900	0.361345	0.638655	-0.031325	-0.037217
254.959512	450.361008	2.200000	2.333900	0.361480	0.638520	-0.031252	-0.037117
254.164888	448.694718	2.300000	2.333900	0.361615	0.638385	-0.031179	-0.037018
253.374585	447.039015	2.400000	2.333900	0.361750	0.638250	-0.031106	-0.036919
252.588569	445.393799	2.500000	2.333900	0.361884	0.638116	-0.031034	-0.036821
251.806805	443.758973	2.600000	2.333900	0.362017	0.637983	-0.030962	-0.036724
251.029256	442.134439	2.700000	2.333900	0.362150	0.637850	-0.030891	-0.036627
250.255890	440.520103	2.800000	2.333900	0.362282	0.637718	-0.030820	-0.036531
249.486671	438.915869	2.900000	2.333900	0.362414	0.637586	-0.030749	-0.036436
