N1	N2	time	env	freq1	freq2	abf1	abf2
250.000000	250.000000	0.000000
249.326551	249.326499	0.100000	1.830650	0.500000	0.500000	-0.026951	-0.026953
248.656086	248.655981	0.200000	1.830650	0.500000	0.500000	-0.026904	-0.026906
247.988585	247.988429	0.300000	1.830650	0.500000	0.500000	-0.026857	-0.026859
247.324029	247.323821	0.400000	1.830650	0.500000	0.500000	-0.026811	-0.026813
246.662399	246.662140	0.500000	1.830650	0.500000	0.500000	-0.026764	-0.026766
246.003675	246.003366	0.600000	1.830650	0.500000	0.500000	-0.026718	-0.026720
245.347840	245.347480	0.700000	1.830650	0.500000	0.500000	-0.026672	-0.026674
244.694874	244.694463	0.800000	1.830650	0.500000	0.500000	-0.026627	-0.026629
244.044759	244.044298	0.900000	1.830650	0.500000	0.500000	-0.026581	-0.026583
243.397476	243.396966	1.000000	1.830650	0.500001	0.499999	-0.026536	-0.026538
242.753002	242.752448	1.100000	1.695387	0.500001	0.499999	-0.026491	-0.026493
242.111324	242.110727	1.200000	1.695387	0.500001	0.499999	-0.026446	-0.026448
241.472425	241.471785	1.300000	1.695387	0.500001	0.499999	-0.026401	-0.026403
240.836286	240.835604	1.400000	1.695387	0.500001	0.499999	-0.026357	-0.026359
240.202891	240.202166	1.500000	1.695387	0.500001	0.499999	-0.026312	-0.026314
239.572221	239.571454	1.600000	1.695387	0.500001	0.499999	-0.026268	-0.026270
238.944260	238.943451	1.700000	1.695387	0.500001	0.499999	-0.026224	-0.026226
238.318991	238.318139	1.800000	1.695387	0.500001	0.499999	-0.026180	-0.026182
237.696395	237.695503	1.900000	1.695387	0.500001	0.499999	-0.026137	-0.026139
237.076457	237.075523	2.000000	1.695387	0.500001	0.499999	-0.026093	-0.026095
236.467187	236.460761	2.100000	8.372259	0.500007	0.499993	-0.025711	-0.025943
235.860488	235.848602	2.200000	8.372259	0.500013	0.499987	-0.025668	-0.025901
235.256346	235.239032	2.300000	8.372259	0.500018	0.499982	-0.025626	-0.025858
234.654744	234.632034	2.400000	8.372259	0.500024	0.499976	-0.025584	-0.025816
234.055666	234.027592	2.500000	8.372259	0.500030	0.499970	-0.025542	-0.025773
233.459098	233.425690	2.600000	8.372259	0.500036	0.499964	-0.025500	-0.025731
232.865023	232.826312	2.700000	8.372259	0.500042	0.499958	-0.025458	-0.025690
232.273425	232.229444	2.800000	8.372259	0.500047	0.499953	-0.025417	-0.025648
231.684291	231.635069	2.900000	8.372259	0.500053	0.499947	-0.025375	-0.025606
231.097605	231.043172	3.000000	8.372259	0.500059	0.499941	-0.025334	-0.025565
242.413030	230.448505	3.100000	29.128182	0.512651	0.487349	0.477749	-0.025871
254.268079	229.850728	3.200000	29.128182	0.525218	0.474782	0.477169	-0.026078
266.687029	229.249626	3.300000	29.128182	0.537744	0.462256	0.476560	-0.026296
279.695105	228.644972	3.400000	29.128182	0.550213	0.449787	0.475921	-0.026526
293.318500	228.036532	3.500000	29.128182	0.562608	0.437392	0.475252	-0.026768
307.584396	227.424064	3.600000	29.128182	0.574915	0.425085	0.474551	-0.027023
322.520984	226.807316	3.700000	29.128182	0.587119	0.412881	0.473817	-0.027291
338.157483	226.186026	3.800000	29.128182	0.599205	0.400795	0.473047	-0.027572
354.524153	225.559923	3.900000	29.128182	0.611160	0.388840	0.472242	-0.027868
371.652312	224.928728	4.000000	29.128182	0.622970	0.377030	0.471398	-0.028179
388.197069	224.292454	4.100000	27.670191	0.633802	0.366198	0.435133	-0.028479
405.444612	223.651137	4.200000	27.670191	0.644488	0.355512	0.434284	-0.028791
423.421723	223.004518	4.300000	27.670191	0.655019	0.344981	0.433398	-0.029119
442.155923	222.352328	4.400000	27.670191	0.665388	0.334612	0.432474	-0.029461
461.675470	221.694292	4.500000	27.670191	0.675587	0.324413	0.431511	-0.029818
482.009350	221.030126	4.600000	27.670191	0.685608	0.314392	0.430508	-0.030192
503.187262	220.359539	4.700000	27.670191	0.695445	0.304555	0.429462	-0.030582
525.239609	219.682230	4.800000	27.670191	0.705094	0.294906	0.428373	-0.030989
548.197471	218.997893	4.900000	27.670191	0.714547	0.285453	0.427239	-0.031414
572.092585	218.306210	5.000000	27.670191	0.723802	0.276198	0.426058	-0.031857
597.198312	217.606808	5.100000	27.791329	0.732934	0.267066	0.428859	-0.032324
623.326820	216.899298	5.200000	27.791329	0.741856	0.258144	0.427567	-0.032812
650.512724	216.183333	5.300000	27.791329	0.750566	0.249434	0.426222	-0.033319
678.791179	215.458558	5.400000	27.791329	0.759062	0.240938	0.424822	-0.033849
708.197833	214.724610	5.500000	27.791329	0.767343	0.232657	0.423367	-0.034400
738.768765	213.981120	5.600000	27.791329	0.775407	0.224593	0.421853	-0.034974
770.540421	213.227710	5.700000	27.791329	0.783254	0.216746	0.420280	-0.035572
803.549541	212.463995	5.800000	27.791329	0.790885	0.209115	0.418644	-0.036194
837.833076	211.689586	5.900000	27.791329	0.798299	0.201701	0.416946	-0.036841
873.428100	210.904085	6.000000	27.791329	0.805499	0.194501	0.415182	-0.037514
868.441429	210.115851	6.100000	-3.205485	0.805188	0.194812	-0.057124	-0.037375
863.506004	209.333461	6.200000	-3.205485	0.804879	0.195121	-0.056862	-0.037237
858.621045	208.556846	6.300000	-3.205485	0.804572	0.195428	-0.056602	-0.037100
