N1	N2	time	env
250.000000	250.000000	0.000000	20.000000
266.495265	403.689741	1.000000	16.943373
426.295947	389.362498	2.000000	28.933094
413.438838	380.788835	3.000000	9.480166
398.330756	367.209506	4.000000	-0.673501
627.666392	353.651213	5.000000	30.808152
617.825860	426.514838	6.000000	13.418258
821.429417	407.881850	7.000000	23.596686
832.612044	630.255632	8.000000	16.136355
1241.532762	593.198424	9.000000	27.237586
1383.538178	792.742714	10.000000	20.252182
1263.368304	736.107717	11.000000	36.846394
1161.269175	686.846219	12.000000	44.779929
1644.030160	640.086341	13.000000	26.157005
1487.555919	595.835647	14.000000	48.356171
1356.914842	557.380809	15.000000	1.113535
1246.133743	523.606473	16.000000	1.341137
1826.115366	490.512003	17.000000	27.448481
1942.695839	681.521445	18.000000	19.720476
2806.770077	623.319052	19.000000	29.429032
2412.621178	568.950937	20.000000	0.687351
2111.722401	524.204865	21.000000	40.824779
1879.736895	487.133638	22.000000	7.188314
1732.456634	547.741986	23.000000	13.011424
1590.374104	557.788376	24.000000	11.706307
1457.867715	521.687236	25.000000	34.953689
1861.634455	487.480812	26.000000	23.789458
2168.610745	521.546245	27.000000	22.092848
2038.484799	757.585782	28.000000	15.668748
1808.031514	696.419987	29.000000	36.913072
1783.094232	1059.474737	30.000000	17.343096
2586.418942	955.577316	31.000000	29.870176
2638.239931	1261.622826	32.000000	19.851966
2262.281252	1121.751876	33.000000	5.980653
2484.576425	1255.285924	34.000000	21.454645
2141.817017	1119.109281	35.000000	-6.923669
2983.801826	999.126276	36.000000	27.980714
2617.386322	1190.711416	37.000000	14.044164
2245.811922	1062.262022	38.000000	37.197584
2051.359487	1382.585005	39.000000	14.799442
1944.397552	2012.203602	40.000000	16.809157
1715.349067	1843.526360	41.000000	11.022870
1529.977000	1677.667653	42.000000	10.469706
1365.988267	1491.739867	43.000000	47.491060
1241.105100	1358.495925	44.000000	9.346973
1130.132530	1231.931541	45.000000	4.811685
1366.884408	1231.253283	46.000000	22.409320
1239.642926	1120.525073	47.000000	2.950884
1526.223755	1040.422816	48.000000	22.899600
1491.893731	1558.275281	49.000000	16.742253
1352.473068	1454.142903	50.000000	10.737764
1222.110282	1310.255022	51.000000	35.280783
1113.960565	1191.182592	52.000000	1.405415
1022.526918	1091.027911	53.000000	35.465557
949.251895	1012.174177	54.000000	8.676077
914.145661	1260.994481	55.000000	14.128256
845.988666	1155.435533	56.000000	0.987935
786.847957	1065.242524	57.000000	49.745555
737.538355	989.274370	58.000000	7.611866
692.185024	921.039318	59.000000	4.692970
651.306801	860.967257	60.000000	-4.699757
614.723204	807.716881	61.000000	-5.246121
581.787386	760.195927	62.000000	-5.230428
567.064919	866.467929	63.000000	13.051324
865.427641	811.471194	64.000000	27.728678
809.308271	760.025403	65.000000	41.238132
779.146872	850.098953	66.000000	12.891801
742.426699	855.904761	67.000000	11.445738
697.898446	801.792249	68.000000	2.013599
660.120861	755.108349	69.000000	7.578097
624.014325	711.853081	70.000000	51.910792
628.720308	1054.001714	71.000000	15.690433
591.914338	980.275970	72.000000	37.150691
559.005654	915.499959	73.000000	41.288876
549.013104	1141.850209	74.000000	14.020202
855.808725	1055.894600	75.000000	29.951988
854.037365	1573.640906	76.000000	16.213031
1254.197889	1416.720571	77.000000	27.365083
1638.770718	1274.835439	78.000000	24.474999
1666.642070	1149.962290	79.000000	34.297712
1492.665229	1044.885195	80.000000	-11.321249
1350.013641	956.992742	81.000000	40.023338
1454.939179	880.376548	82.000000	34.065502
1691.194019	979.087547	83.000000	21.725227
2099.297976	891.198279	84.000000	23.607106
1852.510798	813.295518	85.000000	-2.638487
2119.120546	891.663213	86.000000	21.798333
2764.358219	806.312365	87.000000	25.432478
3211.752385	724.135776	88.000000	23.268764
2765.772224	750.523083	89.000000	12.473120
3400.308188	674.555064	90.000000	32.482411
2981.006156	890.294050	91.000000	14.923397
3396.629700	793.306875	92.000000	23.088509
3404.418209	1000.240879	93.000000	20.318396
2833.789755	888.340140	94.000000	44.847472
3690.188155	790.606890	95.000000	26.559337
3046.930367	705.575941	96.000000	2.872623
2900.472553	1030.170548	97.000000	18.177626
2526.317967	1101.481625	98.000000	12.958976
2598.341141	1416.426970	99.000000	20.087265
2223.105936	1251.185607	100.000000	2.088621
3134.858079	1107.812370	101.000000	29.846974
2636.624463	983.478925	102.000000	4.767981
3436.545810	875.301599	103.000000	31.792212
3418.334093	776.889835	104.000000	33.948119
3525.670082	903.628429	105.000000	21.098240
2924.637049	804.466297	106.000000	37.198936
2495.522610	726.739472	107.000000	5.172163
2190.443593	681.868904	108.000000	10.172121
1932.305572	627.360573	109.000000	50.361053
2495.216019	576.960456	110.000000	24.759968
2375.659980	529.518857	111.000000	34.520483
2666.011426	579.826063	112.000000	21.837943
2891.099087	669.337229	113.000000	21.366774
2527.474050	700.822299	114.000000	12.498409
2894.089696	635.962599	115.000000	33.255187
3872.697839	571.339673	116.000000	27.602475
3184.475982	513.518324	117.000000	-3.006832
2698.148103	468.116776	118.000000	36.140072
2336.450181	431.205052	119.000000	39.339159
2057.178193	400.410924	120.000000	0.165916
1834.906666	374.204247	121.000000	54.503597
2656.715693	348.161628	122.000000	30.759618
2511.097913	322.078165	123.000000	34.543346
2245.456548	342.673415	124.000000	12.395613
2198.535309	527.013798	125.000000	17.543232
3135.030669	482.740294	126.000000	29.221227
3373.061828	532.686050	127.000000	21.689494
4089.820643	477.499780	128.000000	25.041124
4381.920221	445.687149	129.000000	22.708107
4300.271239	537.852647	130.000000	20.768666
4308.849699	610.541930	131.000000	21.275394
3492.533349	546.285205	132.000000	8.319574
3098.633824	779.864990	133.000000	15.770883
4064.945554	693.197086	134.000000	31.321726
3309.238923	617.628906	135.000000	38.422114
2783.942791	559.130980	136.000000	37.788670
2397.877350	512.093703	137.000000	47.608372
2104.188860	473.219141	138.000000	4.897079
2595.696632	437.192976	139.000000	23.767339
3009.947396	410.633608	140.000000	22.856663
4016.728899	371.873077	141.000000	27.582865
3294.549666	336.543964	142.000000	-9.049510
2787.445677	308.762875	143.000000	1.699435
2875.607938	414.367290	144.000000	20.049064
2473.354340	381.490962	145.000000	-24.220269
2166.375122	354.229767	146.000000	-17.969910
1924.493960	331.129167	147.000000	-6.202642
1735.838713	312.243074	148.000000	8.043020
1573.520393	294.733991	149.000000	-10.832366
1437.490875	279.264429	150.000000	-8.541208
1322.608575	265.466411	151.000000	3.962140
1223.042706	253.052806	152.000000	-18.737353
1136.502008	241.810695	153.000000	-27.496299
1060.600730	231.567082	154.000000	-21.312246
999.345037	224.113607	155.000000	8.936138
938.964257	215.357109	156.000000	-21.095190
884.904502	207.266548	157.000000	-21.418307
836.229211	199.762500	158.000000	-14.652161
792.177798	192.778288	159.000000	-18.443017
933.344962	250.460963	160.000000	20.854585
882.244040	241.185839	161.000000	7.665304
833.280595	232.082310	162.000000	-7.741261
791.299864	223.944440	163.000000	7.310845
757.094828	220.175610	164.000000	9.750971
719.644559	212.586041	165.000000	-11.426542
827.132598	296.873550	166.000000	20.126311
1159.798661	284.168162	167.000000	25.137768
1080.304082	271.455132	168.000000	-2.968938
1010.255766	259.855867	169.000000	-7.084020
948.195940	249.218870	170.000000	1.138209
1442.188423	238.181148	171.000000	28.145139
1329.514098	226.949473	172.000000	6.483088
1268.289337	270.976643	173.000000	13.383450
1175.667692	258.496729	174.000000	-4.043844
1662.749036	245.822164	175.000000	31.960624
1514.186818	233.088019	176.000000	-3.356420
1388.668526	221.751124	177.000000	-14.207912
1285.278747	211.949505	178.000000	7.515725
1206.684948	212.378340	179.000000	10.824439
1412.261695	261.306716	180.000000	21.244370
1505.022369	389.006414	181.000000	19.012214
1376.908446	367.385974	182.000000	-0.306087
1409.902356	571.983140	183.000000	17.692534
1291.106547	536.432370	184.000000	-18.718254
1192.210850	505.364295	185.000000	6.704902
1105.358870	477.397379	186.000000	5.169769
1047.870537	501.227620	187.000000	11.959130
977.203852	474.819621	188.000000	-1.500628
915.698895	450.995094	189.000000	5.106890
863.720229	430.962290	190.000000	8.167380
813.582161	411.049546	191.000000	-1.496206
768.521442	392.803947	192.000000	0.616332
813.528849	616.122788	193.000000	17.827839
1076.036786	581.271662	194.000000	23.820370
1002.381397	548.447388	195.000000	6.243121
935.972486	518.818019	196.000000	-0.600321
891.027129	529.954007	197.000000	11.466072
836.633854	502.811864	198.000000	-7.700279
787.991252	478.168788	199.000000	-17.810846
744.240916	455.689173	200.000000	-12.972161
951.897412	443.443607	201.000000	22.871363
892.674667	422.001484	202.000000	-5.764890
841.603591	402.694776	203.000000	6.628907
793.987811	384.772055	204.000000	-32.188300
1032.202094	367.297195	205.000000	23.283807
965.712535	350.293888	206.000000	-4.324657
914.703457	342.388802	207.000000	9.947794
870.141965	338.749367	208.000000	10.406115
837.476281	363.980173	209.000000	12.132058
790.837395	348.458342	210.000000	-3.012792
748.670323	334.143388	211.000000	-6.439030
710.373137	320.895008	212.000000	-5.742585
675.440269	308.594336	213.000000	-14.956145
643.452301	297.139948	214.000000	-12.595519
614.055801	286.444726	215.000000	-9.086135
586.951338	276.433384	216.000000	-17.905192
561.886191	267.040491	217.000000	-4.252191
538.636981	258.208895	218.000000	-10.609604
517.017516	249.888434	219.000000	-13.196304
500.520182	245.514846	220.000000	9.445262
481.434781	237.925065	221.000000	-9.809810
463.573255	230.740250	222.000000	-20.377092
446.823135	223.928141	223.000000	-12.377694
431.085236	217.459886	224.000000	-14.746963
416.271797	211.309597	225.000000	-21.827219
402.518444	205.455511	226.000000	3.812699
389.317547	199.872627	227.000000	-10.381860
376.832457	194.544425	228.000000	-26.904112
367.588445	191.916404	229.000000	9.337983
356.232146	186.951996	230.000000	-18.090849
345.451297	182.200552	231.000000	-11.505686
335.214006	177.648485	232.000000	-1.202816
448.262180	173.079999	233.000000	23.243351
432.896261	168.494882	234.000000	-0.069297
418.530889	164.117191	235.000000	3.065994
408.153295	162.899143	236.000000	9.714851
395.204377	158.787755	237.000000	3.888266
382.728167	154.848933	238.000000	-4.464184
370.898322	151.073638	239.000000	-23.140755
359.667934	147.451627	240.000000	-25.932459
348.995456	143.973518	241.000000	-3.671800
338.839948	140.630699	242.000000	-3.151832
329.168145	137.415249	243.000000	-1.904621
319.937512	134.319881	244.000000	-15.660499
311.129878	131.337867	245.000000	-2.188960
304.077999	129.025638	246.000000	8.279287
322.880633	209.388519	247.000000	16.765572
313.482998	203.974607	248.000000	-4.786785
304.529913	198.789785	249.000000	-14.641442
295.991933	193.819825	250.000000	-12.779389
289.316422	190.179572	251.000000	8.567668
281.463168	185.558254	252.000000	-3.766377
276.488763	185.450545	253.000000	9.996198
272.277141	187.979068	254.000000	10.549734
265.117593	183.492014	255.000000	-6.233688
258.260478	179.176586	256.000000	-4.004202
251.709604	175.023155	257.000000	0.733752
245.401270	171.022833	258.000000	-3.803897
