N1	N2	time	env
250.000000	250.000000	0.000000	20.000000
243.396967	243.396967	1.000000	63.927754
237.075528	237.075528	2.000000	48.440513
317.662354	230.827506	3.000000	33.047304
308.365569	224.645931	4.000000	44.555946
299.512884	218.735668	5.000000	63.368287
364.684251	212.927098	6.000000	33.722961
466.901275	231.526593	7.000000	22.296191
643.682123	224.253884	8.000000	24.161758
615.132202	216.949859	9.000000	-4.172037
588.736905	210.073418	10.000000	35.603131
564.266089	203.586329	11.000000	40.646627
562.987269	265.028769	12.000000	14.051189
539.684741	256.283418	13.000000	39.747111
734.466425	247.530678	14.000000	23.965191
752.720848	389.537982	15.000000	16.273967
737.134382	475.766987	16.000000	13.583926
1124.647099	452.075805	17.000000	27.860081
1045.969651	428.655308	18.000000	-10.669837
1412.008275	405.796992	19.000000	32.534095
1389.231803	618.069931	20.000000	16.076274
1272.309887	578.606537	21.000000	-8.207348
1347.247328	855.813042	22.000000	18.829315
1230.870062	792.843534	23.000000	44.212497
1131.922265	738.246403	24.000000	43.484721
1574.012173	686.962850	25.000000	25.610562
1799.865139	636.501605	26.000000	33.630567
1617.167225	590.943760	27.000000	44.353964
1466.364240	551.636927	28.000000	44.321992
1339.823323	517.318309	29.000000	44.819581
1579.314923	485.383515	30.000000	33.522595
1608.920276	742.459499	31.000000	17.968783
1455.401697	688.241568	32.000000	51.183839
1329.791645	641.714512	33.000000	6.533226
1249.770241	701.613967	34.000000	12.670988
1150.226141	655.892033	35.000000	41.263458
1141.385985	615.124044	36.000000	34.634841
1057.482689	578.553524	37.000000	58.950792
1043.839778	847.080220	38.000000	15.548027
967.363078	789.437301	39.000000	35.437893
1438.994522	735.026821	40.000000	27.596130
1312.042212	683.684007	41.000000	40.190513
1389.030224	997.243287	42.000000	18.959307
1263.351003	917.088400	43.000000	61.838176
1159.065768	848.623149	44.000000	5.824210
1632.809544	784.915235	45.000000	26.092226
1474.264917	725.836814	46.000000	39.343744
1342.249214	674.996971	47.000000	35.328942
1230.660979	630.737832	48.000000	47.868376
1135.131515	591.825731	49.000000	-15.373163
1279.831242	780.753962	50.000000	20.414615
1372.714867	1105.610314	51.000000	19.366061
1505.045733	1426.908860	52.000000	20.292005
1351.195576	1283.836357	53.000000	52.054568
1224.740020	1165.884424	54.000000	61.684969
1443.530251	1254.117377	55.000000	21.901712
1962.957150	1131.404767	56.000000	25.740201
1735.337317	1023.554116	57.000000	42.470614
1552.870665	934.337222	58.000000	-5.427663
1409.398528	862.674262	59.000000	8.227312
1576.851600	1080.896118	60.000000	20.726093
2221.062548	979.304149	61.000000	27.029301
2989.916184	879.187306	62.000000	26.623877
2557.908083	805.209930	63.000000	9.739134
2215.592659	731.910584	64.000000	1.165203
1950.558685	671.532883	65.000000	51.150821
1739.584783	620.772340	66.000000	-4.261738
1567.735389	577.391181	67.000000	37.248891
1425.116353	539.814287	68.000000	-7.811674
2110.937813	503.019556	69.000000	28.617070
2155.921929	731.780635	70.000000	18.923455
1903.628924	672.117319	71.000000	2.764650
2718.887152	615.741755	72.000000	28.190885
3009.960644	655.685757	73.000000	21.960106
3863.208485	587.852143	74.000000	26.248359
3823.791292	734.504377	75.000000	20.443286
3145.349421	655.814099	76.000000	5.426111
2662.820370	594.284056	77.000000	-4.708869
2304.524286	544.527777	78.000000	1.277064
2910.777958	498.839979	79.000000	24.663075
3991.780150	450.462135	80.000000	30.400966
3277.396012	406.409794	81.000000	5.792902
2771.108558	371.751938	82.000000	37.148897
2399.521302	343.624272	83.000000	5.862605
2115.844346	320.475887	84.000000	7.276155
2601.748971	298.190865	85.000000	23.636402
2302.240570	296.275073	86.000000	11.297631
3011.970143	274.385483	87.000000	32.142363
2581.847825	253.692598	88.000000	36.867655
2332.453990	306.437506	89.000000	13.729906
2058.537564	286.262320	90.000000	-9.811166
1840.688062	268.978033	91.000000	3.601927
1662.035963	253.939271	92.000000	-0.235609
1514.505114	240.698822	93.000000	4.575994
1388.852343	228.906164	94.000000	0.446318
1284.061332	218.467614	95.000000	6.740518
1190.589270	208.874461	96.000000	-4.271495
1113.608727	200.900242	97.000000	8.156142
1041.178473	192.854214	98.000000	-2.184318
976.921106	185.454728	99.000000	-6.557970
919.546560	178.619349	100.000000	-22.118507
868.041289	172.279741	101.000000	-1.005174
851.475901	217.640686	102.000000	13.811215
805.759975	209.787967	103.000000	-18.505154
764.276515	202.471504	104.000000	-11.189326
726.468428	195.634215	105.000000	-12.025833
693.572103	189.395612	106.000000	6.938307
665.918902	185.299851	107.000000	9.126990
925.794126	179.033441	108.000000	24.626835
873.662350	172.655265	109.000000	-1.719928
826.594381	166.720630	110.000000	-17.917791
783.906935	161.180577	111.000000	-8.631967
815.085399	258.940187	112.000000	16.938561
772.152544	249.268226	113.000000	1.282809
1123.023387	239.379010	114.000000	31.906043
1049.317390	229.324503	115.000000	3.933179
983.496697	220.101867	116.000000	38.640997
988.346284	337.607381	117.000000	15.868136
945.456090	360.277084	118.000000	12.064397
891.982957	345.520757	119.000000	8.118111
840.418186	330.741335	120.000000	-37.618936
1278.526617	315.685522	121.000000	27.892089
1183.591130	300.440974	122.000000	-21.607881
1100.893972	286.647484	123.000000	-4.193631
1077.214332	393.727768	124.000000	14.691854
1153.721328	593.716031	125.000000	18.743734
1068.721030	558.860200	126.000000	40.190978
1044.092833	772.645208	127.000000	14.904342
968.917972	722.597639	128.000000	-10.055395
903.172535	678.337141	129.000000	-6.286040
893.065776	973.574884	130.000000	15.344400
924.064608	1473.251765	131.000000	17.733459
943.540004	2163.388575	132.000000	17.728701
1320.910717	1893.622695	133.000000	26.234338
1186.525969	1673.639202	134.000000	3.078095
1077.416192	1497.625647	135.000000	5.398393
985.570837	1353.399336	136.000000	3.128483
907.582161	1233.222341	137.000000	1.721225
840.504394	1131.579086	138.000000	45.399910
782.290467	1044.513358	139.000000	-26.239619
731.284158	969.116025	140.000000	-3.439640
1130.779296	899.477438	141.000000	29.894943
1042.683537	834.874025	142.000000	41.048285
991.670130	930.678772	143.000000	12.945930
1294.120998	861.666328	144.000000	23.875628
1185.209542	798.816102	145.000000	0.529488
1094.215747	744.547385	146.000000	6.426283
1013.580618	696.601957	147.000000	58.512903
943.279118	654.199321	148.000000	42.208516
1332.939262	613.779040	149.000000	32.048506
1230.859583	579.761375	150.000000	8.836008
1137.951357	545.403893	151.000000	5.751132
1727.589139	511.464252	152.000000	29.431860
2529.747042	473.865954	153.000000	29.142040
2206.607272	437.659161	154.000000	49.739188
2051.273086	600.139373	155.000000	14.963100
1823.497294	555.647625	156.000000	37.418794
2651.843803	512.613846	157.000000	29.075214
2299.589649	471.583490	158.000000	1.917554
2570.054705	534.281192	159.000000	21.615848
3396.079798	486.104524	160.000000	26.371863
2853.040571	442.115956	161.000000	-27.667806
2541.985312	536.686771	162.000000	13.916997
2213.601211	494.113823	163.000000	39.388953
2507.673534	455.918281	164.000000	33.488432
2195.621669	422.013265	165.000000	7.048819
1945.526309	393.021512	166.000000	47.743750
1744.664567	368.159894	167.000000	2.149871
1579.251626	346.531730	168.000000	-13.415221
1447.358398	328.949998	169.000000	8.308227
2168.939305	309.404653	170.000000	30.086631
2921.371194	287.017185	171.000000	26.157679
2523.504765	266.587889	172.000000	8.133090
2210.004002	248.671460	173.000000	36.516088
1963.204700	233.445778	174.000000	45.621379
2292.572077	250.091937	175.000000	22.158645
2787.154591	232.645760	176.000000	23.552205
2414.341132	216.363629	177.000000	47.243237
2175.134451	234.515754	178.000000	12.540277
1935.746993	220.442565	179.000000	35.552818
1741.821213	208.245092	180.000000	38.707093
1587.894405	198.208975	181.000000	8.075735
1453.949925	188.648535	182.000000	5.390847
1903.103554	179.066481	183.000000	32.657222
1723.875274	170.349144	184.000000	8.307665
2151.940146	160.998439	185.000000	23.431557
2297.172989	220.371039	186.000000	20.059573
2146.679856	314.206595	187.000000	15.257718
1911.651840	294.386832	188.000000	4.750556
1740.571018	290.128611	189.000000	10.795982
1578.149757	274.126336	190.000000	-1.667374
1524.730141	397.346003	191.000000	15.329184
1396.087444	375.152108	192.000000	6.468713
1283.954775	355.245707	193.000000	-15.052903
1188.112962	337.415924	194.000000	3.992862
1104.092451	321.324458	195.000000	48.161650
1030.374950	306.717441	196.000000	47.165007
1581.706076	291.683885	197.000000	29.463788
1444.507106	276.373563	198.000000	52.882343
1359.080066	304.537484	199.000000	12.563799
1253.720421	289.555448	200.000000	37.232837
1239.954262	438.078484	201.000000	15.804779
1147.314282	414.775262	202.000000	70.312383
1689.312521	391.501538	203.000000	27.320400
1532.353593	368.460718	204.000000	39.614409
1400.613903	348.150961	205.000000	45.059032
1440.337940	540.214501	206.000000	17.875988
1317.900245	507.122120	207.000000	-26.726811
1228.708834	501.323588	208.000000	10.868496
1136.162897	473.320406	209.000000	-12.418816
1055.689868	448.246869	210.000000	45.653000
985.089377	425.648276	211.000000	45.097947
922.663649	405.161659	212.000000	45.445978
867.081969	386.493406	213.000000	53.760322
817.286728	369.403196	214.000000	36.503921
772.426886	353.692249	215.000000	45.042306
731.809970	339.194589	216.000000	52.135510
703.419068	340.553921	217.000000	10.762972
1098.403839	325.919323	218.000000	30.430774
1291.101875	310.251437	219.000000	33.657156
1194.654582	295.277855	220.000000	64.897732
1110.712723	281.733639	221.000000	38.519724
1037.006348	269.407880	222.000000	56.445587
1183.239747	257.589653	223.000000	33.884694
1101.470935	246.274437	224.000000	37.120922
1029.515490	235.945256	225.000000	67.502683
1329.902891	225.667122	226.000000	23.376260
1230.291374	215.499398	227.000000	54.377363
1147.000606	206.572811	228.000000	7.341500
1546.001863	197.211741	229.000000	24.551406
1416.718729	187.835046	230.000000	64.173589
1306.259321	179.411970	231.000000	60.828417
1975.826053	170.541398	232.000000	30.317229
1776.302535	161.375048	233.000000	35.291887
2491.891019	152.015895	234.000000	31.609471
2987.703518	141.512221	235.000000	32.963876
2569.837355	131.721504	236.000000	61.643997
2251.496382	123.560976	237.000000	39.260266
2000.944146	116.606445	238.000000	44.322365
1798.638139	110.575752	239.000000	47.781380
1660.560092	115.273381	240.000000	11.753718
1516.025178	109.996961	241.000000	50.122027
1393.451653	105.268129	242.000000	38.124335
1288.198798	100.994401	243.000000	35.308232
1196.846814	97.104182	244.000000	39.549238
1116.820163	93.541013	245.000000	47.880855
1568.656338	89.807114	246.000000	25.531591
1438.875690	85.947088	247.000000	49.746965
1327.874069	82.465767	248.000000	46.705735
1231.859266	79.302156	249.000000	38.737596
1682.784817	76.013697	250.000000	24.954973
1535.879300	72.642802	251.000000	46.799267
1502.639796	109.681603	252.000000	15.667141
1382.011462	104.993854	253.000000	49.388091
1278.308968	100.753987	254.000000	37.286399
1188.212555	96.892027	255.000000	66.826854
1396.226514	93.087148	256.000000	33.656514
1929.036898	88.805325	257.000000	25.517504
1740.553113	84.435115	258.000000	55.012947
1584.156105	80.572658	259.000000	39.220099
1452.307585	77.122096	260.000000	36.372331
1339.658499	74.011576	261.000000	41.959605
1346.695324	117.570232	262.000000	16.560764
1247.394788	112.827546	263.000000	39.540787
1388.288867	159.407543	264.000000	19.932239
2006.650786	151.491398	265.000000	26.965951
1886.588452	205.682119	266.000000	14.668232
1701.838040	194.611701	267.000000	43.873893
1548.476870	184.854088	268.000000	44.990053
1419.153335	176.162048	269.000000	41.301356
1324.021297	175.451297	270.000000	10.669166
1226.346257	167.972187	271.000000	52.916437
1141.230022	161.162909	272.000000	40.322715
1711.956400	153.979195	273.000000	27.935434
1558.142655	146.518722	274.000000	-10.854928
1725.851336	199.588315	275.000000	20.253636
1568.457109	189.452829	276.000000	46.262326
1965.658555	179.497854	277.000000	23.334428
2672.043025	168.310462	278.000000	26.022503
3558.322983	155.415311	279.000000	31.650038
3232.532312	236.547825	280.000000	16.691666
3690.052130	216.172740	281.000000	23.162359
3082.211624	198.225436	282.000000	6.526858
2637.658280	183.716184	283.000000	50.765868
2465.062712	277.615505	284.000000	16.097685
3178.139772	256.487832	285.000000	25.319414
2715.249246	237.283968	286.000000	7.843057
2359.263193	220.904373	287.000000	-3.669600
2633.517662	205.948346	288.000000	33.579812
3658.412624	189.729341	289.000000	28.505177
3055.444519	174.203998	290.000000	35.173830
2696.064752	200.765923	291.000000	13.313594
2381.911141	201.463629	292.000000	11.436064
2660.006941	232.690049	293.000000	21.564293
2317.049185	216.883472	294.000000	-3.791979
2253.878257	336.729974	295.000000	17.296891
3121.191694	311.095780	296.000000	31.305623
2882.923892	472.976325	297.000000	16.733205
2477.810832	434.200089	298.000000	4.207140
2168.097868	402.137074	299.000000	1.467266
2034.130454	575.414284	300.000000	15.393031
1810.773706	533.536624	301.000000	1.829542
1629.950782	497.665595	302.000000	3.553944
1716.107816	465.399932	303.000000	34.175708
1552.641798	436.258923	304.000000	46.388707
1416.407870	410.725114	305.000000	2.461922
2069.560999	385.280272	306.000000	27.668999
1845.434930	360.243359	307.000000	50.246503
2688.485095	335.261051	308.000000	29.021768
2334.637639	310.816951	309.000000	-2.566051
2317.934907	289.508149	310.000000	34.346389
2048.486933	270.733767	311.000000	3.343483
1835.410287	254.710476	312.000000	6.270525
1658.018649	240.657165	313.000000	-16.134575
2267.617082	226.591226	314.000000	25.726615
2015.270150	212.962080	315.000000	7.145919
2485.593762	199.609822	316.000000	23.533538
3365.448097	184.743496	317.000000	26.859235
2871.049929	174.681923	318.000000	10.034359
3762.677557	160.596944	319.000000	26.423328
3130.421239	147.400832	320.000000	40.191612
2722.456787	150.341162	321.000000	11.814989
2368.483474	140.525806	322.000000	-16.807553
3108.112906	130.908868	323.000000	25.606635
3501.371753	128.038820	324.000000	22.636429
2947.626867	118.215002	325.000000	2.465980
3878.362854	108.769132	326.000000	26.668654
4948.854316	98.132758	327.000000	27.368841
3926.798231	88.604024	328.000000	-17.832994
3248.777283	81.377237	329.000000	-8.311678
2766.180615	75.624185	330.000000	-3.853154
2405.180155	70.885459	331.000000	-17.071776
3236.430825	66.150778	332.000000	31.740286
2757.862406	61.531705	333.000000	-15.842749
2401.474111	57.724877	334.000000	4.831485
2391.248113	88.634197	335.000000	18.192286
2229.605128	126.465606	336.000000	15.199200
1983.793654	119.377045	337.000000	2.392175
2851.826852	112.055003	338.000000	28.259275
2522.903119	120.118096	339.000000	12.431726
2529.190688	179.747867	340.000000	18.669681
2579.711574	259.016197	341.000000	19.273217
2258.757548	241.611115	342.000000	6.719212
3231.721005	223.996955	343.000000	30.250312
3283.485633	205.662123	344.000000	33.944519
2785.401058	189.888003	345.000000	52.092371
2414.868252	176.962811	346.000000	-6.057981
3418.550994	164.007275	347.000000	29.055725
2885.488409	151.379266	348.000000	61.170997
2493.092203	141.088015	349.000000	2.433680
2951.009530	131.453475	350.000000	23.101723
2542.769901	122.494824	351.000000	70.293442
3383.053287	113.703463	352.000000	31.784323
2862.390955	105.262102	353.000000	51.840657
2477.086741	98.361769	354.000000	48.826257
2180.471447	92.566583	355.000000	-4.979972
1945.103193	87.597884	356.000000	48.612450
1794.717101	96.456962	357.000000	12.548296
1629.050033	91.900200	358.000000	56.133866
1490.064977	87.843712	359.000000	49.492493
2225.457542	83.512308	360.000000	28.939905
1981.567483	79.000474	361.000000	51.108530
2419.291234	74.602143	362.000000	33.047980
3396.626869	69.492604	363.000000	28.263830
3111.867399	106.569420	364.000000	16.662446
2664.006511	99.149124	365.000000	41.695685
3133.842502	92.238230	366.000000	23.144398
2680.972820	85.841920	367.000000	61.962387
3761.233380	79.421533	368.000000	29.929503
4651.502466	72.049766	369.000000	25.976280
5824.307092	64.047353	370.000000	28.443005
6671.378649	55.808269	371.000000	26.770784
7125.755250	48.021483	372.000000	32.078386
5206.627244	42.037105	373.000000	42.754259
4093.180369	37.899375	374.000000	46.185850
3366.141043	34.795522	375.000000	49.208280
2854.143266	32.342513	376.000000	52.444360
2611.536424	46.122381	377.000000	15.247471
2287.398337	43.410887	378.000000	45.835956
2032.590213	41.099465	379.000000	52.580559
1831.133282	39.122236	380.000000	6.805331
1661.125186	37.352873	381.000000	40.245886
1518.720953	35.777673	382.000000	36.934451
1397.710187	34.361555	383.000000	48.923596
1293.615284	33.077879	384.000000	46.359384
1203.126521	31.905983	385.000000	71.777261
1123.749148	30.829546	386.000000	-4.234217
1053.551024	29.835476	387.000000	40.660367
991.034135	28.913124	388.000000	36.974932
1467.412970	27.911876	389.000000	31.511714
1353.903886	26.842844	390.000000	41.126215
1417.356924	42.195401	391.000000	18.151208
1310.406809	40.588746	392.000000	49.083262
1810.510029	38.900132	393.000000	25.356425
1643.968978	37.155179	394.000000	49.744786
2008.359823	35.421925	395.000000	33.196402
1807.421134	33.717363	396.000000	54.202253
1641.554782	32.214804	397.000000	70.060561
1502.324107	30.875084	398.000000	46.976553
1383.797252	29.669089	399.000000	36.516326
1281.681852	28.574642	400.000000	44.240768
1250.166335	39.598096	401.000000	14.665372
1164.937822	38.214072	402.000000	44.563743
1089.897874	36.939907	403.000000	56.035179
1023.326660	35.760930	404.000000	37.164417
1538.546003	34.476399	405.000000	27.592966
1414.693369	33.101757	406.000000	85.823645
1308.331555	31.857047	407.000000	43.216421
1216.005347	30.721790	408.000000	51.399174
1135.113264	29.679856	409.000000	65.547881
1664.238889	28.553907	410.000000	31.533725
