N1	N2	time	env
250.000000	250.000000	0.000000	20.000000
247.505899	263.657175	1.000000	11.565124
377.947051	256.206949	2.000000	26.571284
365.629337	248.745099	3.000000	-5.796425
456.752150	291.951492	4.000000	21.742704
439.978470	282.523939	5.000000	2.339090
463.232575	453.305284	6.000000	16.863925
448.389234	444.019322	7.000000	9.820658
430.731468	426.588096	8.000000	50.074606
416.892581	414.489101	9.000000	9.091095
401.314050	399.028440	10.000000	-15.403082
386.727346	384.547888	11.000000	-3.472900
373.036306	370.957692	12.000000	72.210202
360.163815	358.178740	13.000000	-10.429854
353.012662	367.136271	14.000000	11.136177
341.188415	354.691931	15.000000	-9.075002
330.034246	342.955290	16.000000	-2.320342
517.995090	331.257528	17.000000	31.041366
508.004941	364.221478	18.000000	12.349676
600.068204	482.549319	19.000000	20.633890
943.984618	459.810574	20.000000	29.997415
1435.509449	435.038061	21.000000	28.353927
1316.351667	410.477574	22.000000	-2.772260
1214.399359	388.608421	23.000000	0.354257
1148.512325	413.157385	24.000000	12.109833
1068.042207	392.310817	25.000000	2.599854
997.085960	373.449080	26.000000	56.801815
934.355232	356.289202	27.000000	0.166319
878.554251	340.599692	28.000000	1.847302
828.370785	326.190880	29.000000	35.892714
783.133641	312.905831	30.000000	-8.097417
1209.879007	299.296172	31.000000	28.574254
1804.338636	283.590516	32.000000	31.001053
1631.382897	267.723473	33.000000	44.830350
1704.396878	253.172988	34.000000	34.247862
1548.934819	239.791313	35.000000	35.258953
1583.608807	373.914438	36.000000	17.831804
1994.995798	350.974132	37.000000	23.560990
1801.195462	336.197391	38.000000	9.885082
2367.027334	314.318446	39.000000	24.894979
3157.336683	290.248797	40.000000	26.194833
2697.971567	268.128914	41.000000	7.771660
3481.434192	246.517555	42.000000	25.695593
2926.477882	226.412771	43.000000	37.371474
3324.548098	220.168759	44.000000	22.665785
2914.755242	268.138146	45.000000	13.911560
2513.364314	248.473252	46.000000	6.143173
2331.148688	357.988844	47.000000	15.440215
2660.636506	380.676057	48.000000	22.115131
3522.053760	348.129519	49.000000	31.695182
3633.656280	315.736989	50.000000	33.729318
3031.221292	288.310464	51.000000	37.124899
2595.550456	266.304320	52.000000	-8.248098
2265.967363	248.097161	53.000000	-1.608223
2007.917501	232.681619	54.000000	41.694498
2840.690761	217.183553	55.000000	27.596791
2455.671210	201.944397	56.000000	45.849544
2414.606591	309.318233	57.000000	17.951419
2123.183831	288.495905	58.000000	-9.098892
2674.568367	268.640178	59.000000	24.231205
2333.751428	250.324561	60.000000	7.485206
2061.668228	234.463998	61.000000	36.817441
1900.947626	276.447742	62.000000	13.396724
1748.713365	297.784545	63.000000	12.383958
1584.684543	281.215345	64.000000	55.288494
2092.466180	264.898925	65.000000	24.684117
1868.052128	249.008151	66.000000	46.630673
1685.183491	235.195030	67.000000	41.544079
1554.321461	236.101172	68.000000	11.090162
2026.046791	223.097811	69.000000	24.294711
1967.566933	347.267980	70.000000	16.643062
2126.792029	463.263766	71.000000	20.266978
1888.934684	431.121515	72.000000	-4.084141
1696.714325	403.529090	73.000000	50.354002
1538.267763	379.511350	74.000000	-0.676887
1784.989483	442.789555	75.000000	21.544293
1712.695597	653.348188	76.000000	15.722877
2506.632578	601.482583	77.000000	30.350818
2183.679546	552.429774	78.000000	-8.313058
1931.411061	511.427271	79.000000	36.890285
1886.743210	786.446040	80.000000	17.010924
1684.010053	723.914937	81.000000	38.041403
1518.635713	670.731452	82.000000	-9.931352
1381.229778	624.872547	83.000000	-4.996416
1265.289867	584.871561	84.000000	51.917425
1857.772514	546.033839	85.000000	27.632786
1667.578254	508.593760	86.000000	-4.244802
1616.210258	765.111049	87.000000	16.052145
1758.150997	1008.621020	88.000000	20.213638
1572.081398	920.970714	89.000000	43.517470
1419.864819	847.172292	90.000000	38.414579
1293.190987	784.124347	91.000000	0.454013
1185.993206	729.597638	92.000000	42.892254
1497.794552	679.275152	93.000000	33.020573
1364.203641	632.820641	94.000000	4.152375
2032.233046	587.891352	95.000000	28.940667
2600.811069	540.569576	96.000000	32.495278
3378.980814	491.598875	97.000000	25.888883
4442.030157	440.009182	98.000000	27.876833
3576.354475	394.222620	99.000000	-35.670218
2986.513970	359.003628	100.000000	44.441525
2558.980256	330.751896	101.000000	40.355294
2234.983262	307.394497	102.000000	39.800199
1981.055624	287.638813	103.000000	45.075342
2769.159602	268.026603	104.000000	27.068993
2403.388430	249.021853	105.000000	6.349000
2335.018977	384.639584	106.000000	17.440770
2057.645283	357.968328	107.000000	53.140451
1836.883637	335.211925	108.000000	0.784373
1656.780777	315.490387	109.000000	-4.137946
