N1	N2	time	env
250.000000	250.000000	0.000000	20.000000
387.396982	243.071341	1.000000	27.072569
545.023052	235.719548	2.000000	24.545773
767.218577	227.817225	3.000000	24.785974
1074.349894	219.115658	4.000000	24.978587
1436.740907	209.434050	5.000000	24.260893
1733.969894	223.089920	6.000000	22.279469
1623.953845	265.589242	7.000000	13.426763
1491.568888	255.381605	8.000000	9.448581
1862.773075	241.621643	9.000000	23.180975
2446.287444	226.610228	10.000000	24.920367
2195.286353	239.603554	11.000000	12.232785
3137.335983	222.504663	12.000000	28.877974
4055.164264	202.957915	13.000000	31.716596
5092.332500	181.708295	14.000000	27.133781
4349.161404	269.703279	15.000000	16.873983
4790.424591	240.706788	16.000000	23.631438
3868.103041	230.674166	17.000000	11.250653
3534.557288	346.608040	18.000000	17.605188
4244.808502	312.440251	19.000000	24.912721
3911.002206	449.843571	20.000000	18.588475
3279.133700	456.352264	21.000000	12.160970
3680.793217	419.782010	22.000000	22.896120
3338.680792	628.941314	23.000000	17.135305
3624.220980	564.010136	24.000000	33.374886
4754.421793	500.341861	25.000000	28.645979
4585.567632	597.945586	26.000000	20.772012
4189.284781	824.151298	27.000000	19.002487
3452.916307	828.115171	28.000000	12.343228
3066.619722	1186.055497	29.000000	16.078725
2963.859610	1617.840715	30.000000	19.059204
3922.555745	1388.021774	31.000000	30.954036
4006.143119	1436.489450	32.000000	21.724624
4802.641673	1219.350879	33.000000	26.087620
3867.352808	1316.401257	34.000000	13.483048
4157.575340	1154.201503	35.000000	22.881410
5191.158880	987.035116	36.000000	27.833702
4952.545144	1083.849692	37.000000	21.233166
6056.556134	914.772293	38.000000	29.134282
4758.537493	1170.494660	39.000000	15.183057
4504.957380	1372.308611	40.000000	20.617836
3796.556020	1890.129233	41.000000	16.268871
3233.054027	2491.733569	42.000000	15.783018
3512.729276	2102.173488	43.000000	22.872848
4350.063633	1748.779951	44.000000	26.723630
3539.889551	1892.025461	45.000000	13.693404
3656.993163	1907.305733	46.000000	21.793006
4280.133191	1599.046032	47.000000	25.077144
3743.350905	2198.922951	48.000000	17.733279
3513.594843	2693.816825	49.000000	19.694671
3359.684012	3108.728993	50.000000	20.182571
3927.350702	2491.027588	51.000000	25.156341
3562.671710	3116.724952	52.000000	19.087225
2922.169044	3194.092428	53.000000	13.680510
3817.282013	2563.625583	54.000000	28.737497
4470.983453	2082.208679	55.000000	25.620591
4542.049275	1857.839786	56.000000	22.484173
4654.593191	1621.726073	57.000000	22.683835
3643.945327	1373.404052	58.000000	36.299737
4553.561229	1176.114994	59.000000	26.876971
4822.940950	1004.520396	60.000000	23.247886
5711.473059	854.815077	61.000000	26.815149
4494.584976	990.675397	62.000000	14.123521
4140.390901	1305.070347	63.000000	19.399723
3949.355583	1603.965807	64.000000	20.153517
4564.556382	1355.268766	65.000000	24.988354
3803.882850	1812.335418	66.000000	15.743209
3111.944584	1636.965502	67.000000	11.203024
3163.578809	1894.880816	68.000000	20.786844
2759.290586	2491.346600	69.000000	15.603011
3263.546641	2073.919676	70.000000	24.412982
2885.669042	2842.761994	71.000000	16.779709
2565.289588	3766.404408	72.000000	16.989037
2391.399105	4575.570609	73.000000	18.836414
3146.583123	3510.560897	74.000000	28.731106
3943.245177	2771.726901	75.000000	31.319576
3395.211342	3612.454351	76.000000	17.483336
3378.899402	3521.849368	77.000000	21.444950
3289.503060	3674.193524	78.000000	20.864032
2678.211559	3244.040719	79.000000	12.139661
3164.382546	2620.027125	80.000000	24.587625
3818.746358	2149.378061	81.000000	25.576606
3492.036915	2758.109885	82.000000	18.984647
3598.220185	2591.391110	83.000000	22.029209
3330.830085	3197.398172	84.000000	19.325589
3186.847043	3597.651273	85.000000	20.226327
3508.128501	2840.778259	86.000000	23.556952
3317.412899	3317.244378	87.000000	19.950252
3635.747289	2643.469366	88.000000	23.496178
3249.436808	3418.074276	89.000000	18.292238
4136.753485	2701.552013	90.000000	28.330365
3503.982232	3535.117913	91.000000	17.075994
3275.731639	3982.766175	92.000000	19.976478
3694.000253	3088.083592	93.000000	24.427622
2979.166536	2701.104861	94.000000	11.662490
2953.543558	3056.551835	95.000000	20.500110
2858.650509	3545.625764	96.000000	20.016067
2374.854178	3173.785841	97.000000	12.163126
3196.279240	2577.641456	98.000000	28.774330
3247.601010	2689.025741	99.000000	21.300588
3772.771577	2198.706697	100.000000	24.660112
3076.504151	1991.958242	101.000000	11.614839
2625.166757	2144.995490	102.000000	13.562522
3535.536730	1810.528368	103.000000	28.597942
4265.642983	1526.398246	104.000000	25.743241
3847.872365	2033.597112	105.000000	18.764226
4889.042201	1682.649808	106.000000	28.934410
4314.086858	2173.315697	107.000000	19.003544
3813.380773	1798.645159	108.000000	34.327187
3508.007326	2356.787151	109.000000	18.945891
3402.677984	2716.016914	110.000000	20.389378
3964.362911	2210.965555	111.000000	24.955502
3656.365457	2739.302960	112.000000	19.472389
3503.229335	3080.296915	113.000000	20.424182
3919.029254	2468.076141	114.000000	24.152677
4289.186157	2014.380649	115.000000	23.854807
5355.259975	1653.612847	116.000000	29.580963
6243.561369	1353.096764	117.000000	27.680053
6698.715143	1107.429859	118.000000	25.821269
5104.178618	1365.285345	119.000000	14.997146
4087.557436	1604.469941	120.000000	14.417476
3326.852156	1502.548983	121.000000	11.814975
3935.863776	1290.895449	122.000000	24.747216
3226.037433	1175.727537	123.000000	10.870571
2756.536218	1207.231516	124.000000	12.635464
3304.730019	1063.482681	125.000000	24.216072
4069.533522	931.022200	126.000000	25.643669
5111.271824	805.609031	127.000000	27.724110
6231.583194	686.265416	128.000000	30.413972
5086.927641	969.184862	129.000000	17.379579
5532.156889	825.409824	130.000000	24.504594
4662.845704	1163.557803	131.000000	17.677852
3725.299548	1071.176444	132.000000	11.273779
3109.398236	1045.502497	133.000000	11.987656
2954.760147	1478.454158	134.000000	18.474387
2561.003380	1651.014146	135.000000	13.651340
2959.116020	1432.985875	136.000000	23.235074
3982.911669	1239.032372	137.000000	29.145093
3380.452640	1612.602032	138.000000	15.208118
4450.221476	1371.251538	139.000000	29.711358
3867.861512	1910.028673	140.000000	17.581718
3162.791890	1787.118604	141.000000	11.972525
3476.229854	1575.612178	142.000000	22.797338
3473.735408	1825.560426	143.000000	20.745726
2894.316374	1744.905025	144.000000	12.143567
2638.555994	2453.471498	145.000000	17.113438
2250.108467	2271.807866	146.000000	11.881297
