N1	N2	time	env
250.000000	250.000000	0.000000	26.000000
348.860593	243.154004	1.000000	24.156791
553.778136	235.883889	2.000000	28.494764
875.684766	227.733568	3.000000	29.306160
1088.604745	245.415840	4.000000	22.275763
1666.504119	233.751672	5.000000	30.301642
2335.578680	220.005371	6.000000	26.492402
2482.864007	294.574072	7.000000	20.228208
2680.123859	273.197278	8.000000	33.765556
3588.161292	250.912674	9.000000	26.880596
4357.795580	226.828787	10.000000	25.257024
4528.348880	232.901801	11.000000	22.135811
5676.567569	206.033126	12.000000	28.279954
5038.523559	280.177567	13.000000	19.290254
5896.411758	245.494505	14.000000	31.774545
5344.900355	307.534704	15.000000	20.246907
4160.459554	273.287268	16.000000	35.597150
4320.897496	290.121464	17.000000	21.911754
4335.375932	336.112212	18.000000	21.210483
4542.025998	331.702296	19.000000	22.367700
4342.589689	295.987676	20.000000	33.943563
4970.317374	263.383247	21.000000	24.652775
5277.833668	232.559485	22.000000	23.423474
4915.760075	293.809929	23.000000	20.274153
5703.095577	258.088598	24.000000	25.853014
6703.434759	223.066687	25.000000	27.836906
5680.034269	301.071319	26.000000	19.135253
6478.745209	260.345798	27.000000	26.500121
5896.473159	296.429059	28.000000	21.059366
5748.455308	289.144758	29.000000	22.276202
5469.118997	316.986894	30.000000	21.456869
5961.651980	275.913735	31.000000	24.766571
5887.804143	252.618366	32.000000	22.680024
6933.413759	217.489679	33.000000	28.514322
5860.818466	288.452477	34.000000	19.353725
6256.253172	249.703332	35.000000	24.659962
5456.287286	217.582389	36.000000	34.090167
4417.095811	193.425357	37.000000	34.763192
3879.540540	174.782197	38.000000	34.537067
4227.982794	158.313135	39.000000	33.195507
3450.511589	144.207636	40.000000	36.470233
4013.263123	131.655244	41.000000	23.864576
3632.533261	199.174262	42.000000	17.382478
4668.883985	179.874650	43.000000	27.203057
5745.423050	159.181532	44.000000	27.578796
6863.228068	137.934389	45.000000	29.123002
7207.804550	117.920690	46.000000	25.413246
8073.995737	99.671164	47.000000	30.300210
5696.349398	85.864769	48.000000	36.145044
6554.980975	74.926348	49.000000	26.733300
6501.079712	64.909094	50.000000	23.378257
6849.543737	56.081108	51.000000	24.997560
7805.505619	47.835971	52.000000	29.456803
6051.058712	68.593869	53.000000	17.162091
6945.876985	59.457154	54.000000	27.306575
5881.274840	79.723113	55.000000	19.321209
4500.702842	71.000664	56.000000	35.384142
4543.291830	64.030660	57.000000	33.594637
5522.162099	57.173157	58.000000	26.710502
4464.764105	72.052724	59.000000	14.481500
5689.292723	64.259170	60.000000	29.250198
5340.306419	76.265863	61.000000	20.901084
4249.962520	76.382104	62.000000	12.044302
5486.045059	68.394413	63.000000	29.713706
5965.272294	60.213968	64.000000	24.605147
6747.892498	52.363345	65.000000	26.536910
7320.098904	44.940559	66.000000	26.283509
6590.628626	47.711877	67.000000	21.600157
6852.744695	41.218953	68.000000	32.467499
7582.254755	35.262610	69.000000	27.258985
8196.022517	29.772775	70.000000	27.678899
6611.199288	39.334898	71.000000	19.281272
6642.251654	34.063623	72.000000	23.778088
6499.578511	29.541876	73.000000	23.098719
7351.264983	25.434598	74.000000	27.548227
6628.158719	26.782237	75.000000	21.665139
7413.816233	23.017676	76.000000	27.288404
8184.613266	19.479131	77.000000	28.573637
8801.795140	16.260302	78.000000	29.392142
9145.979384	13.447241	79.000000	28.420550
8556.583831	11.157742	80.000000	32.480800
6553.187855	15.700158	81.000000	17.811445
6867.823035	13.586526	82.000000	24.884884
7274.506485	11.673537	83.000000	25.629971
7744.079730	9.942859	84.000000	31.738491
8497.961544	8.365231	85.000000	30.137486
7290.794661	8.828644	86.000000	21.519445
7707.224525	7.522450	87.000000	26.178766
8149.394225	6.354917	88.000000	26.872090
8786.940848	5.310600	89.000000	30.188986
7266.311809	6.113133	90.000000	20.761408
7942.208316	5.197844	91.000000	27.520435
7245.694643	4.704524	92.000000	22.627481
7073.249771	4.037908	93.000000	23.706357
7745.574406	3.447117	94.000000	27.203302
8359.071251	2.905192	95.000000	27.961384
8842.205968	2.421903	96.000000	28.363668
9200.966236	2.002239	97.000000	28.666326
7122.749692	2.638832	98.000000	19.114645
8029.371394	2.245215	99.000000	30.204908
8256.893575	1.889273	100.000000	26.307583
8866.484565	1.576189	101.000000	29.780627
8659.118324	1.310411	102.000000	25.691781
7418.996168	1.355970	103.000000	21.652260
8145.628038	1.149067	104.000000	28.157309
6563.666916	1.533679	105.000000	19.160810
6838.678213	1.328353	106.000000	24.721229
6261.079583	1.154629	107.000000	33.585233
5605.464087	1.466153	108.000000	20.181008
6544.490381	1.285747	109.000000	27.095536
4889.942604	1.137704	110.000000	35.481368
6093.599150	1.009559	111.000000	28.953259
7200.748494	0.875217	112.000000	29.715845
6760.045119	0.806363	113.000000	22.592574
7316.772027	0.693656	114.000000	26.193498
8109.642100	0.588635	115.000000	30.734568
8759.785574	0.000000	116.000000	29.628429
6622.431378	0.000000	117.000000	17.559665
6686.529606	0.000000	118.000000	23.909494
7597.803437	0.000000	119.000000	30.850474
6933.943098	0.000000	120.000000	22.259055
5106.393238	0.000000	121.000000	35.396880
5548.407274	0.000000	122.000000	24.080029
5293.276025	0.000000	123.000000	21.152347
5949.094359	0.000000	124.000000	25.271273
5622.261374	0.000000	125.000000	21.361358
5232.642159	0.000000	126.000000	20.542335
4874.042439	0.000000	127.000000	20.081580
4528.451452	0.000000	128.000000	19.534661
3992.608323	0.000000	129.000000	17.070331
5079.300570	0.000000	130.000000	27.412121
6278.384881	0.000000	131.000000	29.084367
4738.545440	0.000000	132.000000	37.122085
4415.126645	0.000000	133.000000	19.440887
4719.692634	0.000000	134.000000	22.824966
4519.563623	0.000000	135.000000	20.245060
5724.131466	0.000000	136.000000	28.740028
4714.348836	0.000000	137.000000	16.129539
5311.155702	0.000000	138.000000	24.567456
5467.869148	0.000000	139.000000	22.903362
5394.218732	0.000000	140.000000	21.964756
4212.451654	0.000000	141.000000	38.669595
4553.448333	0.000000	142.000000	33.156938
5429.264373	0.000000	143.000000	26.019090
5628.152022	0.000000	144.000000	23.221275
5684.640676	0.000000	145.000000	22.769807
6765.712633	0.000000	146.000000	28.300349
5538.289958	0.000000	147.000000	17.772031
4300.651534	0.000000	148.000000	37.341161
5544.296708	0.000000	149.000000	29.715026
6718.995298	0.000000	150.000000	30.241251
7291.652128	0.000000	151.000000	26.223070
8164.485463	0.000000	152.000000	30.043159
8802.287394	0.000000	153.000000	29.809093
8194.745035	0.000000	154.000000	24.137297
7618.016437	0.000000	155.000000	32.964477
5471.686576	0.000000	156.000000	38.240130
6623.089835	0.000000	157.000000	28.856992
7108.931193	0.000000	158.000000	25.706490
6790.991110	0.000000	159.000000	22.960780
7070.453572	0.000000	160.000000	24.988217
5927.031251	0.000000	161.000000	19.106376
6799.049891	0.000000	162.000000	26.980915
5763.257893	0.000000	163.000000	19.122814
6224.711364	0.000000	164.000000	24.737999
6581.356142	0.000000	165.000000	24.716064
6698.283061	0.000000	166.000000	24.080709
4976.231656	0.000000	167.000000	36.437015
5896.207176	0.000000	168.000000	26.504429
7016.997520	0.000000	169.000000	29.238718
7861.603691	0.000000	170.000000	30.827524
5597.445375	0.000000	171.000000	37.336155
4336.579809	0.000000	172.000000	37.879588
4769.384562	0.000000	173.000000	23.460031
5853.906661	0.000000	174.000000	27.548357
5786.388748	0.000000	175.000000	33.292732
5061.893491	0.000000	176.000000	18.807556
5881.508604	0.000000	177.000000	25.970934
4672.031195	0.000000	178.000000	14.095626
5394.250733	0.000000	179.000000	32.266312
6342.333918	0.000000	180.000000	26.973045
7407.180753	0.000000	181.000000	29.623916
5765.896480	0.000000	182.000000	16.588362
5995.658319	0.000000	183.000000	23.698453
6074.677196	0.000000	184.000000	23.274750
5937.271704	0.000000	185.000000	22.411506
5005.451215	0.000000	186.000000	17.637902
6105.644718	0.000000	187.000000	27.819877
6864.557002	0.000000	188.000000	26.511681
7663.451367	0.000000	189.000000	27.696061
7717.354313	0.000000	190.000000	32.310315
5721.810692	0.000000	191.000000	34.794440
4978.842085	0.000000	192.000000	18.524801
5663.863223	0.000000	193.000000	25.195332
5716.028666	0.000000	194.000000	22.789347
5660.771911	0.000000	195.000000	22.351802
6802.877159	0.000000	196.000000	30.470379
7074.186978	0.000000	197.000000	24.967141
6651.609989	0.000000	198.000000	22.494313
6187.641162	0.000000	199.000000	21.731346
6715.277871	0.000000	200.000000	25.444808
6220.152478	0.000000	201.000000	21.685591
4918.936030	0.000000	202.000000	34.745928
5373.357303	0.000000	203.000000	23.992347
6165.783249	0.000000	204.000000	26.041755
6889.850241	0.000000	205.000000	31.749294
7834.027482	0.000000	206.000000	29.227873
8343.804630	0.000000	207.000000	31.258052
8845.746178	0.000000	208.000000	30.753035
9251.255941	0.000000	209.000000	30.354580
9488.712525	0.000000	210.000000	28.892262
7238.170814	0.000000	211.000000	18.954513
7161.123703	0.000000	212.000000	24.066787
6710.373246	0.000000	213.000000	22.498061
5449.593188	0.000000	214.000000	34.468214
5757.544148	0.000000	215.000000	23.746620
5433.723766	0.000000	216.000000	21.099166
5296.281939	0.000000	217.000000	21.602796
6220.070024	0.000000	218.000000	26.743188
6246.674507	0.000000	219.000000	23.298222
7323.235730	0.000000	220.000000	29.468447
6338.052768	0.000000	221.000000	20.442255
6495.697779	0.000000	222.000000	32.755506
6018.354631	0.000000	223.000000	21.443619
7133.918348	0.000000	224.000000	30.210828
7741.503504	0.000000	225.000000	26.920426
5535.715325	0.000000	226.000000	39.706995
4299.084054	0.000000	227.000000	36.144484
5530.605561	0.000000	228.000000	29.245621
6708.129611	0.000000	229.000000	29.567497
7708.641102	0.000000	230.000000	29.837611
8014.700134	0.000000	231.000000	26.216236
8071.775231	0.000000	232.000000	25.562727
7718.370271	0.000000	233.000000	24.070942
7421.732382	0.000000	234.000000	23.824614
7714.996611	0.000000	235.000000	25.787820
6967.290472	0.000000	236.000000	22.098501
6961.415441	0.000000	237.000000	32.739816
6573.964988	0.000000	238.000000	22.486076
7237.777960	0.000000	239.000000	31.690805
7487.039333	0.000000	240.000000	25.376052
7922.437852	0.000000	241.000000	31.688218
6688.736526	0.000000	242.000000	20.396382
7693.933208	0.000000	243.000000	29.968750
6809.265285	0.000000	244.000000	21.512641
6207.165036	0.000000	245.000000	21.348846
5817.721691	0.000000	246.000000	21.431263
4978.740026	0.000000	247.000000	18.046935
4678.675223	0.000000	248.000000	20.020667
5908.802654	0.000000	249.000000	29.338897
5558.497574	0.000000	250.000000	33.674495
4786.882728	0.000000	251.000000	17.879799
3829.414589	0.000000	252.000000	38.413371
3890.105714	0.000000	253.000000	20.787310
4076.969904	0.000000	254.000000	33.530587
4495.826761	0.000000	255.000000	23.214563
5678.163354	0.000000	256.000000	28.420328
5573.543466	0.000000	257.000000	22.073031
4720.456746	0.000000	258.000000	17.205465
5501.151568	0.000000	259.000000	25.551287
5499.610123	0.000000	260.000000	22.354072
6209.736461	0.000000	261.000000	25.707598
4981.107355	0.000000	262.000000	15.714381
5259.884386	0.000000	263.000000	23.177862
4129.309650	0.000000	264.000000	35.142492
4677.378565	0.000000	265.000000	23.969535
5917.151465	0.000000	266.000000	29.732329
7032.753060	0.000000	267.000000	29.191165
7902.621931	0.000000	268.000000	30.684837
8570.206302	0.000000	269.000000	28.853292
6854.060092	0.000000	270.000000	19.443729
7476.943999	0.000000	271.000000	26.637002
5931.137228	0.000000	272.000000	34.430972
4933.194987	0.000000	273.000000	17.036255
4461.062136	0.000000	274.000000	18.726681
5143.108934	0.000000	275.000000	24.874016
6352.225519	0.000000	276.000000	29.442269
6425.236622	0.000000	277.000000	23.642973
7162.097868	0.000000	278.000000	26.736092
7301.647198	0.000000	279.000000	32.419393
6771.036627	0.000000	280.000000	22.370030
5016.659131	0.000000	281.000000	36.146738
5519.565511	0.000000	282.000000	24.306352
6453.087260	0.000000	283.000000	26.983178
5420.280899	0.000000	284.000000	18.305620
4245.068171	0.000000	285.000000	8.188741
5490.006948	0.000000	286.000000	30.033766
5251.372421	0.000000	287.000000	21.156050
4422.046530	0.000000	288.000000	16.298289
4879.978832	0.000000	289.000000	23.651903
4857.363855	0.000000	290.000000	21.515230
5643.855228	0.000000	291.000000	25.660766
6774.101210	0.000000	292.000000	30.581912
7446.264185	0.000000	293.000000	26.799494
7475.189524	0.000000	294.000000	32.460893
8215.990505	0.000000	295.000000	28.405172
6771.841416	0.000000	296.000000	19.996813
7255.080531	0.000000	297.000000	25.860011
6104.961712	0.000000	298.000000	19.476064
5463.357300	0.000000	299.000000	19.972931
6390.330368	0.000000	300.000000	26.894249
7262.993448	0.000000	301.000000	31.220415
5284.385438	0.000000	302.000000	36.862440
5981.872468	0.000000	303.000000	25.475564
7056.157681	0.000000	304.000000	28.691260
6303.474090	0.000000	305.000000	21.059126
6584.187416	0.000000	306.000000	24.468997
5530.931056	0.000000	307.000000	18.502671
6003.195853	0.000000	308.000000	32.522493
5643.414582	0.000000	309.000000	21.277997
6813.293992	0.000000	310.000000	30.068087
7426.085011	0.000000	311.000000	31.681840
6842.471677	0.000000	312.000000	22.332568
7734.412454	0.000000	313.000000	30.787379
8014.638187	0.000000	314.000000	26.135048
7005.520316	0.000000	315.000000	21.516119
5352.992208	0.000000	316.000000	34.771863
6456.905021	0.000000	317.000000	28.144423
6346.651565	0.000000	318.000000	22.994790
6990.167087	0.000000	319.000000	26.161593
5322.391293	0.000000	320.000000	14.102662
4932.014847	0.000000	321.000000	20.040616
6137.762972	0.000000	322.000000	30.482559
5491.866978	0.000000	323.000000	33.973123
5652.982945	0.000000	324.000000	23.108948
5627.567172	0.000000	325.000000	22.417075
6447.098393	0.000000	326.000000	26.396256
6441.286176	0.000000	327.000000	32.963835
5510.114371	0.000000	328.000000	18.949220
5719.039936	0.000000	329.000000	23.348342
6123.707088	0.000000	330.000000	32.578956
6286.118477	0.000000	331.000000	23.773902
6859.423351	0.000000	332.000000	32.029260
6052.436059	0.000000	333.000000	20.469499
6579.984672	0.000000	334.000000	25.312403
6632.356418	0.000000	335.000000	23.813204
7584.664509	0.000000	336.000000	28.590868
6490.381950	0.000000	337.000000	20.408997
6396.411263	0.000000	338.000000	23.103231
5072.057747	0.000000	339.000000	15.449019
6209.592790	0.000000	340.000000	30.878146
4698.881777	0.000000	341.000000	36.920943
4806.558174	0.000000	342.000000	22.022535
3842.116419	0.000000	343.000000	37.099394
4213.822347	0.000000	344.000000	22.793672
4155.544406	0.000000	345.000000	20.446965
3554.114230	0.000000	346.000000	14.421062
4763.812088	0.000000	347.000000	30.043810
4626.571533	0.000000	348.000000	20.702978
3831.359626	0.000000	349.000000	13.268668
5039.579221	0.000000	350.000000	29.018658
6229.737514	0.000000	351.000000	28.875467
5168.786186	0.000000	352.000000	17.454665
6225.605739	0.000000	353.000000	27.573084
6582.794349	0.000000	354.000000	24.719345
7274.381835	0.000000	355.000000	31.618826
5610.462157	0.000000	356.000000	15.800107
5996.907531	0.000000	357.000000	24.255533
5007.065570	0.000000	358.000000	17.326678
6135.761029	0.000000	359.000000	30.946879
7238.949817	0.000000	360.000000	29.952537
6590.086950	0.000000	361.000000	21.795026
7469.523392	0.000000	362.000000	27.855889
7721.719333	0.000000	363.000000	25.671123
8307.509975	0.000000	364.000000	27.719434
7462.792485	0.000000	365.000000	22.595918
6483.110286	0.000000	366.000000	33.799940
7271.519534	0.000000	367.000000	27.100773
5574.981460	0.000000	368.000000	15.420810
5895.301954	0.000000	369.000000	23.920912
6859.160412	0.000000	370.000000	27.557517
7829.260143	0.000000	371.000000	30.052159
6298.845910	0.000000	372.000000	18.679931
7275.793461	0.000000	373.000000	30.889802
5739.950845	0.000000	374.000000	17.004867
6512.834546	0.000000	375.000000	26.238834
7101.537931	0.000000	376.000000	31.891431
6642.527668	0.000000	377.000000	22.383142
6804.021269	0.000000	378.000000	24.332618
6735.639052	0.000000	379.000000	23.581414
6379.219632	0.000000	380.000000	22.312680
6139.404753	0.000000	381.000000	22.343959
5755.032799	0.000000	382.000000	21.357064
6258.928640	0.000000	383.000000	24.925986
6474.885340	0.000000	384.000000	24.145915
6338.219705	0.000000	385.000000	22.905385
6920.614738	0.000000	386.000000	25.854382
6202.995173	0.000000	387.000000	20.998492
7176.417683	0.000000	388.000000	28.026570
6361.417503	0.000000	389.000000	20.974733
5441.332218	0.000000	390.000000	18.835058
5997.346285	0.000000	391.000000	24.900015
5125.156560	0.000000	392.000000	18.270160
5534.304272	0.000000	393.000000	23.936853
6559.796595	0.000000	394.000000	31.162884
5053.765112	0.000000	395.000000	34.822413
6140.005605	0.000000	396.000000	27.731682
6310.097350	0.000000	397.000000	23.824187
7367.707531	0.000000	398.000000	30.368734
7699.396720	0.000000	399.000000	25.888268
8415.905540	0.000000	400.000000	28.766686
8977.237848	0.000000	401.000000	30.107871
6146.494332	0.000000	402.000000	36.700741
7247.985904	0.000000	403.000000	29.947274
5768.208170	0.000000	404.000000	17.358208
5132.500851	0.000000	405.000000	19.354863
6098.518566	0.000000	406.000000	26.896346
7004.945330	0.000000	407.000000	27.388270
7060.322222	0.000000	408.000000	32.628229
7964.943858	0.000000	409.000000	30.405029
7623.945141	0.000000	410.000000	23.977479
5474.773680	0.000000	411.000000	35.508271
5554.307855	0.000000	412.000000	22.709546
5552.572910	0.000000	413.000000	22.414324
5023.325432	0.000000	414.000000	19.600285
6001.920580	0.000000	415.000000	26.908618
