N1	N2	time	env	freq1	freq2	abf1	abf2
250.000000	250.000000	0.000000
260.368694	249.323763	0.100000	26.777848	0.510835	0.489165	0.406123	-0.027174
271.153456	248.644939	0.200000	26.777848	0.521651	0.478349	0.405598	-0.027355
282.369789	247.963352	0.300000	26.777848	0.532439	0.467561	0.405051	-0.027546
294.033674	247.278820	0.400000	26.777848	0.543187	0.456813	0.404481	-0.027745
306.161571	246.591158	0.500000	26.777848	0.553885	0.446115	0.403888	-0.027953
318.770431	245.900173	0.600000	26.777848	0.564525	0.435475	0.403272	-0.028170
331.877695	245.205669	0.700000	26.777848	0.575095	0.424905	0.402630	-0.028398
345.501301	244.507442	0.800000	26.777848	0.585587	0.414413	0.401963	-0.028635
359.659682	243.805285	0.900000	26.777848	0.595991	0.404009	0.401269	-0.028883
374.371771	243.098982	1.000000	26.777848	0.606299	0.393701	0.400548	-0.029142
373.136791	242.392293	1.100000	54.976743	0.606205	0.393795	-0.033005	-0.029082
371.908700	241.689106	1.200000	54.976743	0.606112	0.393888	-0.032929	-0.029023
370.687440	240.989394	1.300000	54.976743	0.606018	0.393982	-0.032854	-0.028963
369.472956	240.293132	1.400000	54.976743	0.605926	0.394074	-0.032780	-0.028904
368.265193	239.600293	1.500000	54.976743	0.605833	0.394167	-0.032705	-0.028845
367.064096	238.910854	1.600000	54.976743	0.605741	0.394259	-0.032631	-0.028787
365.869610	238.224788	1.700000	54.976743	0.605650	0.394350	-0.032558	-0.028729
364.681683	237.542071	1.800000	54.976743	0.605558	0.394442	-0.032485	-0.028671
363.500261	236.862679	1.900000	54.976743	0.605468	0.394532	-0.032412	-0.028613
362.325292	236.186586	2.000000	54.976743	0.605377	0.394623	-0.032340	-0.028556
361.156725	235.513770	2.100000	67.988487	0.605287	0.394713	-0.032268	-0.028499
359.994506	234.844205	2.200000	67.988487	0.605197	0.394803	-0.032197	-0.028442
358.838587	234.177869	2.300000	67.988487	0.605107	0.394893	-0.032125	-0.028386
357.688917	233.514738	2.400000	67.988487	0.605018	0.394982	-0.032055	-0.028330
356.545446	232.854790	2.500000	67.988487	0.604929	0.395071	-0.031984	-0.028274
355.408124	232.198000	2.600000	67.988487	0.604841	0.395159	-0.031914	-0.028218
354.276904	231.544347	2.700000	67.988487	0.604753	0.395247	-0.031845	-0.028163
353.151738	230.893807	2.800000	67.988487	0.604665	0.395335	-0.031775	-0.028108
352.032577	230.246359	2.900000	67.988487	0.604577	0.395423	-0.031707	-0.028053
350.919374	229.601981	3.000000	67.988487	0.604490	0.395510	-0.031638	-0.027998
351.179045	236.170308	3.100000	17.179737	0.597905	0.402095	0.007325	0.281891
351.433777	242.918327	3.200000	17.179737	0.591289	0.408711	0.007177	0.281549
351.683439	249.850483	3.300000	17.179737	0.584644	0.415356	0.007026	0.281197
351.927899	256.971308	3.400000	17.179737	0.577974	0.422026	0.006871	0.280836
352.167019	264.285414	3.500000	17.179737	0.571280	0.428720	0.006713	0.280466
352.400661	271.797497	3.600000	17.179737	0.564565	0.435435	0.006551	0.280086
352.628681	279.512336	3.700000	17.179737	0.557832	0.442168	0.006385	0.279695
352.850934	287.434790	3.800000	17.179737	0.551084	0.448916	0.006216	0.279295
353.067272	295.569803	3.900000	17.179737	0.544322	0.455678	0.006042	0.278884
353.277540	303.922398	4.000000	17.179737	0.537550	0.462450	0.005865	0.278462
368.278449	302.954838	4.100000	27.156146	0.548659	0.451341	0.415485	-0.032013
383.887698	301.982581	4.200000	27.156146	0.559709	0.440291	0.414724	-0.032277
400.127459	301.005326	4.300000	27.156146	0.570687	0.429313	0.413932	-0.032553
417.020495	300.022763	4.400000	27.156146	0.581583	0.418417	0.413107	-0.032842
434.590156	299.034576	4.500000	27.156146	0.592388	0.407612	0.412248	-0.033144
452.860376	298.040441	4.600000	27.156146	0.603089	0.396911	0.411355	-0.033459
471.855662	297.040023	4.700000	27.156146	0.613680	0.386320	0.410425	-0.033789
491.601085	296.032982	4.800000	27.156146	0.624149	0.375851	0.409458	-0.034134
512.122266	295.018967	4.900000	27.156146	0.634489	0.365511	0.408452	-0.034493
533.445360	293.997620	5.000000	27.156146	0.644691	0.355309	0.407406	-0.034869
557.793500	292.967941	5.100000	31.015369	0.655640	0.344360	0.445719	-0.035304
583.181665	291.928859	5.200000	31.015369	0.666409	0.333591	0.444470	-0.035760
609.647627	290.879900	5.300000	31.015369	0.676989	0.323011	0.443168	-0.036237
637.229912	289.820575	5.400000	31.015369	0.687373	0.312627	0.441810	-0.036736
665.967758	288.750384	5.500000	31.015369	0.697554	0.302446	0.440395	-0.037257
695.901053	287.668815	5.600000	31.015369	0.707526	0.292474	0.438920	-0.037801
727.070283	286.575347	5.700000	31.015369	0.717283	0.282717	0.437383	-0.038370
759.516456	285.469447	5.800000	31.015369	0.726820	0.273180	0.435783	-0.038964
793.281029	284.350569	5.900000	31.015369	0.736134	0.263866	0.434117	-0.039583
828.405813	283.218162	6.000000	31.015369	0.745221	0.254779	0.432383	-0.040229
823.742101	282.083211	6.100000	51.273048	0.744912	0.255088	-0.056329	-0.040079
819.125501	280.957004	6.200000	51.273048	0.744604	0.255396	-0.056075	-0.039930
814.555309	279.839433	6.300000	51.273048	0.744298	0.255702	-0.055825	-0.039783
810.030836	278.730394	6.400000	51.273048	0.743993	0.256007	-0.055576	-0.039637
805.551407	277.629784	6.500000	51.273048	0.743690	0.256310	-0.055330	-0.039493
801.116359	276.537501	6.600000	51.273048	0.743389	0.256611	-0.055087	-0.039349
796.725042	275.453445	6.700000	51.273048	0.743090	0.256910	-0.054845	-0.039207
792.376820	274.377518	6.800000	51.273048	0.742792	0.257208	-0.054606	-0.039066
788.071068	273.309624	6.900000	51.273048	0.742496	0.257504	-0.054370	-0.038927
783.807173	272.249667	7.000000	51.273048	0.742202	0.257798	-0.054135	-0.038789
779.584535	271.197555	7.100000	57.020731	0.741909	0.258091	-0.053903	-0.038652
775.402562	270.153195	7.200000	57.020731	0.741618	0.258382	-0.053673	-0.038516
771.260677	269.116496	7.300000	57.020731	0.741328	0.258672	-0.053445	-0.038381
767.158313	268.087371	7.400000	57.020731	0.741040	0.258960	-0.053220	-0.038248
763.094912	267.065731	7.500000	57.020731	0.740753	0.259247	-0.052996	-0.038115
759.069928	266.051491	7.600000	57.020731	0.740468	0.259532	-0.052775	-0.037984
755.082824	265.044565	7.700000	57.020731	0.740185	0.259815	-0.052555	-0.037854
751.133073	264.044870	7.800000	57.020731	0.739903	0.260097	-0.052338	-0.037725
747.220160	263.052324	7.900000	57.020731	0.739622	0.260378	-0.052122	-0.037597
