N1	N2	time	env	freq1	freq2	abf1	abf2
250.000000	250.000000	0.000000
256.860638	256.086513	0.100000	24.135095	0.500755	0.499245	0.270494	0.240322
263.897133	262.309490	0.200000	24.135095	0.501509	0.498491	0.270018	0.239871
271.113316	268.671406	0.300000	24.135095	0.502262	0.497738	0.269530	0.239408
278.513062	275.174748	0.400000	24.135095	0.503015	0.496985	0.269030	0.238935
286.100296	281.822019	0.500000	24.135095	0.503767	0.496233	0.268518	0.238451
293.878981	288.615731	0.600000	24.135095	0.504518	0.495482	0.267993	0.237956
301.853124	295.558410	0.700000	24.135095	0.505268	0.494732	0.267455	0.237449
310.026771	302.652588	0.800000	24.135095	0.506018	0.493982	0.266905	0.236931
318.404005	309.900804	0.900000	24.135095	0.506767	0.493233	0.266341	0.236401
326.988943	317.305602	1.000000	24.135095	0.507515	0.492485	0.265763	0.235859
342.944586	316.290644	1.100000	29.646725	0.520216	0.479784	0.476033	-0.032173
359.650164	315.270241	1.200000	29.646725	0.532878	0.467122	0.475219	-0.032457
377.138044	314.243994	1.300000	29.646725	0.545484	0.454516	0.474365	-0.032755
395.441701	313.211491	1.400000	29.646725	0.558019	0.441981	0.473470	-0.033069
414.595729	312.172306	1.500000	29.646725	0.570465	0.429535	0.472533	-0.033401
434.635844	311.125998	1.600000	29.646725	0.582808	0.417192	0.471552	-0.033749
455.598888	310.072112	1.700000	29.646725	0.595032	0.404968	0.470525	-0.034116
477.522823	309.010181	1.800000	29.646725	0.607124	0.392876	0.469450	-0.034501
500.446725	307.939719	1.900000	29.646725	0.619069	0.380931	0.468325	-0.034906
524.410771	306.860228	2.000000	29.646725	0.630854	0.369146	0.467149	-0.035331
549.105532	305.771301	2.100000	29.033702	0.642321	0.357679	0.459543	-0.035771
574.891890	304.672526	2.200000	29.033702	0.653610	0.346390	0.458275	-0.036231
601.811231	303.563377	2.300000	29.033702	0.664710	0.335290	0.456952	-0.036714
629.905846	302.443315	2.400000	29.033702	0.675612	0.324388	0.455569	-0.037220
659.218893	301.311785	2.500000	29.033702	0.686307	0.313693	0.454126	-0.037750
689.794339	300.168221	2.600000	29.033702	0.696788	0.303212	0.452620	-0.038304
721.676892	299.012043	2.700000	29.033702	0.707049	0.292951	0.451049	-0.038884
754.911934	297.842656	2.800000	29.033702	0.717083	0.282917	0.449411	-0.039490
789.545432	296.659455	2.900000	29.033702	0.726884	0.273116	0.447703	-0.040124
825.623845	295.461823	3.000000	29.033702	0.736450	0.263550	0.445923	-0.040786
853.551547	294.957150	3.100000	25.857390	0.743182	0.256818	0.331970	-0.017363
882.299825	294.437406	3.200000	25.857390	0.749785	0.250215	0.330543	-0.017912
911.884344	293.902209	3.300000	25.857390	0.756257	0.243743	0.329075	-0.018477
942.320487	293.351174	3.400000	25.857390	0.762598	0.237402	0.327564	-0.019058
973.623311	292.783916	3.500000	25.857390	0.768807	0.231193	0.326010	-0.019656
1005.807491	292.200044	3.600000	25.857390	0.774886	0.225114	0.324412	-0.020271
1038.887273	291.599169	3.700000	25.857390	0.780833	0.219167	0.322770	-0.020902
1072.876416	290.980902	3.800000	25.857390	0.786649	0.213351	0.321083	-0.021551
1107.788138	290.344850	3.900000	25.857390	0.792334	0.207666	0.319351	-0.022217
1143.635056	289.690625	4.000000	25.857390	0.797889	0.202111	0.317571	-0.022902
1157.254567	301.558590	4.100000	22.078529	0.793285	0.206715	0.117926	0.401073
1170.928042	313.885206	4.200000	22.078529	0.788603	0.211397	0.116996	0.400183
1184.652164	326.686217	4.300000	22.078529	0.783843	0.216157	0.116054	0.399269
1198.423490	339.977761	4.400000	22.078529	0.779006	0.220994	0.115099	0.398329
1212.238458	353.776366	4.500000	22.078529	0.774091	0.225909	0.114132	0.397362
1226.093381	368.098948	4.600000	22.078529	0.769100	0.230900	0.113153	0.396369
1239.984449	382.962810	4.700000	22.078529	0.764032	0.235968	0.112161	0.395348
1253.907723	398.385631	4.800000	22.078529	0.758889	0.241111	0.111157	0.394299
1267.859139	414.385462	4.900000	22.078529	0.753671	0.246329	0.110139	0.393220
1281.834502	430.980718	5.000000	22.078529	0.748379	0.251621	0.109109	0.392110
1323.129257	428.529586	5.100000	26.062682	0.755358	0.244642	0.316061	-0.057389
1365.475506	426.061996	5.200000	26.062682	0.762181	0.237819	0.313993	-0.058113
1408.881942	423.577535	5.300000	26.062682	0.768848	0.231152	0.311872	-0.058857
1453.356117	421.075806	5.400000	26.062682	0.775358	0.224642	0.309699	-0.059621
1498.904365	418.556426	5.500000	26.062682	0.781713	0.218287	0.307472	-0.060406
1545.531725	416.019032	5.600000	26.062682	0.787913	0.212087	0.305191	-0.061212
1593.241869	413.463278	5.700000	26.062682	0.793959	0.206041	0.302857	-0.062038
1642.037028	410.888840	5.800000	26.062682	0.799852	0.200148	0.300468	-0.062885
1691.917919	408.295417	5.900000	26.062682	0.805593	0.194407	0.298026	-0.063753
1742.883673	405.682729	6.000000	26.062682	0.811184	0.188816	0.295530	-0.064642
1735.007551	420.472168	6.100000	18.270076	0.804929	0.195071	-0.045245	0.357776
1727.182845	435.774827	6.200000	18.270076	0.798528	0.201472	-0.045159	0.357167
1719.406957	451.606306	6.300000	18.270076	0.791984	0.208016	-0.045087	0.356531
1711.677302	467.982512	6.400000	18.270076	0.785296	0.214704	-0.045028	0.355867
1703.991303	484.919646	6.500000	18.270076	0.778465	0.221535	-0.044983	0.355174
1696.346394	502.434196	6.600000	18.270076	0.771494	0.228506	-0.044951	0.354451
1688.740016	520.542926	6.700000	18.270076	0.764384	0.235616	-0.044933	0.353698
1681.169621	539.262867	6.800000	18.270076	0.757136	0.242864	-0.044929	0.352913
1673.632663	558.611298	6.900000	18.270076	0.749753	0.250247	-0.044939	0.352096
1666.126606	578.605736	7.000000	18.270076	0.742238	0.257762	-0.044963	0.351247
1718.455503	574.444960	7.100000	26.365396	0.749468	0.250532	0.307972	-0.072591
1771.973745	570.265631	7.200000	26.365396	0.756530	0.243470	0.305380	-0.073453
1826.679728	566.067300	7.300000	26.365396	0.763424	0.236576	0.302729	-0.074337
1882.569903	561.849557	7.400000	26.365396	0.770150	0.229850	0.300019	-0.075244
1939.638701	557.612038	7.500000	26.365396	0.776710	0.223290	0.297250	-0.076173
1997.878455	553.354420	7.600000	26.365396	0.783103	0.216897	0.294423	-0.077125
2057.279338	549.076430	7.700000	26.365396	0.789332	0.210668	0.291539	-0.078099
2117.829301	544.777845	7.800000	26.365396	0.795397	0.204603	0.288597	-0.079095
2179.514016	540.458488	7.900000	26.365396	0.801300	0.198700	0.285599	-0.080113
2242.316831	536.118241	8.000000	26.365396	0.807043	0.192957	0.282546	-0.081152
2304.233983	531.758082	8.100000	26.184214	0.812497	0.187503	0.270878	-0.082173
2367.142710	527.379070	8.200000	26.184214	0.817801	0.182199	0.267820	-0.083212
2431.019581	522.981284	8.300000	26.184214	0.822958	0.177042	0.264714	-0.084269
2495.838993	518.564854	8.400000	26.184214	0.827971	0.172029	0.261562	-0.085345
2561.573172	514.129970	8.500000	26.184214	0.832841	0.167159	0.258364	-0.086438
2628.192191	509.676876	8.600000	26.184214	0.837572	0.162428	0.255122	-0.087548
2695.663992	505.205874	8.700000	26.184214	0.842166	0.157834	0.251838	-0.088674
2763.954421	500.717323	8.800000	26.184214	0.846626	0.153374	0.248513	-0.089815
