N1	N2	time	env	freq1	freq2	abf1	abf2
250.000000	250.000000	0.000000
261.278649	249.323540	0.100000	27.670471	0.511707	0.488293	0.440988	-0.027192
273.050767	248.644022	0.200000	27.670471	0.523392	0.476608	0.440413	-0.027393
285.336516	247.961236	0.300000	27.670471	0.535042	0.464958	0.439813	-0.027605
298.156751	247.274965	0.400000	27.670471	0.546644	0.453356	0.439185	-0.027827
311.533030	246.584982	0.500000	27.670471	0.558185	0.441815	0.438530	-0.028060
325.487626	245.891056	0.600000	27.670471	0.569653	0.430347	0.437846	-0.028304
340.043533	245.192946	0.700000	27.670471	0.581036	0.418964	0.437133	-0.028561
355.224477	244.490404	0.800000	27.670471	0.592322	0.407678	0.436388	-0.028829
371.054920	243.783176	0.900000	27.670471	0.603500	0.396500	0.435610	-0.029110
387.560062	243.070997	1.000000	27.670471	0.614559	0.385441	0.434799	-0.029405
386.256197	242.358051	1.100000	-4.120684	0.614457	0.385543	-0.033660	-0.029343
384.959768	241.648684	1.200000	-4.120684	0.614355	0.385645	-0.033581	-0.029282
383.670713	240.942869	1.300000	-4.120684	0.614253	0.385747	-0.033502	-0.029221
382.388970	240.240578	1.400000	-4.120684	0.614152	0.385848	-0.033424	-0.029160
381.114479	239.541786	1.500000	-4.120684	0.614051	0.385949	-0.033347	-0.029099
379.847179	238.846466	1.600000	-4.120684	0.613950	0.386050	-0.033269	-0.029039
378.587011	238.154592	1.700000	-4.120684	0.613850	0.386150	-0.033192	-0.028979
377.333915	237.466139	1.800000	-4.120684	0.613751	0.386249	-0.033116	-0.028920
376.087833	236.781080	1.900000	-4.120684	0.613651	0.386349	-0.033040	-0.028861
374.848707	236.099391	2.000000	-4.120684	0.613552	0.386448	-0.032964	-0.028802
374.117189	237.563653	2.100000	14.742913	0.611622	0.388378	-0.019530	0.061798
373.387366	239.035591	2.200000	14.742913	0.609689	0.390311	-0.019523	0.061739
372.659226	240.515225	2.300000	14.742913	0.607754	0.392246	-0.019517	0.061680
371.932754	242.002574	2.400000	14.742913	0.605817	0.394183	-0.019510	0.061620
371.207939	243.497659	2.500000	14.742913	0.603879	0.396121	-0.019504	0.061560
370.484766	245.000500	2.600000	14.742913	0.601939	0.398061	-0.019498	0.061499
369.763223	246.511114	2.700000	14.742913	0.599998	0.400002	-0.019492	0.061438
369.043298	248.029522	2.800000	14.742913	0.598055	0.401945	-0.019486	0.061376
368.324978	249.555743	2.900000	14.742913	0.596110	0.403890	-0.019481	0.061314
367.608249	251.089794	3.000000	14.742913	0.594164	0.405836	-0.019476	0.061252
366.404736	250.353354	3.100000	6.180288	0.594082	0.405918	-0.032755	-0.029342
365.207892	249.620590	3.200000	6.180288	0.594000	0.406000	-0.032681	-0.029282
364.017662	248.891474	3.300000	6.180288	0.593918	0.406082	-0.032607	-0.029222
362.833992	248.165980	3.400000	6.180288	0.593836	0.406164	-0.032533	-0.029162
361.656828	247.444080	3.500000	6.180288	0.593755	0.406245	-0.032460	-0.029102
360.486119	246.725747	3.600000	6.180288	0.593674	0.406326	-0.032387	-0.029043
359.321812	246.010956	3.700000	6.180288	0.593594	0.406406	-0.032314	-0.028984
