N1	N2	time	env	freq1	freq2	abf1	abf2
250.000000	250.000000	0.000000
262.055036	249.323349	0.100000	28.777496	0.512448	0.487552	0.470639	-0.027207
274.674799	248.643239	0.200000	28.777496	0.524872	0.475128	0.470022	-0.027426
287.884096	247.959426	0.300000	28.777496	0.537254	0.462746	0.469375	-0.027656
301.708663	247.271657	0.400000	28.777496	0.549580	0.450420	0.468698	-0.027898
316.175180	246.579672	0.500000	28.777496	0.561835	0.438165	0.467988	-0.028152
331.311290	245.883199	0.600000	28.777496	0.574003	0.425997	0.467245	-0.028420
347.145615	245.181958	0.700000	28.777496	0.586070	0.413930	0.466468	-0.028702
363.707766	244.475658	0.800000	28.777496	0.598023	0.401977	0.465654	-0.028998
381.028358	243.763998	0.900000	28.777496	0.609848	0.390152	0.464802	-0.029309
399.139015	243.046668	1.000000	28.777496	0.621532	0.378468	0.463911	-0.029635
418.564278	242.323229	1.100000	30.004123	0.633337	0.366663	0.474725	-0.029987
438.891952	241.593218	1.200000	30.004123	0.644969	0.355031	0.473723	-0.030357
460.159673	240.856272	1.300000	30.004123	0.656418	0.343582	0.472675	-0.030746
482.406222	240.112017	1.400000	30.004123	0.667673	0.332327	0.471577	-0.031154
505.671512	239.360064	1.500000	30.004123	0.678725	0.321275	0.470429	-0.031581
529.996582	238.600015	1.600000	30.004123	0.689564	0.310436	0.469228	-0.032030
555.423567	237.831456	1.700000	30.004123	0.700183	0.299817	0.467972	-0.032500
581.995679	237.053965	1.800000	30.004123	0.710574	0.289426	0.466659	-0.032993
609.757166	236.267103	1.900000	30.004123	0.720732	0.279268	0.465286	-0.033508
638.753271	235.470422	2.000000	30.004123	0.730652	0.269348	0.463853	-0.034049
635.817584	234.671201	2.100000	47.947719	0.730414	0.269586	-0.045984	-0.033950
632.905650	233.876992	2.200000	47.947719	0.730178	0.269822	-0.045823	-0.033852
630.017186	233.087746	2.300000	47.947719	0.729943	0.270057	-0.045663	-0.033755
627.151912	232.303413	2.400000	47.947719	0.729709	0.270291	-0.045504	-0.033658
624.309553	231.523946	2.500000	47.947719	0.729475	0.270525	-0.045346	-0.033562
621.489840	230.749298	2.600000	47.947719	0.729243	0.270757	-0.045189	-0.033467
618.692505	229.979421	2.700000	47.947719	0.729013	0.270987	-0.045034	-0.033373
615.917287	229.214270	2.800000	47.947719	0.728783	0.271217	-0.044880	-0.033279
613.163927	228.453799	2.900000	47.947719	0.728554	0.271446	-0.044727	-0.033186
610.432173	227.697963	3.000000	47.947719	0.728326	0.271674	-0.044576	-0.033094
617.442144	226.944514	3.100000	34.148441	0.731232	0.268768	0.114014	-0.033196
624.511574	226.191226	3.200000	34.148441	0.734113	0.265887	0.113675	-0.033300
631.640477	225.438086	3.300000	34.148441	0.736969	0.263031	0.113334	-0.033405
638.828853	224.685083	3.400000	34.148441	0.739801	0.260199	0.112990	-0.033511
646.076691	223.932206	3.500000	34.148441	0.742609	0.257391	0.112642	-0.033618
653.383968	223.179443	3.600000	34.148441	0.745393	0.254607	0.112292	-0.033727
660.750647	222.426783	3.700000	34.148441	0.748152	0.251848	0.111939	-0.033836
668.176677	221.674217	3.800000	34.148441	0.750886	0.249114	0.111583	-0.033947
675.661996	220.921734	3.900000	34.148441	0.753596	0.246404	0.111223	-0.034059
683.206527	220.169325	4.000000	34.148441	0.756282	0.243718	0.110861	-0.034173
679.936738	219.419363	4.100000	46.436920	0.756026	0.243974	-0.047885	-0.034070
676.694626	218.674198	4.200000	46.436920	0.755772	0.244228	-0.047708	-0.033968
673.479845	217.933780	4.300000	46.436920	0.755519	0.244481	-0.047533	-0.033866
670.292054	217.198060	4.400000	46.436920	0.755267	0.244733	-0.047359	-0.033766
667.130920	216.466993	4.500000	46.436920	0.755016	0.244984	-0.047186	-0.033666
663.996113	215.740531	4.600000	46.436920	0.754767	0.245233	-0.047015	-0.033567
660.887309	215.018628	4.700000	46.436920	0.754519	0.245481	-0.046845	-0.033469
657.804189	214.301238	4.800000	46.436920	0.754271	0.245729	-0.046676	-0.033371
654.746441	213.588317	4.900000	46.436920	0.754025	0.245975	-0.046509	-0.033274
651.713755	212.879821	5.000000	46.436920	0.753780	0.246220	-0.046343	-0.033178
651.715107	212.175067	5.100000	34.767347	0.754396	0.245604	0.000028	-0.033143
651.717369	211.473389	5.200000	34.767347	0.755010	0.244990	0.000042	-0.033108
651.720535	210.774768	5.300000	34.767347	0.755622	0.244378	0.000055	-0.033073
651.724598	210.079186	5.400000	34.767347	0.756233	0.243767	0.000069	-0.033038
651.729551	209.386624	5.500000	34.767347	0.756843	0.243157	0.000083	-0.033004
651.735387	208.697064	5.600000	34.767347	0.757451	0.242549	0.000096	-0.032970
651.742100	208.010488	5.700000	34.767347	0.758058	0.241942	0.000110	-0.032935
651.749682	207.326877	5.800000	34.767347	0.758663	0.241337	0.000123	-0.032901
651.758128	206.646215	5.900000	34.767347	0.759267	0.240733	0.000136	-0.032867
651.767430	205.968484	6.000000	34.767347	0.759870	0.240130	0.000149	-0.032834
654.405985	215.744993	6.100000	19.353309	0.752060	0.247940	0.040237	0.463467
657.033429	225.973064	6.200000	19.353309	0.744087	0.255913	0.039901	0.462903
659.648973	236.672408	6.300000	19.353309	0.735951	0.264049	0.039556	0.462316
662.251793	247.863486	6.400000	19.353309	0.727657	0.272343	0.039202	0.461704
664.841035	259.567533	6.500000	19.353309	0.719207	0.280793	0.038839	0.461067
667.415805	271.806570	6.600000	19.353309	0.710605	0.289395	0.038465	0.460404
669.975176	284.603426	6.700000	19.353309	0.701854	0.298146	0.038081	0.459713
672.518181	297.981750	6.800000	19.353309	0.692961	0.307039	0.037687	0.458993
675.043816	311.966027	6.900000	19.353309	0.683928	0.316072	0.037281	0.458243
677.551034	326.581595	7.000000	19.353309	0.674762	0.325238	0.036863	0.457462
684.752336	325.296748	7.100000	34.166865	0.677940	0.322060	0.105556	-0.039460
692.006944	324.014352	7.200000	34.166865	0.681095	0.318905	0.105219	-0.039541
699.314743	322.734378	7.300000	34.166865	0.684228	0.315772	0.104879	-0.039623
706.675606	321.456801	7.400000	34.166865	0.687339	0.312661	0.104537	-0.039706
714.089395	320.181594	7.500000	34.166865	0.690428	0.309572	0.104191	-0.039791
721.555958	318.908732	7.600000	34.166865	0.693494	0.306506	0.103844	-0.039877
729.075131	317.638190	7.700000	34.166865	0.696538	0.303462	0.103493	-0.039963
736.646738	316.369943	7.800000	34.166865	0.699558	0.300442	0.103140	-0.040051
744.270590	315.103968	7.900000	34.166865	0.702557	0.297443	0.102784	-0.040141
751.946484	313.840242	8.000000	34.166865	0.705532	0.294468	0.102425	-0.040231
747.952150	312.582404	8.100000	38.727553	0.705260	0.294740	-0.053149	-0.040088
743.995686	311.334034	8.200000	38.727553	0.704989	0.295011	-0.052926	-0.039947
740.076563	310.095020	8.300000	38.727553	0.704720	0.295280	-0.052706	-0.039806
736.194259	308.865252	8.400000	38.727553	0.704452	0.295548	-0.052487	-0.039667
732.348266	307.644623	8.500000	38.727553	0.704186	0.295814	-0.052270	-0.039529
728.538080	306.433028	8.600000	38.727553	0.703921	0.296079	-0.052056	-0.039392
724.763211	305.230362	8.700000	38.727553	0.703658	0.296342	-0.051843	-0.039257
