mean	shape	N	N	dom_1	dom_2	coexist	extinct	ff
2.000000	10.500000	100	100	33	67	0	0	0
2.000000	10.500000	100	100	4	96	0	0	0
2.000000	10.500000	100	100	0	95	5	0	0
2.000000	10.500000	100	100	0	0	100	0	0
2.000000	10.500000	100	100	0	0	100	0	0
5.000000	10.500000	100	100	24	76	0	0	0
5.000000	10.500000	100	100	5	95	0	0	0
5.000000	10.500000	100	100	0	36	64	0	0
5.000000	10.500000	100	100	0	0	100	0	0
5.000000	10.500000	100	100	0	0	100	0	0
8.000000	10.500000	100	100	25	75	0	0	0
8.000000	10.500000	100	100	6	94	0	0	0
8.000000	10.500000	100	100	0	10	90	0	0
8.000000	10.500000	100	100	0	0	100	0	0
8.000000	10.500000	100	100	0	0	100	0	0
11.000000	10.500000	100	100	32	68	0	0	0
11.000000	10.500000	100	100	9	91	0	0	0
11.000000	10.500000	100	100	1	0	99	0	0
11.000000	10.500000	100	100	0	0	100	0	0
11.000000	10.500000	100	100	0	0	100	0	0
14.000000	10.500000	100	100	34	66	0	0	0
14.000000	10.500000	100	100	29	71	0	0	0
14.000000	10.500000	100	100	1	0	99	0	0
14.000000	10.500000	100	100	0	0	100	0	0
14.000000	10.500000	100	100	0	0	100	0	0
17.000000	10.500000	100	100	42	58	0	0	0
17.000000	10.500000	100	100	76	24	0	0	0
17.000000	10.500000	100	100	3	0	97	0	0
17.000000	10.500000	100	100	0	0	100	0	0
17.000000	10.500000	100	100	0	0	100	0	0
20.000000	10.500000	100	100	59	41	0	0	0
20.000000	10.500000	100	100	89	11	0	0	0
20.000000	10.500000	100	100	8	0	92	0	0
20.000000	10.500000	100	100	1	0	99	0	0
20.000000	10.500000	100	100	0	0	100	0	0
23.000000	10.500000	100	100	67	33	0	0	0
23.000000	10.500000	100	100	99	1	0	0	0
23.000000	10.500000	100	100	22	0	78	0	0
23.000000	10.500000	100	100	1	0	99	0	0
23.000000	10.500000	100	100	0	0	100	0	0
26.000000	10.500000	100	100	72	28	0	0	0
26.000000	10.500000	100	100	100	0	0	0	0
26.000000	10.500000	100	100	60	0	40	0	0
26.000000	10.500000	100	100	5	0	95	0	0
26.000000	10.500000	100	100	0	0	100	0	0
29.000000	10.500000	100	100	86	14	0	0	0
29.000000	10.500000	100	100	100	0	0	0	0
29.000000	10.500000	100	100	90	0	10	0	0
29.000000	10.500000	100	100	9	0	91	0	0
29.000000	10.500000	100	100	1	0	99	0	0
32.000000	10.500000	100	100	83	17	0	0	0
32.000000	10.500000	100	100	100	0	0	0	0
32.000000	10.500000	100	100	100	0	0	0	0
32.000000	10.500000	100	100	26	0	74	0	0
32.000000	10.500000	100	100	5	0	95	0	0
35.000000	10.500000	100	100	79	21	0	0	0
35.000000	10.500000	100	100	100	0	0	0	0
35.000000	10.500000	100	100	100	0	0	0	0
35.000000	10.500000	100	100	66	0	34	0	0
35.000000	10.500000	100	100	6	0	94	0	0
38.000000	10.500000	100	100	94	5	0	1	0
38.000000	10.500000	100	100	100	0	0	0	0
38.000000	10.500000	100	100	100	0	0	0	0
38.000000	10.500000	100	100	97	0	3	0	0
38.000000	10.500000	100	100	31	0	69	0	0
