mean	shape	N	N	dom_1	dom_2	coexist	extinct	ff
2.000000	10.500000	100	100	51	49	0	0	0
2.000000	10.500000	100	100	15	85	0	0	0
2.000000	10.500000	100	100	0	1	99	0	0
2.000000	10.500000	100	100	0	0	100	0	0
2.000000	10.500000	100	100	0	0	100	0	0
5.000000	10.500000	100	100	60	40	0	0	0
5.000000	10.500000	100	100	39	50	11	0	0
5.000000	10.500000	100	100	0	0	100	0	0
5.000000	10.500000	100	100	0	0	100	0	0
5.000000	10.500000	100	100	0	0	100	0	0
8.000000	10.500000	100	100	60	40	0	0	0
8.000000	10.500000	100	100	64	11	25	0	0
8.000000	10.500000	100	100	0	0	100	0	0
8.000000	10.500000	100	100	0	0	100	0	0
8.000000	10.500000	100	100	0	0	100	0	0
11.000000	10.500000	100	100	78	22	0	0	0
11.000000	10.500000	100	100	87	0	13	0	0
11.000000	10.500000	100	100	1	0	99	0	0
11.000000	10.500000	100	100	0	0	100	0	0
11.000000	10.500000	100	100	0	0	100	0	0
14.000000	10.500000	100	100	82	18	0	0	0
14.000000	10.500000	100	100	99	0	1	0	0
14.000000	10.500000	100	100	1	0	99	0	0
14.000000	10.500000	100	100	0	0	100	0	0
14.000000	10.500000	100	100	0	0	100	0	0
17.000000	10.500000	100	100	95	5	0	0	0
17.000000	10.500000	100	100	100	0	0	0	0
17.000000	10.500000	100	100	7	0	93	0	0
17.000000	10.500000	100	100	0	0	100	0	0
17.000000	10.500000	100	100	0	0	100	0	0
20.000000	10.500000	100	100	93	7	0	0	0
20.000000	10.500000	100	100	100	0	0	0	0
20.000000	10.500000	100	100	15	0	85	0	0
20.000000	10.500000	100	100	1	0	99	0	0
20.000000	10.500000	100	100	1	0	99	0	0
23.000000	10.500000	100	100	98	2	0	0	0
23.000000	10.500000	100	100	100	0	0	0	0
23.000000	10.500000	100	100	65	0	35	0	0
23.000000	10.500000	100	100	3	0	97	0	0
23.000000	10.500000	100	100	0	0	100	0	0
26.000000	10.500000	100	100	99	1	0	0	0
26.000000	10.500000	100	100	100	0	0	0	0
26.000000	10.500000	100	100	93	0	7	0	0
26.000000	10.500000	100	100	11	0	89	0	0
26.000000	10.500000	100	100	3	0	97	0	0
29.000000	10.500000	100	100	98	2	0	0	0
29.000000	10.500000	100	100	100	0	0	0	0
29.000000	10.500000	100	100	100	0	0	0	0
29.000000	10.500000	100	100	37	0	63	0	0
29.000000	10.500000	100	100	5	0	95	0	0
32.000000	10.500000	100	100	98	2	0	0	0
32.000000	10.500000	100	100	100	0	0	0	0
32.000000	10.500000	100	100	100	0	0	0	0
32.000000	10.500000	100	100	80	0	20	0	0
32.000000	10.500000	100	100	17	0	83	0	0
35.000000	10.500000	100	100	97	3	0	0	0
35.000000	10.500000	100	100	100	0	0	0	0
35.000000	10.500000	100	100	100	0	0	0	0
35.000000	10.500000	100	100	97	0	3	0	0
35.000000	10.500000	100	100	51	0	49	0	0
38.000000	10.500000	100	100	97	2	0	1	0
38.000000	10.500000	100	100	100	0	0	0	0
38.000000	10.500000	100	100	100	0	0	0	0
38.000000	10.500000	100	100	100	0	0	0	0
38.000000	10.500000	100	100	85	0	15	0	0
