mean	shape	N	N	dom_1	dom_2	coexist	extinct	ff
2.000000	0.500000	100	100	0	100	0	0	0
2.000000	5.500000	100	100	0	100	0	0	0
2.000000	10.500000	100	100	0	100	0	0	0
2.000000	15.500000	100	100	3	96	1	0	0
2.000000	20.500000	100	100	34	62	4	0	0
5.000000	0.500000	100	100	0	100	0	0	0
5.000000	5.500000	100	100	0	100	0	0	0
5.000000	10.500000	100	100	0	99	1	0	0
5.000000	15.500000	100	100	10	77	13	0	0
5.000000	20.500000	100	100	47	52	1	0	0
8.000000	0.500000	100	100	0	100	0	0	0
8.000000	5.500000	100	100	0	100	0	0	0
8.000000	10.500000	100	100	0	72	28	0	0
8.000000	15.500000	100	100	25	42	33	0	0
8.000000	20.500000	100	100	61	25	14	0	0
11.000000	0.500000	100	100	0	96	4	0	0
11.000000	5.500000	100	100	0	54	46	0	0
11.000000	10.500000	100	100	2	19	79	0	0
11.000000	15.500000	100	100	32	11	57	0	0
11.000000	20.500000	100	100	69	13	18	0	0
14.000000	0.500000	100	100	0	0	100	0	0
14.000000	5.500000	100	100	0	0	100	0	0
14.000000	10.500000	100	100	7	2	91	0	0
14.000000	15.500000	100	100	53	2	45	0	0
14.000000	20.500000	100	100	82	5	13	0	0
17.000000	0.500000	100	100	0	0	100	0	0
17.000000	5.500000	100	100	0	0	100	0	0
17.000000	10.500000	100	100	13	1	86	0	0
17.000000	15.500000	100	100	69	0	31	0	0
17.000000	20.500000	100	100	94	1	5	0	0
20.000000	0.500000	100	100	0	0	100	0	0
20.000000	5.500000	100	100	0	0	100	0	0
20.000000	10.500000	100	100	46	0	54	0	0
20.000000	15.500000	100	100	89	1	10	0	0
20.000000	20.500000	100	100	96	1	3	0	0
23.000000	0.500000	100	100	0	0	100	0	0
23.000000	5.500000	100	100	14	0	86	0	0
23.000000	10.500000	100	100	79	0	21	0	0
23.000000	15.500000	100	100	99	0	1	0	0
23.000000	20.500000	100	100	100	0	0	0	0
26.000000	0.500000	100	100	0	0	100	0	0
26.000000	5.500000	100	100	89	0	11	0	0
26.000000	10.500000	100	100	99	0	1	0	0
26.000000	15.500000	100	100	100	0	0	0	0
26.000000	20.500000	100	100	100	0	0	0	0
29.000000	0.500000	100	100	99	0	1	0	0
29.000000	5.500000	100	100	100	0	0	0	0
29.000000	10.500000	100	100	100	0	0	0	0
29.000000	15.500000	100	100	100	0	0	0	0
29.000000	20.500000	100	100	100	0	0	0	0
32.000000	0.500000	100	100	100	0	0	0	0
32.000000	5.500000	100	100	100	0	0	0	0
32.000000	10.500000	100	100	100	0	0	0	0
32.000000	15.500000	100	100	100	0	0	0	0
32.000000	20.500000	100	100	100	0	0	0	0
35.000000	0.500000	100	100	100	0	0	0	0
35.000000	5.500000	100	100	100	0	0	0	0
35.000000	10.500000	100	100	100	0	0	0	0
35.000000	15.500000	100	100	100	0	0	0	0
35.000000	20.500000	100	100	100	0	0	0	0
38.000000	0.500000	100	100	100	0	0	0	0
38.000000	5.500000	100	100	100	0	0	0	0
38.000000	10.500000	100	100	100	0	0	0	0
38.000000	15.500000	100	100	100	0	0	0	0
38.000000	20.500000	100	100	100	0	0	0	0
