mean	shape	N	N	dom_1	dom_2	coexist	extinct	ff
2.000000	0.500000	100	100	0	100	0	0	0
2.000000	5.500000	100	100	0	100	0	0	0
2.000000	10.500000	100	100	5	71	24	0	0
2.000000	15.500000	100	100	50	36	14	0	0
2.000000	20.500000	100	100	86	13	1	0	0
5.000000	0.500000	100	100	0	96	4	0	0
5.000000	5.500000	100	100	0	12	88	0	0
5.000000	10.500000	100	100	8	15	77	0	0
5.000000	15.500000	100	100	68	9	23	0	0
5.000000	20.500000	100	100	94	5	1	0	0
8.000000	0.500000	100	100	0	0	100	0	0
8.000000	5.500000	100	100	0	0	100	0	0
8.000000	10.500000	100	100	12	0	88	0	0
8.000000	15.500000	100	100	83	2	15	0	0
8.000000	20.500000	100	100	98	1	1	0	0
11.000000	0.500000	100	100	0	0	100	0	0
11.000000	5.500000	100	100	0	0	100	0	0
11.000000	10.500000	100	100	22	0	78	0	0
11.000000	15.500000	100	100	86	0	14	0	0
11.000000	20.500000	100	100	100	0	0	0	0
14.000000	0.500000	100	100	0	0	100	0	0
14.000000	5.500000	100	100	0	0	100	0	0
14.000000	10.500000	100	100	40	0	60	0	0
14.000000	15.500000	100	100	94	0	6	0	0
14.000000	20.500000	100	100	98	1	1	0	0
17.000000	0.500000	100	100	0	0	100	0	0
17.000000	5.500000	100	100	0	0	100	0	0
17.000000	10.500000	100	100	63	0	37	0	0
17.000000	15.500000	100	100	100	0	0	0	0
17.000000	20.500000	100	100	100	0	0	0	0
20.000000	0.500000	100	100	0	0	100	0	0
20.000000	5.500000	100	100	19	0	81	0	0
20.000000	10.500000	100	100	96	0	4	0	0
20.000000	15.500000	100	100	100	0	0	0	0
20.000000	20.500000	100	100	100	0	0	0	0
23.000000	0.500000	100	100	0	0	100	0	0
23.000000	5.500000	100	100	73	0	27	0	0
23.000000	10.500000	100	100	100	0	0	0	0
23.000000	15.500000	100	100	100	0	0	0	0
23.000000	20.500000	100	100	100	0	0	0	0
26.000000	0.500000	100	100	3	0	97	0	0
26.000000	5.500000	100	100	100	0	0	0	0
26.000000	10.500000	100	100	100	0	0	0	0
26.000000	15.500000	100	100	100	0	0	0	0
26.000000	20.500000	100	100	100	0	0	0	0
29.000000	0.500000	100	100	100	0	0	0	0
29.000000	5.500000	100	100	100	0	0	0	0
29.000000	10.500000	100	100	100	0	0	0	0
29.000000	15.500000	100	100	100	0	0	0	0
29.000000	20.500000	100	100	100	0	0	0	0
32.000000	0.500000	100	100	100	0	0	0	0
32.000000	5.500000	100	100	100	0	0	0	0
32.000000	10.500000	100	100	100	0	0	0	0
32.000000	15.500000	100	100	100	0	0	0	0
32.000000	20.500000	100	100	100	0	0	0	0
35.000000	0.500000	100	100	100	0	0	0	0
35.000000	5.500000	100	100	100	0	0	0	0
35.000000	10.500000	100	100	100	0	0	0	0
35.000000	15.500000	100	100	100	0	0	0	0
35.000000	20.500000	100	100	100	0	0	0	0
38.000000	0.500000	100	100	100	0	0	0	0
38.000000	5.500000	100	100	100	0	0	0	0
38.000000	10.500000	100	100	100	0	0	0	0
38.000000	15.500000	100	100	100	0	0	0	0
38.000000	20.500000	100	100	100	0	0	0	0
