mean	shape	N	N	dom_1	dom_2	coexist	extinct	ff
2.000000	0.500000	100	100	100	0	0	0	0
2.000000	5.500000	100	100	47	53	0	0	0
2.000000	10.500000	100	100	11	88	1	0	0
2.000000	15.500000	100	100	11	12	77	0	0
2.000000	20.500000	100	100	9	3	88	0	0
5.000000	0.500000	100	100	100	0	0	0	0
5.000000	5.500000	100	100	13	87	0	0	0
5.000000	10.500000	100	100	23	29	48	0	0
5.000000	15.500000	100	100	11	2	87	0	0
5.000000	20.500000	100	100	7	0	93	0	0
8.000000	0.500000	100	100	100	0	0	0	0
8.000000	5.500000	100	100	2	98	0	0	0
8.000000	10.500000	100	100	39	2	59	0	0
8.000000	15.500000	100	100	22	0	78	0	0
8.000000	20.500000	100	100	10	0	90	0	0
11.000000	0.500000	100	100	100	0	0	0	0
11.000000	5.500000	100	100	28	10	62	0	0
11.000000	10.500000	100	100	57	0	43	0	0
11.000000	15.500000	100	100	26	0	74	0	0
11.000000	20.500000	100	100	20	0	80	0	0
14.000000	0.500000	100	100	0	0	100	0	0
14.000000	5.500000	100	100	72	0	28	0	0
14.000000	10.500000	100	100	75	0	25	0	0
14.000000	15.500000	100	100	42	0	58	0	0
14.000000	20.500000	100	100	25	0	75	0	0
17.000000	0.500000	100	100	0	100	0	0	0
17.000000	5.500000	100	100	98	0	2	0	0
17.000000	10.500000	100	100	98	0	2	0	0
17.000000	15.500000	100	100	66	0	34	0	0
17.000000	20.500000	100	100	32	0	68	0	0
20.000000	0.500000	100	100	0	100	0	0	0
20.000000	5.500000	100	100	100	0	0	0	0
20.000000	10.500000	100	100	100	0	0	0	0
20.000000	15.500000	100	100	83	0	17	0	0
20.000000	20.500000	100	100	51	0	49	0	0
23.000000	0.500000	100	100	0	0	100	0	0
23.000000	5.500000	100	100	100	0	0	0	0
23.000000	10.500000	100	100	100	0	0	0	0
23.000000	15.500000	100	100	99	0	1	0	0
23.000000	20.500000	100	100	69	0	31	0	0
26.000000	0.500000	100	100	100	0	0	0	0
26.000000	5.500000	100	100	100	0	0	0	0
26.000000	10.500000	100	100	100	0	0	0	0
26.000000	15.500000	100	100	99	0	1	0	0
26.000000	20.500000	100	100	77	0	23	0	0
29.000000	0.500000	100	100	100	0	0	0	0
29.000000	5.500000	100	100	100	0	0	0	0
29.000000	10.500000	100	100	100	0	0	0	0
29.000000	15.500000	100	100	100	0	0	0	0
29.000000	20.500000	100	100	92	0	8	0	0
32.000000	0.500000	100	100	100	0	0	0	0
32.000000	5.500000	100	100	100	0	0	0	0
32.000000	10.500000	100	100	100	0	0	0	0
32.000000	15.500000	100	100	100	0	0	0	0
32.000000	20.500000	100	100	98	0	2	0	0
35.000000	0.500000	100	100	100	0	0	0	0
35.000000	5.500000	100	100	100	0	0	0	0
35.000000	10.500000	100	100	100	0	0	0	0
35.000000	15.500000	100	100	100	0	0	0	0
35.000000	20.500000	100	100	99	0	1	0	0
38.000000	0.500000	100	100	0	0	0	100	0
38.000000	5.500000	100	100	100	0	0	0	0
38.000000	10.500000	100	100	100	0	0	0	0
38.000000	15.500000	100	100	100	0	0	0	0
38.000000	20.500000	100	100	100	0	0	0	0
