mean	shape	N	N	dom_1	dom_2	coexist	extinct	ff
2.000000	0.500000	100	100	100	0	0	0	0
2.000000	5.500000	100	100	0	100	0	0	0
2.000000	10.500000	100	100	2	98	0	0	0
2.000000	15.500000	100	100	4	83	13	0	0
2.000000	20.500000	100	100	6	19	75	0	0
5.000000	0.500000	100	100	100	0	0	0	0
5.000000	5.500000	100	100	0	100	0	0	0
5.000000	10.500000	100	100	0	100	0	0	0
5.000000	15.500000	100	100	6	58	36	0	0
5.000000	20.500000	100	100	5	3	92	0	0
8.000000	0.500000	100	100	100	0	0	0	0
8.000000	5.500000	100	100	0	100	0	0	0
8.000000	10.500000	100	100	4	96	0	0	0
8.000000	15.500000	100	100	5	22	73	0	0
8.000000	20.500000	100	100	8	2	90	0	0
11.000000	0.500000	100	100	0	100	0	0	0
11.000000	5.500000	100	100	1	99	0	0	0
11.000000	10.500000	100	100	8	92	0	0	0
11.000000	15.500000	100	100	21	3	76	0	0
11.000000	20.500000	100	100	7	1	92	0	0
14.000000	0.500000	100	100	0	100	0	0	0
14.000000	5.500000	100	100	2	98	0	0	0
14.000000	10.500000	100	100	40	55	5	0	0
14.000000	15.500000	100	100	26	1	73	0	0
14.000000	20.500000	100	100	10	0	90	0	0
17.000000	0.500000	100	100	0	100	0	0	0
17.000000	5.500000	100	100	3	97	0	0	0
17.000000	10.500000	100	100	74	19	7	0	0
17.000000	15.500000	100	100	41	1	58	0	0
17.000000	20.500000	100	100	12	0	88	0	0
20.000000	0.500000	100	100	0	100	0	0	0
20.000000	5.500000	100	100	40	60	0	0	0
20.000000	10.500000	100	100	96	4	0	0	0
20.000000	15.500000	100	100	58	0	42	0	0
20.000000	20.500000	100	100	22	0	78	0	0
23.000000	0.500000	100	100	0	0	100	0	0
23.000000	5.500000	100	100	81	19	0	0	0
23.000000	10.500000	100	100	99	1	0	0	0
23.000000	15.500000	100	100	73	0	27	0	0
23.000000	20.500000	100	100	30	0	70	0	0
26.000000	0.500000	100	100	100	0	0	0	0
26.000000	5.500000	100	100	99	1	0	0	0
26.000000	10.500000	100	100	100	0	0	0	0
26.000000	15.500000	100	100	96	0	4	0	0
26.000000	20.500000	100	100	53	0	47	0	0
29.000000	0.500000	100	100	100	0	0	0	0
29.000000	5.500000	100	100	100	0	0	0	0
29.000000	10.500000	100	100	100	0	0	0	0
29.000000	15.500000	100	100	99	0	1	0	0
29.000000	20.500000	100	100	71	0	29	0	0
32.000000	0.500000	100	100	100	0	0	0	0
32.000000	5.500000	100	100	100	0	0	0	0
32.000000	10.500000	100	100	100	0	0	0	0
32.000000	15.500000	100	100	100	0	0	0	0
32.000000	20.500000	100	100	85	0	15	0	0
35.000000	0.500000	100	100	100	0	0	0	0
35.000000	5.500000	100	100	100	0	0	0	0
35.000000	10.500000	100	100	100	0	0	0	0
35.000000	15.500000	100	100	100	0	0	0	0
35.000000	20.500000	100	100	96	0	4	0	0
38.000000	0.500000	100	100	1	0	0	99	0
38.000000	5.500000	100	100	100	0	0	0	0
38.000000	10.500000	100	100	100	0	0	0	0
38.000000	15.500000	100	100	100	0	0	0	0
38.000000	20.500000	100	100	100	0	0	0	0
