N1	N2	time	env
250.000000	250.000000	0.000000	17.000000
339.545150	243.174407	1.000000	23.521885
435.582349	263.058688	2.000000	22.323872
559.314550	277.037342	3.000000	22.479281
721.730025	278.182375	4.000000	22.758314
920.247772	281.305810	5.000000	22.692035
1169.027226	275.458397	6.000000	22.861741
1446.419577	281.732058	7.000000	22.560095
1777.015807	277.954644	8.000000	22.746614
2158.903942	265.801379	9.000000	22.895034
2613.106720	247.829412	10.000000	23.281425
3014.853028	241.992816	11.000000	22.672237
3385.909273	241.072032	12.000000	22.497765
3751.972395	234.185347	13.000000	22.611990
4206.079670	211.838143	14.000000	23.340469
4548.014172	191.562638	15.000000	22.961098
4974.071262	170.943521	16.000000	23.655007
5290.881495	151.566949	17.000000	23.432956
5525.119729	133.774490	18.000000	23.316873
5560.238989	125.547685	19.000000	22.614818
5561.004047	120.175429	20.000000	22.489322
5793.092469	105.655163	21.000000	23.556807
5733.251947	101.135005	22.000000	22.469637
5755.219188	92.310985	23.000000	22.772554
5602.086513	95.189496	24.000000	21.981942
5730.983692	83.806912	25.000000	23.115656
5787.572472	74.692416	26.000000	22.919868
5825.657770	66.812894	27.000000	22.894961
5958.342240	58.636959	28.000000	23.356678
5921.221158	53.657183	29.000000	22.745599
5763.690638	53.918230	30.000000	22.153131
5768.078282	49.837150	31.000000	22.706321
5898.367944	43.824814	32.000000	23.277729
5819.251144	41.933385	33.000000	22.479410
5963.136038	36.845280	34.000000	23.389067
5856.052365	35.513989	35.000000	22.427750
5870.938035	32.025841	36.000000	22.850612
5868.692107	29.175749	37.000000	22.789128
6100.705573	25.602140	38.000000	23.824782
6274.518839	22.379489	39.000000	23.809663
6286.537947	19.530601	40.000000	23.307438
6430.572106	17.018970	41.000000	23.878696
6205.096679	16.157817	42.000000	22.479616
6297.791365	14.112682	43.000000	23.570461
6051.981047	13.981195	44.000000	22.218541
5973.736923	12.994067	45.000000	22.653715
6022.040523	11.409001	46.000000	23.121429
5965.430212	10.507950	47.000000	22.713004
5951.749168	9.490364	48.000000	22.837148
5846.407244	9.187427	49.000000	22.409453
5825.070686	8.555543	50.000000	22.664808
5986.840342	7.526926	51.000000	23.460293
5886.863544	7.208139	52.000000	22.475439
5851.257770	6.728330	53.000000	22.646481
6017.735273	5.916512	54.000000	23.507690
5929.800554	5.582517	55.000000	22.566013
6067.553933	4.902969	56.000000	23.463306
6126.432244	4.297969	57.000000	23.268426
6172.894501	3.763785	58.000000	23.280023
6236.419355	3.292424	59.000000	23.404908
6247.916895	2.878073	60.000000	23.253671
6236.701290	2.515939	61.000000	23.169668
6034.539482	2.455434	62.000000	22.327751
6188.288051	2.151981	63.000000	23.642895
6210.972494	1.882845	64.000000	23.246410
6326.949778	1.645032	65.000000	23.669966
6359.319506	1.435199	66.000000	23.444237
6197.473609	1.326980	67.000000	22.656969
6218.786920	1.160871	68.000000	23.250580
6164.264053	1.024704	69.000000	22.949256
6081.125374	0.934582	70.000000	22.760522
4668.003390	0.859283	71.000000	10.336318
3810.807660	0.848543	72.000000	11.577167
3197.786667	0.799025	73.000000	9.752905
2750.684531	0.755427	74.000000	9.312618
2424.977153	0.742838	75.000000	10.748874
2206.452246	0.866868	76.000000	13.234021
1996.680900	0.873733	77.000000	11.134473
1823.443134	0.881298	78.000000	11.062341
1682.932682	0.912303	79.000000	11.540155
1558.391303	0.921670	80.000000	10.959537
1453.101723	0.942101	81.000000	11.183640
1364.937371	0.985724	82.000000	11.609793
1283.331486	1.005211	83.000000	11.044990
1208.887996	1.011597	84.000000	10.642665
1144.220039	1.029158	85.000000	10.911619
1086.532765	1.049829	86.000000	10.949184
1033.931991	1.066950	87.000000	10.821514
984.819263	1.073509	88.000000	10.482635
948.071682	1.158789	89.000000	11.976239
916.939622	1.287081	90.000000	12.365353
882.641584	1.349307	91.000000	11.457476
848.273715	1.378513	92.000000	10.858669
822.097862	1.493746	93.000000	11.994784
792.063246	1.523201	94.000000	10.774350
765.618497	1.576141	95.000000	11.132761
745.916214	1.731728	96.000000	12.172305
719.420520	1.737585	97.000000	10.169365
696.844354	1.780475	98.000000	10.854483
679.092486	1.903250	99.000000	11.732377
662.406014	2.036421	100.000000	11.742643
644.702981	2.122965	101.000000	11.243669
628.144340	2.217834	102.000000	11.281318
610.352422	2.255860	103.000000	10.586299
595.033426	2.337792	104.000000	11.086813
579.315251	2.385360	105.000000	10.664525
565.007253	2.452512	106.000000	10.873137
552.188591	2.549242	107.000000	11.136504
538.945223	2.611019	108.000000	10.752719
528.270805	2.753554	109.000000	11.431935
517.029227	2.856236	110.000000	11.071691
507.302392	3.012030	111.000000	11.422953
498.359533	3.197197	112.000000	11.544326
489.575014	3.381538	113.000000	11.473388
482.784466	3.688623	114.000000	11.991311
474.206934	3.872728	115.000000	11.321370
467.174424	4.159082	116.000000	11.739397
458.638412	4.322802	117.000000	11.092372
449.600156	4.430095	118.000000	10.718792
441.442681	4.579953	119.000000	10.953465
433.615869	4.736496	120.000000	10.958277
425.241278	4.828648	121.000000	10.540882
418.644841	5.053832	122.000000	11.232232
413.775900	5.459813	123.000000	11.820335
407.291490	5.682704	124.000000	11.102280
403.567477	6.254226	125.000000	12.100166
398.966919	6.728473	126.000000	11.747636
391.747797	6.844190	127.000000	10.445792
385.537103	7.058220	128.000000	10.862059
380.019533	7.351335	129.000000	11.107023
376.389601	7.964945	130.000000	11.856642
371.499042	8.358064	131.000000	11.270927
367.879215	9.007754	132.000000	11.768408
363.646933	9.542461	133.000000	11.460810
358.914271	9.964782	134.000000	11.160192
354.050749	10.343338	135.000000	11.016515
348.953193	10.648726	136.000000	10.800043
344.819908	11.166493	137.000000	11.247277
