N1	N2	time	env
250.000000	250.000000	0.000000	11.000000
243.397116	243.396967	1.000000	-6.915749
238.519656	239.225454	2.000000	8.973527
264.268262	377.162755	3.000000	18.329649
256.698966	364.842419	4.000000	4.778335
251.800883	363.474593	5.000000	10.228453
245.792255	353.801242	6.000000	8.474992
239.069916	342.755286	7.000000	4.717484
240.274666	422.717049	8.000000	13.556448
233.671792	408.320571	9.000000	6.226900
233.605525	481.666475	10.000000	13.146210
258.555939	743.596759	11.000000	18.482598
249.892665	707.475203	12.000000	7.052028
249.413186	867.886670	13.000000	13.699188
240.041150	820.151205	14.000000	2.757718
231.769569	777.425008	15.000000	6.658537
250.668495	1199.971384	16.000000	17.952333
252.143722	1664.381537	17.000000	15.160688
239.965711	1520.268421	18.000000	8.036847
228.261041	1393.676669	19.000000	2.721919
217.696301	1285.410660	20.000000	-1.919477
213.251605	1405.109829	21.000000	12.808523
246.490893	1828.727552	22.000000	20.274220
233.024148	1652.734944	23.000000	-0.186067
221.269865	1506.128545	24.000000	4.148490
221.285432	2049.913111	25.000000	15.137443
215.593735	2407.870919	26.000000	13.959558
211.736950	3144.211734	27.000000	15.226757
258.125919	2988.378779	28.000000	22.270037
239.223955	2565.244205	29.000000	5.399152
223.736981	2244.723843	30.000000	6.560884
211.362157	2007.660202	31.000000	8.886000
308.598193	1799.165549	32.000000	26.122785
291.049801	1626.336101	33.000000	1.314562
275.574391	1482.242868	34.000000	0.055671
273.682980	1953.542118	35.000000	14.797408
257.801166	1754.695120	36.000000	-2.747053
244.138003	1590.944376	37.000000	5.015928
231.968025	1453.639755	38.000000	4.241146
221.071365	1336.917586	39.000000	3.970988
211.130302	1236.484033	40.000000	-7.038587
202.695272	1150.727341	41.000000	7.280851
194.494402	1073.956713	42.000000	3.047231
188.361072	1022.701249	43.000000	9.611518
239.460502	1073.498269	44.000000	22.282749
238.304370	1347.355600	45.000000	14.102993
328.903804	1243.946719	46.000000	24.375023
327.530595	1660.391349	47.000000	14.801855
313.724307	1605.905863	48.000000	11.241109
324.986402	2382.562214	49.000000	17.246004
304.808179	2114.561414	50.000000	8.921146
288.118504	1917.311228	51.000000	9.693347
272.177342	1726.877160	52.000000	7.307432
260.379624	1629.857265	53.000000	10.644858
254.525030	1886.932432	54.000000	13.612753
240.266188	1700.584731	55.000000	-1.548504
228.189418	1546.901605	56.000000	6.526127
230.410531	2215.070825	57.000000	15.804702
341.944891	1965.660935	58.000000	26.792362
355.703713	2834.855899	59.000000	17.762111
329.629059	2449.011697	60.000000	7.438418
307.281059	2149.526334	61.000000	5.153989
294.699500	2252.250700	62.000000	12.832815
275.845778	1995.286153	63.000000	-2.432055
283.324149	2897.385366	64.000000	17.188608
270.314066	3221.648641	65.000000	13.848608
250.190136	2748.428975	66.000000	8.295203
232.645748	2384.066630	67.000000	-2.565276
275.423839	2640.157835	68.000000	21.347474
257.104176	2304.000547	69.000000	7.524903
252.078305	2987.529328	70.000000	15.093093
257.585767	4077.289001	71.000000	17.769940
238.268183	3751.913727	72.000000	12.278786
218.748186	3126.835835	73.000000	7.893559
202.406012	2669.738937	74.000000	0.836804
188.901413	2325.795075	75.000000	-1.430420
178.544192	2076.070537	76.000000	9.006215
168.579047	1857.729452	77.000000	-5.266373
183.842185	2595.397677	78.000000	18.914846
172.134472	2269.366065	79.000000	5.217580
162.043234	2013.420669	80.000000	1.659871
153.537170	1807.765125	81.000000	5.998428
145.983158	1638.257712	82.000000	4.908314
141.955875	1688.884248	83.000000	12.270345
142.956153	2366.493012	84.000000	15.590037
165.441214	2814.156267	85.000000	20.707475
154.478013	2438.120102	86.000000	5.523060
149.795301	2808.293468	87.000000	13.948995
196.251947	2432.770850	88.000000	23.643197
185.837667	2209.695320	89.000000	10.381530
197.907204	3088.024370	90.000000	18.461909
255.798460	2640.213710	91.000000	23.504010
246.324944	3067.814070	92.000000	14.153139
232.539848	3026.764309	93.000000	12.612738
215.551048	2594.897945	94.000000	4.655687
243.239024	3160.527810	95.000000	20.307259
227.259028	2813.589226	96.000000	10.820482
211.603880	2435.068316	97.000000	5.709236
305.089944	2140.939603	98.000000	25.977588
295.616959	2510.531883	99.000000	14.003573
286.927138	3129.748837	100.000000	14.797248
265.533435	2674.717469	101.000000	7.755674
264.518780	3714.681938	102.000000	16.505379
276.104931	4685.557857	103.000000	18.933730
248.288271	3745.928322	104.000000	-1.918373
227.306003	3114.287574	105.000000	5.564632
210.956583	2665.055271	106.000000	7.592716
203.031435	3023.833010	107.000000	13.922746
188.457817	2594.060012	108.000000	4.477720
176.283244	2267.960444	109.000000	2.774792
199.112073	2859.178524	110.000000	20.111630
186.669277	2511.709700	111.000000	9.665203
174.940213	2204.049764	112.000000	4.233739
225.912883	1959.964137	113.000000	33.078037
213.676092	1762.268872	114.000000	6.406930
216.961756	2562.328108	115.000000	16.317197
202.820009	2242.199094	116.000000	3.646451
190.720411	1990.611758	117.000000	-0.268892
180.415542	1787.824095	118.000000	4.912374
171.219888	1620.766002	119.000000	-3.603848
163.063499	1480.849661	120.000000	-1.785207
229.120410	1361.046095	121.000000	24.764061
219.333677	1259.405740	122.000000	7.503755
217.004910	1523.747228	123.000000	13.845688
207.719016	1407.389807	124.000000	8.785121
198.253181	1297.733905	125.000000	-1.350850
191.473697	1233.862339	126.000000	10.107428
280.844730	1146.275870	127.000000	25.813413
273.293529	1178.779612	128.000000	11.912004
266.746303	1252.358501	129.000000	12.404202
368.513171	1160.611088	130.000000	24.395845
350.985291	1079.388472	131.000000	5.277093
344.132071	1231.641701	132.000000	13.192881
327.414922	1142.072811	133.000000	1.998747
313.147974	1065.353127	134.000000	7.347842
300.096654	997.466682	135.000000	7.239762
374.483124	1089.703666	136.000000	21.992920
356.739731	1016.614915	137.000000	2.605846
344.667828	995.413841	138.000000	10.788227
334.495092	1005.099156	139.000000	11.480808
319.833293	942.143460	140.000000	3.643373
310.803228	946.319686	141.000000	11.310474
298.414623	890.618728	142.000000	6.858811
286.642052	840.022763	143.000000	5.348212
305.176037	1301.176957	144.000000	17.543754
295.478405	1316.255939	145.000000	11.773042
281.745494	1217.169575	146.000000	6.046596
268.885135	1130.743072	147.000000	-8.221587
272.363472	1627.322421	148.000000	15.551483
258.118418	1483.590194	149.000000	0.841363
249.232658	1467.019371	150.000000	11.501892
242.135698	1535.099364	151.000000	12.386374
282.312335	1924.027450	152.000000	20.595861
266.418699	1730.767221	153.000000	6.175462
252.093983	1570.619132	154.000000	1.522409
239.391977	1436.172388	155.000000	0.972410
338.138246	1320.368195	156.000000	24.987523
324.363783	1253.963329	157.000000	10.220702
330.953992	1868.611694	158.000000	16.245858
315.314463	1769.258542	159.000000	10.961248
384.281781	1900.953573	160.000000	21.826042
360.489201	1708.047645	161.000000	2.133160
354.947794	2227.781756	162.000000	14.833623
331.884715	1973.916496	163.000000	5.702949
315.739693	1868.265310	164.000000	11.077507
297.295800	1683.284331	165.000000	0.398328
290.110659	1966.230013	166.000000	13.734630
297.564127	2859.840360	167.000000	17.135575
310.301491	3854.009383	168.000000	18.424713
350.885837	4105.807409	169.000000	21.042010
325.013635	4108.421796	170.000000	13.354400
345.295559	4852.251229	171.000000	19.698797
343.134933	5933.912344	172.000000	18.257452
301.764830	4512.138104	173.000000	2.600124
271.790631	3631.034816	174.000000	-12.692789
370.023152	3028.335956	175.000000	25.076106
340.543030	2589.635109	176.000000	1.757304
327.969301	3106.053660	177.000000	14.456003
304.042166	2682.187247	178.000000	9.359826
287.629029	2618.667496	179.000000	12.242276
267.623915	2282.900395	180.000000	1.443066
250.687020	2020.676168	181.000000	-4.484693
243.712389	2343.286580	182.000000	13.825024
229.210860	2075.876467	183.000000	8.012290
273.798399	2318.199745	184.000000	21.407586
423.188078	2045.367976	185.000000	29.071499
501.247803	1822.733084	186.000000	33.635027
468.530162	1640.104088	187.000000	4.569823
441.178010	1491.792803	188.000000	7.582756
645.603079	1361.339750	189.000000	26.326070
605.935189	1250.306323	190.000000	7.643057
598.582248	1722.876444	191.000000	15.194609
564.355580	1629.346689	192.000000	10.879200
527.662291	1477.318475	193.000000	3.934399
508.491784	1634.849714	194.000000	13.119273
477.415067	1484.362280	195.000000	6.677153
503.028028	2179.271992	196.000000	18.060476
467.280058	1929.729138	197.000000	5.051797
436.587258	1729.046690	198.000000	4.199874
409.768418	1564.254222	199.000000	1.221129
386.205342	1426.582937	200.000000	-1.058012
390.037324	2085.719559	201.000000	16.086974
368.546372	1930.084411	202.000000	10.612058
345.732528	1732.440212	203.000000	-7.478689
331.650028	1731.597876	204.000000	11.931394
318.944153	1765.623769	205.000000	12.228390
327.035104	2597.171680	206.000000	16.994384
331.802731	3638.736081	207.000000	17.333576
478.046083	3029.140053	208.000000	31.549460
