N1	N2	time	env
250.000000	250.000000	0.000000	23.000000
248.520435	273.935995	1.000000	12.174721
290.749057	390.199859	2.000000	19.969377
388.792166	376.620452	3.000000	23.278933
378.623877	372.815771	4.000000	10.088231
542.547002	359.300807	5.000000	32.328927
538.071613	345.926664	6.000000	34.823949
775.484654	332.539214	7.000000	32.166001
813.292713	527.153791	8.000000	17.439352
770.262463	503.703903	9.000000	8.501576
1165.890170	477.626024	10.000000	27.607375
1766.778795	449.063865	11.000000	30.389711
2566.491200	416.972932	12.000000	30.734628
3097.052909	382.580393	13.000000	32.827684
2639.999419	351.418871	14.000000	41.618725
2451.799200	521.991545	15.000000	15.975295
2390.377143	785.131786	16.000000	17.905203
2943.425821	710.317030	17.000000	24.233587
4017.037632	634.743152	18.000000	30.363637
5108.218820	557.077301	19.000000	30.995787
6188.884357	480.180341	20.000000	28.247398
6461.183181	409.871402	21.000000	32.544068
5819.057885	352.479836	22.000000	33.781369
5290.444523	437.321664	23.000000	20.301151
6420.076145	377.481466	24.000000	28.947012
5383.023389	524.930754	25.000000	18.483352
5138.016912	587.676185	26.000000	21.240256
4041.577805	525.536511	27.000000	9.585605
5103.340998	463.477531	28.000000	27.590371
5147.202700	405.473873	29.000000	33.335657
4280.935351	571.451413	30.000000	15.864220
5416.656131	500.150119	31.000000	28.454929
5576.664873	433.598025	32.000000	23.239321
5829.608782	375.503711	33.000000	23.801913
4617.668244	454.233268	34.000000	14.305659
5455.473596	398.204149	35.000000	26.065394
4792.938506	553.991388	36.000000	18.775299
4655.648844	640.545103	37.000000	21.038716
3715.535787	567.930523	38.000000	7.712177
4695.788683	503.529914	39.000000	26.943842
5439.271119	440.139610	40.000000	32.105193
4209.047536	388.190239	41.000000	38.045650
3772.346654	574.884751	42.000000	17.559719
4342.262310	510.984416	43.000000	32.674835
5409.081052	448.231729	44.000000	27.651913
4802.505279	392.726459	45.000000	34.181721
3885.695680	393.516101	46.000000	12.151705
3581.165129	578.127928	47.000000	18.104078
4567.638072	513.669654	48.000000	27.041663
3679.308475	464.433861	49.000000	9.486446
3055.516432	420.841195	50.000000	35.396855
2740.015990	575.288295	51.000000	15.075969
2595.735008	866.700198	52.000000	17.351647
2614.437540	1184.914957	53.000000	19.444993
2290.250164	1209.429427	54.000000	12.435866
2750.533763	1075.960888	55.000000	32.875278
2689.586959	1498.333644	56.000000	18.898402
2778.617980	1789.650261	57.000000	20.623584
2436.349576	2177.572903	58.000000	14.608222
2924.967720	1849.241072	59.000000	24.247095
3073.326258	1962.918015	60.000000	21.489042
2566.644635	1692.972990	61.000000	8.930371
2188.236938	1477.868274	62.000000	39.197279
2327.357932	1762.162071	63.000000	20.742880
2431.574051	2094.193445	64.000000	20.603177
2135.427189	2340.329390	65.000000	13.874892
2789.014383	1981.736947	66.000000	31.822101
2920.800749	2140.147769	67.000000	21.311768
3383.194591	1804.090876	68.000000	23.941575
2785.276009	1546.684130	69.000000	6.092680
2364.914959	1355.977457	70.000000	7.366958
2764.077890	1197.236947	71.000000	23.152536
3266.408859	1055.465909	72.000000	23.856762
2732.204191	937.171259	73.000000	41.734562
2512.318979	1368.077053	74.000000	16.363145
3298.417652	1199.431148	75.000000	26.531818
4099.282991	1043.328694	76.000000	25.984735
3538.491156	1474.260412	77.000000	16.279791
2905.644673	1278.932747	78.000000	39.500246
3440.366265	1119.851956	79.000000	24.120998
2853.587203	988.608242	80.000000	39.881215
3792.560295	874.767019	81.000000	31.247473
3957.586580	911.131389	82.000000	21.881387
4551.337649	794.292611	83.000000	24.555867
5063.390795	688.614885	84.000000	24.371831
5096.087034	662.759997	85.000000	22.336138
4991.451199	702.064995	86.000000	21.662302
6119.368817	602.269095	87.000000	28.943805
7151.560586	508.002275	88.000000	29.544169
