N1	N2	time	env
250.000000	250.000000	0.000000	23.000000
243.396967	243.396967	1.000000	53.935285
237.075528	237.075528	2.000000	37.026203
383.040919	230.694472	3.000000	30.202585
612.027758	223.731968	4.000000	29.249501
585.776623	216.581740	5.000000	53.127112
561.438436	209.838879	6.000000	41.785034
542.155888	205.426699	7.000000	9.034055
520.837533	199.306705	8.000000	40.206511
500.932758	193.506356	9.000000	38.063004
482.307247	188.000289	10.000000	54.269522
464.843124	182.765841	11.000000	35.766504
448.436511	177.782689	12.000000	45.934662
652.351164	172.674519	13.000000	32.157452
623.774299	167.444045	14.000000	58.549595
597.330383	162.502604	15.000000	43.063328
572.791608	157.825290	16.000000	49.263563
549.961413	153.390110	17.000000	41.326395
528.669310	149.177555	18.000000	39.703898
508.766704	145.170252	19.000000	42.799704
490.123494	141.352672	20.000000	45.654124
472.625285	137.710883	21.000000	46.798595
456.171092	134.232345	22.000000	44.216437
440.671432	130.905733	23.000000	61.673022
426.046735	127.720795	24.000000	62.357918
635.502996	124.406734	25.000000	26.101841
920.298265	120.605861	26.000000	25.613546
1378.642437	116.091900	27.000000	31.349714
1958.251973	110.619894	28.000000	26.322773
1763.860855	105.009986	29.000000	47.945518
1603.043107	100.064047	30.000000	55.844545
1467.807127	95.655037	31.000000	70.170569
1352.510407	91.688110	32.000000	35.570932
1265.477599	90.658989	33.000000	10.224165
1507.754263	86.962247	34.000000	33.530873
1386.981000	83.329492	35.000000	56.975318
1283.134927	80.041365	36.000000	49.516682
1192.898401	77.044070	37.000000	46.943682
1113.767281	74.295113	38.000000	56.521356
1043.816023	71.760395	39.000000	62.262450
981.539727	69.412176	40.000000	44.623933
925.745241	67.227610	41.000000	36.111176
875.474421	65.187682	42.000000	67.898632
829.949005	63.276407	43.000000	44.191829
788.530295	61.480230	44.000000	40.661677
750.689225	59.787568	45.000000	41.383577
715.983811	58.188450	46.000000	52.211803
684.041945	56.674237	47.000000	36.035286
659.170066	55.962672	48.000000	9.346476
631.512668	54.571867	49.000000	58.630663
605.838799	53.247608	50.000000	45.610478
581.943971	51.984589	51.000000	43.321864
559.650847	50.778094	52.000000	43.087422
730.458318	50.202037	53.000000	22.920352
697.493901	48.901268	54.000000	51.944459
667.089120	47.667392	55.000000	61.869272
638.958732	46.494631	56.000000	47.984478
612.858332	45.377904	57.000000	42.080138
588.577301	44.312719	58.000000	47.813000
565.933160	43.295089	59.000000	45.074400
894.233643	42.183512	60.000000	30.552367
847.351062	40.978294	61.000000	40.009518
804.741585	39.845437	62.000000	55.615372
765.848816	38.777588	63.000000	60.331422
730.208904	37.768429	64.000000	46.412532
697.432068	36.812494	65.000000	53.923574
667.188385	35.905027	66.000000	51.066067
639.196724	35.041866	67.000000	64.632154
613.216053	34.219347	68.000000	44.791651
589.038534	33.434233	69.000000	35.665160
786.603757	32.614471	70.000000	23.484305
749.469554	31.762672	71.000000	1.736503
716.330691	30.963327	72.000000	5.907401
1109.871432	30.077321	73.000000	28.157727
1047.955937	29.432146	74.000000	9.153091
986.042287	28.525841	75.000000	-4.726256
974.086675	39.301519	76.000000	14.557194
919.588572	38.126158	77.000000	-2.001819
1399.554901	36.841430	78.000000	27.875292
1326.344939	41.250081	79.000000	12.595738
1236.073138	39.859313	80.000000	7.885018
1152.560255	38.475818	81.000000	-15.611836
1078.940791	37.201103	82.000000	-6.742193
1017.700353	36.147294	83.000000	8.085415
1069.077685	57.877689	84.000000	17.682182
1014.941743	57.829492	85.000000	10.358848
955.973209	56.005796	86.000000	-1.352498
911.761363	55.801692	87.000000	10.156613
863.032054	54.153140	88.000000	-1.670311
818.820696	52.606298	89.000000	-2.999265
1256.061667	50.920772	90.000000	31.000122
1169.856118	49.108428	91.000000	-9.370757
1101.293484	47.995575	92.000000	9.228740
1033.799097	46.428852	93.000000	3.838746
973.921692	44.975622	94.000000	4.852928
919.325698	43.618582	95.000000	-4.940332
876.939757	43.078225	96.000000	9.633090
831.634345	41.859386	97.000000	-14.876868
802.164133	43.401822	98.000000	11.240592
763.438985	42.233365	99.000000	-5.348359
728.209815	41.129194	100.000000	3.105149
695.544464	40.083109	101.000000	-7.301640
850.347810	48.429163	102.000000	21.553437
818.048525	49.532201	103.000000	10.934145
777.872710	48.169577	104.000000	-6.307751
841.396821	76.103348	105.000000	18.298638
798.772538	73.880447	106.000000	-12.426361
759.886385	71.788638	107.000000	-6.082701
734.663314	74.095625	108.000000	11.142011
714.148493	79.425034	109.000000	11.851297
682.068146	77.280269	110.000000	-16.511086
652.460729	75.247638	111.000000	-17.960409
632.210395	76.132523	112.000000	10.548242
625.093067	92.045236	113.000000	13.293119
600.712368	89.711611	114.000000	6.634947
581.104677	88.768713	115.000000	9.503516
594.709362	135.774303	116.000000	15.606988
573.372731	132.718263	117.000000	8.420642
551.365320	129.156312	118.000000	5.208385
530.681898	125.759931	119.000000	4.729752
588.859198	194.645225	120.000000	18.774700
593.766901	277.146109	121.000000	14.892452
568.221553	267.684744	122.000000	-2.478656
544.537024	258.792259	123.000000	-12.326412
523.051345	250.433491	124.000000	5.067901
502.888501	242.534202	125.000000	4.488777
483.751179	235.059924	126.000000	1.339315
476.274561	260.545133	127.000000	12.380961
490.640128	403.589185	128.000000	15.904508
471.897457	388.547572	129.000000	6.963435
489.833946	612.856896	130.000000	16.422255
