mean	sd_long	sd_short	N_sim	N_count	dom_1	dom_2	coexist	extinct	ff
2.000000	0.500000	20.500000	100	100	0	0	100	0	0
2.000000	10.500000	17.820508	100	100	0	0	100	0	0
2.000000	14.642136	14.642136	100	100	1	0	99	0	0
2.000000	17.820508	10.500000	100	100	41	17	42	0	0
2.000000	20.500000	0.500000	100	100	59	41	0	0	0
5.000000	0.500000	20.500000	100	100	0	0	100	0	0
5.000000	10.500000	17.820508	100	100	0	0	100	0	0
5.000000	14.642136	14.642136	100	100	1	0	99	0	0
5.000000	17.820508	10.500000	100	100	53	8	39	0	0
5.000000	20.500000	0.500000	100	100	55	45	0	0	0
8.000000	0.500000	20.500000	100	100	0	0	100	0	0
8.000000	10.500000	17.820508	100	100	0	0	100	0	0
8.000000	14.642136	14.642136	100	100	2	0	98	0	0
8.000000	17.820508	10.500000	100	100	73	1	26	0	0
8.000000	20.500000	0.500000	100	100	57	43	0	0	0
11.000000	0.500000	20.500000	100	100	0	0	100	0	0
11.000000	10.500000	17.820508	100	100	0	0	100	0	0
11.000000	14.642136	14.642136	100	100	4	0	96	0	0
11.000000	17.820508	10.500000	100	100	86	0	14	0	0
11.000000	20.500000	0.500000	100	100	57	43	0	0	0
14.000000	0.500000	20.500000	100	100	0	0	100	0	0
14.000000	10.500000	17.820508	100	100	2	0	98	0	0
14.000000	14.642136	14.642136	100	100	13	0	87	0	0
14.000000	17.820508	10.500000	100	100	97	0	3	0	0
14.000000	20.500000	0.500000	100	100	67	33	0	0	0
17.000000	0.500000	20.500000	100	100	0	0	100	0	0
17.000000	10.500000	17.820508	100	100	3	0	97	0	0
17.000000	14.642136	14.642136	100	100	22	0	78	0	0
17.000000	17.820508	10.500000	100	100	99	0	1	0	0
17.000000	20.500000	0.500000	100	100	67	33	0	0	0
20.000000	0.500000	20.500000	100	100	0	0	100	0	0
20.000000	10.500000	17.820508	100	100	8	0	92	0	0
20.000000	14.642136	14.642136	100	100	56	0	44	0	0
20.000000	17.820508	10.500000	100	100	100	0	0	0	0
20.000000	20.500000	0.500000	100	100	74	26	0	0	0
23.000000	0.500000	20.500000	100	100	2	0	98	0	0
23.000000	10.500000	17.820508	100	100	17	0	83	0	0
23.000000	14.642136	14.642136	100	100	79	0	21	0	0
23.000000	17.820508	10.500000	100	100	100	0	0	0	0
23.000000	20.500000	0.500000	100	100	69	31	0	0	0
26.000000	0.500000	20.500000	100	100	11	0	89	0	0
26.000000	10.500000	17.820508	100	100	71	0	29	0	0
26.000000	14.642136	14.642136	100	100	96	0	4	0	0
26.000000	17.820508	10.500000	100	100	100	0	0	0	0
26.000000	20.500000	0.500000	100	100	71	29	0	0	0
29.000000	0.500000	20.500000	100	100	48	0	52	0	0
29.000000	10.500000	17.820508	100	100	88	0	12	0	0
29.000000	14.642136	14.642136	100	100	100	0	0	0	0
29.000000	17.820508	10.500000	100	100	100	0	0	0	0
29.000000	20.500000	0.500000	100	100	74	26	0	0	0
32.000000	0.500000	20.500000	100	100	96	0	4	0	0
32.000000	10.500000	17.820508	100	100	100	0	0	0	0
32.000000	14.642136	14.642136	100	100	100	0	0	0	0
32.000000	17.820508	10.500000	100	100	100	0	0	0	0
32.000000	20.500000	0.500000	100	100	77	23	0	0	0
35.000000	0.500000	20.500000	100	100	100	0	0	0	0
35.000000	10.500000	17.820508	100	100	100	0	0	0	0
35.000000	14.642136	14.642136	100	100	100	0	0	0	0
35.000000	17.820508	10.500000	100	100	100	0	0	0	0
35.000000	20.500000	0.500000	100	100	71	29	0	0	0
38.000000	0.500000	20.500000	100	100	100	0	0	0	0
38.000000	10.500000	17.820508	100	100	100	0	0	0	0
38.000000	14.642136	14.642136	100	100	100	0	0	0	0
38.000000	17.820508	10.500000	100	100	100	0	0	0	0
38.000000	20.500000	0.500000	100	100	80	19	0	1	0
