mean	sd_long	sd_short	N_sim	N_count	dom_1	dom_2	coexist	extinct	ff
2.000000	0.500000	20.500000	100	100	0	0	100	0	0
2.000000	10.500000	17.820508	100	100	0	0	100	0	0
2.000000	14.642136	14.642136	100	100	2	2	96	0	0
2.000000	17.820508	10.500000	100	100	69	31	0	0	0
2.000000	20.500000	0.500000	100	100	51	49	0	0	0
5.000000	0.500000	20.500000	100	100	0	0	100	0	0
5.000000	10.500000	17.820508	100	100	0	0	100	0	0
5.000000	14.642136	14.642136	100	100	7	1	92	0	0
5.000000	17.820508	10.500000	100	100	86	14	0	0	0
5.000000	20.500000	0.500000	100	100	54	46	0	0	0
8.000000	0.500000	20.500000	100	100	0	0	100	0	0
8.000000	10.500000	17.820508	100	100	0	0	100	0	0
8.000000	14.642136	14.642136	100	100	18	0	82	0	0
8.000000	17.820508	10.500000	100	100	100	0	0	0	0
8.000000	20.500000	0.500000	100	100	58	42	0	0	0
11.000000	0.500000	20.500000	100	100	0	0	100	0	0
11.000000	10.500000	17.820508	100	100	1	0	99	0	0
11.000000	14.642136	14.642136	100	100	43	0	57	0	0
11.000000	17.820508	10.500000	100	100	99	1	0	0	0
11.000000	20.500000	0.500000	100	100	54	46	0	0	0
14.000000	0.500000	20.500000	100	100	0	0	100	0	0
14.000000	10.500000	17.820508	100	100	8	0	92	0	0
14.000000	14.642136	14.642136	100	100	75	0	25	0	0
14.000000	17.820508	10.500000	100	100	100	0	0	0	0
14.000000	20.500000	0.500000	100	100	58	42	0	0	0
17.000000	0.500000	20.500000	100	100	1	0	99	0	0
17.000000	10.500000	17.820508	100	100	20	0	80	0	0
17.000000	14.642136	14.642136	100	100	97	0	3	0	0
17.000000	17.820508	10.500000	100	100	100	0	0	0	0
17.000000	20.500000	0.500000	100	100	70	30	0	0	0
20.000000	0.500000	20.500000	100	100	2	0	98	0	0
20.000000	10.500000	17.820508	100	100	59	0	41	0	0
20.000000	14.642136	14.642136	100	100	100	0	0	0	0
20.000000	17.820508	10.500000	100	100	100	0	0	0	0
20.000000	20.500000	0.500000	100	100	67	33	0	0	0
23.000000	0.500000	20.500000	100	100	22	0	78	0	0
23.000000	10.500000	17.820508	100	100	94	0	6	0	0
23.000000	14.642136	14.642136	100	100	100	0	0	0	0
23.000000	17.820508	10.500000	100	100	100	0	0	0	0
23.000000	20.500000	0.500000	100	100	65	35	0	0	0
26.000000	0.500000	20.500000	100	100	67	0	33	0	0
26.000000	10.500000	17.820508	100	100	100	0	0	0	0
26.000000	14.642136	14.642136	100	100	100	0	0	0	0
26.000000	17.820508	10.500000	100	100	100	0	0	0	0
26.000000	20.500000	0.500000	100	100	81	19	0	0	0
29.000000	0.500000	20.500000	100	100	99	0	1	0	0
29.000000	10.500000	17.820508	100	100	100	0	0	0	0
29.000000	14.642136	14.642136	100	100	100	0	0	0	0
29.000000	17.820508	10.500000	100	100	100	0	0	0	0
29.000000	20.500000	0.500000	100	100	69	31	0	0	0
32.000000	0.500000	20.500000	100	100	100	0	0	0	0
32.000000	10.500000	17.820508	100	100	100	0	0	0	0
32.000000	14.642136	14.642136	100	100	100	0	0	0	0
32.000000	17.820508	10.500000	100	100	100	0	0	0	0
32.000000	20.500000	0.500000	100	100	87	13	0	0	0
35.000000	0.500000	20.500000	100	100	100	0	0	0	0
35.000000	10.500000	17.820508	100	100	100	0	0	0	0
35.000000	14.642136	14.642136	100	100	100	0	0	0	0
35.000000	17.820508	10.500000	100	100	100	0	0	0	0
35.000000	20.500000	0.500000	100	100	73	27	0	0	0
38.000000	0.500000	20.500000	100	100	100	0	0	0	0
38.000000	10.500000	17.820508	100	100	100	0	0	0	0
38.000000	14.642136	14.642136	100	100	100	0	0	0	0
38.000000	17.820508	10.500000	100	100	100	0	0	0	0
38.000000	20.500000	0.500000	100	100	71	27	0	2	0
