mean	sd_long	sd_short	N_sim	N_count	dom_1	dom_2	coexist	extinct	ff
2.000000	0.500000	20.500000	100	100	0	0	100	0	0
2.000000	10.500000	17.820508	100	100	0	0	100	0	0
2.000000	14.642136	14.642136	100	100	33	10	57	0	0
2.000000	17.820508	10.500000	100	100	68	32	0	0	0
2.000000	20.500000	0.500000	100	100	53	47	0	0	0
5.000000	0.500000	20.500000	100	100	0	0	100	0	0
5.000000	10.500000	17.820508	100	100	3	0	97	0	0
5.000000	14.642136	14.642136	100	100	57	0	43	0	0
5.000000	17.820508	10.500000	100	100	91	9	0	0	0
5.000000	20.500000	0.500000	100	100	55	45	0	0	0
8.000000	0.500000	20.500000	100	100	0	0	100	0	0
8.000000	10.500000	17.820508	100	100	4	0	96	0	0
8.000000	14.642136	14.642136	100	100	90	0	10	0	0
8.000000	17.820508	10.500000	100	100	100	0	0	0	0
8.000000	20.500000	0.500000	100	100	61	39	0	0	0
11.000000	0.500000	20.500000	100	100	0	0	100	0	0
11.000000	10.500000	17.820508	100	100	8	0	92	0	0
11.000000	14.642136	14.642136	100	100	99	0	1	0	0
11.000000	17.820508	10.500000	100	100	99	1	0	0	0
11.000000	20.500000	0.500000	100	100	65	35	0	0	0
14.000000	0.500000	20.500000	100	100	0	0	100	0	0
14.000000	10.500000	17.820508	100	100	39	0	61	0	0
14.000000	14.642136	14.642136	100	100	100	0	0	0	0
14.000000	17.820508	10.500000	100	100	100	0	0	0	0
14.000000	20.500000	0.500000	100	100	65	35	0	0	0
17.000000	0.500000	20.500000	100	100	3	0	97	0	0
17.000000	10.500000	17.820508	100	100	75	0	25	0	0
17.000000	14.642136	14.642136	100	100	100	0	0	0	0
17.000000	17.820508	10.500000	100	100	100	0	0	0	0
17.000000	20.500000	0.500000	100	100	68	32	0	0	0
20.000000	0.500000	20.500000	100	100	17	0	83	0	0
20.000000	10.500000	17.820508	100	100	100	0	0	0	0
20.000000	14.642136	14.642136	100	100	100	0	0	0	0
20.000000	17.820508	10.500000	100	100	100	0	0	0	0
20.000000	20.500000	0.500000	100	100	71	29	0	0	0
23.000000	0.500000	20.500000	100	100	89	0	11	0	0
23.000000	10.500000	17.820508	100	100	100	0	0	0	0
23.000000	14.642136	14.642136	100	100	100	0	0	0	0
23.000000	17.820508	10.500000	100	100	100	0	0	0	0
23.000000	20.500000	0.500000	100	100	58	42	0	0	0
26.000000	0.500000	20.500000	100	100	100	0	0	0	0
26.000000	10.500000	17.820508	100	100	100	0	0	0	0
26.000000	14.642136	14.642136	100	100	100	0	0	0	0
26.000000	17.820508	10.500000	100	100	100	0	0	0	0
26.000000	20.500000	0.500000	100	100	70	30	0	0	0
29.000000	0.500000	20.500000	100	100	100	0	0	0	0
29.000000	10.500000	17.820508	100	100	100	0	0	0	0
29.000000	14.642136	14.642136	100	100	100	0	0	0	0
29.000000	17.820508	10.500000	100	100	100	0	0	0	0
29.000000	20.500000	0.500000	100	100	72	28	0	0	0
32.000000	0.500000	20.500000	100	100	100	0	0	0	0
32.000000	10.500000	17.820508	100	100	100	0	0	0	0
32.000000	14.642136	14.642136	100	100	100	0	0	0	0
32.000000	17.820508	10.500000	100	100	100	0	0	0	0
32.000000	20.500000	0.500000	100	100	77	22	0	1	0
35.000000	0.500000	20.500000	100	100	100	0	0	0	0
35.000000	10.500000	17.820508	100	100	100	0	0	0	0
35.000000	14.642136	14.642136	100	100	100	0	0	0	0
35.000000	17.820508	10.500000	100	100	100	0	0	0	0
35.000000	20.500000	0.500000	100	100	77	22	0	1	0
38.000000	0.500000	20.500000	100	100	100	0	0	0	0
38.000000	10.500000	17.820508	100	100	100	0	0	0	0
38.000000	14.642136	14.642136	100	100	100	0	0	0	0
38.000000	17.820508	10.500000	100	100	100	0	0	0	0
38.000000	20.500000	0.500000	100	100	80	20	0	0	0
