mean	sd_long	sd_short	N_sim	N_count	dom_1	dom_2	coexist	extinct	ff
2.000000	0.500000	20.500000	100	100	0	0	100	0	0
2.000000	10.500000	17.820508	100	100	0	0	100	0	0
2.000000	14.642136	14.642136	100	100	0	0	100	0	0
2.000000	17.820508	10.500000	100	100	0	0	98	2	0
2.000000	20.500000	0.500000	100	100	0	0	1	99	0
5.000000	0.500000	20.500000	100	100	0	0	100	0	0
5.000000	10.500000	17.820508	100	100	0	0	100	0	0
5.000000	14.642136	14.642136	100	100	0	0	100	0	0
5.000000	17.820508	10.500000	100	100	0	0	99	1	0
5.000000	20.500000	0.500000	100	100	0	0	2	98	0
8.000000	0.500000	20.500000	100	100	0	0	100	0	0
8.000000	10.500000	17.820508	100	100	0	0	100	0	0
8.000000	14.642136	14.642136	100	100	0	0	100	0	0
8.000000	17.820508	10.500000	100	100	0	0	100	0	0
8.000000	20.500000	0.500000	100	100	0	0	24	76	0
11.000000	0.500000	20.500000	100	100	0	0	100	0	0
11.000000	10.500000	17.820508	100	100	0	0	100	0	0
11.000000	14.642136	14.642136	100	100	0	0	100	0	0
11.000000	17.820508	10.500000	100	100	0	0	100	0	0
11.000000	20.500000	0.500000	100	100	0	0	32	68	0
14.000000	0.500000	20.500000	100	100	0	0	100	0	0
14.000000	10.500000	17.820508	100	100	0	0	100	0	0
14.000000	14.642136	14.642136	100	100	0	0	100	0	0
14.000000	17.820508	10.500000	100	100	0	0	100	0	0
14.000000	20.500000	0.500000	100	100	0	0	43	57	0
17.000000	0.500000	20.500000	100	100	0	0	100	0	0
17.000000	10.500000	17.820508	100	100	0	0	100	0	0
17.000000	14.642136	14.642136	100	100	0	0	100	0	0
17.000000	17.820508	10.500000	100	100	0	0	100	0	0
17.000000	20.500000	0.500000	100	100	0	0	55	45	0
20.000000	0.500000	20.500000	100	100	0	0	100	0	0
20.000000	10.500000	17.820508	100	100	0	0	100	0	0
20.000000	14.642136	14.642136	100	100	0	0	100	0	0
20.000000	17.820508	10.500000	100	100	0	0	100	0	0
20.000000	20.500000	0.500000	100	100	0	0	58	42	0
23.000000	0.500000	20.500000	100	100	0	0	100	0	0
23.000000	10.500000	17.820508	100	100	0	0	100	0	0
23.000000	14.642136	14.642136	100	100	0	0	100	0	0
23.000000	17.820508	10.500000	100	100	0	0	100	0	0
23.000000	20.500000	0.500000	100	100	0	0	73	27	0
26.000000	0.500000	20.500000	100	100	0	0	100	0	0
26.000000	10.500000	17.820508	100	100	0	0	100	0	0
26.000000	14.642136	14.642136	100	100	0	0	100	0	0
26.000000	17.820508	10.500000	100	100	0	0	100	0	0
26.000000	20.500000	0.500000	100	100	0	0	76	24	0
29.000000	0.500000	20.500000	100	100	0	0	100	0	0
29.000000	10.500000	17.820508	100	100	0	0	100	0	0
29.000000	14.642136	14.642136	100	100	0	0	100	0	0
29.000000	17.820508	10.500000	100	100	0	0	100	0	0
29.000000	20.500000	0.500000	100	100	0	0	61	39	0
32.000000	0.500000	20.500000	100	100	0	0	100	0	0
32.000000	10.500000	17.820508	100	100	0	0	100	0	0
32.000000	14.642136	14.642136	100	100	0	0	100	0	0
32.000000	17.820508	10.500000	100	100	0	0	100	0	0
32.000000	20.500000	0.500000	100	100	0	0	47	53	0
35.000000	0.500000	20.500000	100	100	0	0	100	0	0
35.000000	10.500000	17.820508	100	100	0	0	100	0	0
35.000000	14.642136	14.642136	100	100	0	0	100	0	0
35.000000	17.820508	10.500000	100	100	0	0	100	0	0
35.000000	20.500000	0.500000	100	100	0	0	23	77	0
38.000000	0.500000	20.500000	100	100	0	0	100	0	0
38.000000	10.500000	17.820508	100	100	0	0	100	0	0
38.000000	14.642136	14.642136	100	100	0	0	100	0	0
38.000000	17.820508	10.500000	100	100	0	0	100	0	0
38.000000	20.500000	0.500000	100	100	0	0	21	79	0
