mean	sd_long	sd_short	N_sim	N_count	dom_1	dom_2	coexist	extinct	ff
2.000000	0.500000	20.500000	100	100	0	0	100	0	0
2.000000	5.500000	15.500000	100	100	0	0	100	0	0
2.000000	10.500000	10.500000	100	100	1	58	41	0	0
2.000000	15.500000	5.500000	100	100	43	57	0	0	0
2.000000	20.500000	0.500000	100	100	43	57	0	0	0
5.000000	0.500000	20.500000	100	100	0	0	100	0	0
5.000000	5.500000	15.500000	100	100	0	0	100	0	0
5.000000	10.500000	10.500000	100	100	1	9	90	0	0
5.000000	15.500000	5.500000	100	100	61	39	0	0	0
5.000000	20.500000	0.500000	100	100	52	48	0	0	0
8.000000	0.500000	20.500000	100	100	0	0	100	0	0
8.000000	5.500000	15.500000	100	100	0	0	100	0	0
8.000000	10.500000	10.500000	100	100	2	3	95	0	0
8.000000	15.500000	5.500000	100	100	76	24	0	0	0
8.000000	20.500000	0.500000	100	100	54	46	0	0	0
11.000000	0.500000	20.500000	100	100	0	0	100	0	0
11.000000	5.500000	15.500000	100	100	0	0	100	0	0
11.000000	10.500000	10.500000	100	100	8	0	92	0	0
11.000000	15.500000	5.500000	100	100	73	27	0	0	0
11.000000	20.500000	0.500000	100	100	61	39	0	0	0
14.000000	0.500000	20.500000	100	100	0	0	100	0	0
14.000000	5.500000	15.500000	100	100	0	0	100	0	0
14.000000	10.500000	10.500000	100	100	19	0	81	0	0
14.000000	15.500000	5.500000	100	100	92	8	0	0	0
14.000000	20.500000	0.500000	100	100	65	35	0	0	0
17.000000	0.500000	20.500000	100	100	0	0	100	0	0
17.000000	5.500000	15.500000	100	100	0	0	100	0	0
17.000000	10.500000	10.500000	100	100	56	0	44	0	0
17.000000	15.500000	5.500000	100	100	93	7	0	0	0
17.000000	20.500000	0.500000	100	100	64	36	0	0	0
20.000000	0.500000	20.500000	100	100	0	0	100	0	0
20.000000	5.500000	15.500000	100	100	0	0	100	0	0
20.000000	10.500000	10.500000	100	100	96	0	4	0	0
20.000000	15.500000	5.500000	100	100	100	0	0	0	0
20.000000	20.500000	0.500000	100	100	70	30	0	0	0
23.000000	0.500000	20.500000	100	100	0	0	100	0	0
23.000000	5.500000	15.500000	100	100	11	0	89	0	0
23.000000	10.500000	10.500000	100	100	100	0	0	0	0
23.000000	15.500000	5.500000	100	100	100	0	0	0	0
23.000000	20.500000	0.500000	100	100	76	24	0	0	0
26.000000	0.500000	20.500000	100	100	9	0	91	0	0
26.000000	5.500000	15.500000	100	100	67	0	33	0	0
26.000000	10.500000	10.500000	100	100	100	0	0	0	0
26.000000	15.500000	5.500000	100	100	98	2	0	0	0
26.000000	20.500000	0.500000	100	100	72	28	0	0	0
29.000000	0.500000	20.500000	100	100	54	0	46	0	0
29.000000	5.500000	15.500000	100	100	99	0	1	0	0
29.000000	10.500000	10.500000	100	100	100	0	0	0	0
29.000000	15.500000	5.500000	100	100	100	0	0	0	0
29.000000	20.500000	0.500000	100	100	78	22	0	0	0
32.000000	0.500000	20.500000	100	100	90	0	10	0	0
32.000000	5.500000	15.500000	100	100	100	0	0	0	0
32.000000	10.500000	10.500000	100	100	100	0	0	0	0
32.000000	15.500000	5.500000	100	100	100	0	0	0	0
32.000000	20.500000	0.500000	100	100	73	26	0	1	0
35.000000	0.500000	20.500000	100	100	100	0	0	0	0
35.000000	5.500000	15.500000	100	100	100	0	0	0	0
35.000000	10.500000	10.500000	100	100	100	0	0	0	0
35.000000	15.500000	5.500000	100	100	100	0	0	0	0
35.000000	20.500000	0.500000	100	100	73	25	0	2	0
38.000000	0.500000	20.500000	100	100	100	0	0	0	0
38.000000	5.500000	15.500000	100	100	100	0	0	0	0
38.000000	10.500000	10.500000	100	100	100	0	0	0	0
38.000000	15.500000	5.500000	100	100	100	0	0	0	0
38.000000	20.500000	0.500000	100	100	80	19	0	1	0
