mean	sd_long	sd_short	N_sim	N_count	dom_1	dom_2	coexist	extinct	ff
2.000000	0.500000	20.500000	100	100	0	0	100	0	0
2.000000	5.500000	15.500000	100	100	0	0	100	0	0
2.000000	10.500000	10.500000	100	100	0	58	42	0	0
2.000000	15.500000	5.500000	100	100	32	68	0	0	0
2.000000	20.500000	0.500000	100	100	44	56	0	0	0
5.000000	0.500000	20.500000	100	100	0	0	100	0	0
5.000000	5.500000	15.500000	100	100	0	0	100	0	0
5.000000	10.500000	10.500000	100	100	1	12	87	0	0
5.000000	15.500000	5.500000	100	100	48	52	0	0	0
5.000000	20.500000	0.500000	100	100	52	48	0	0	0
8.000000	0.500000	20.500000	100	100	0	0	100	0	0
8.000000	5.500000	15.500000	100	100	0	0	100	0	0
8.000000	10.500000	10.500000	100	100	4	2	94	0	0
8.000000	15.500000	5.500000	100	100	66	34	0	0	0
8.000000	20.500000	0.500000	100	100	46	54	0	0	0
11.000000	0.500000	20.500000	100	100	0	0	100	0	0
11.000000	5.500000	15.500000	100	100	0	0	100	0	0
11.000000	10.500000	10.500000	100	100	7	0	93	0	0
11.000000	15.500000	5.500000	100	100	78	22	0	0	0
11.000000	20.500000	0.500000	100	100	46	54	0	0	0
14.000000	0.500000	20.500000	100	100	0	0	100	0	0
14.000000	5.500000	15.500000	100	100	0	0	100	0	0
14.000000	10.500000	10.500000	100	100	28	0	72	0	0
14.000000	15.500000	5.500000	100	100	82	18	0	0	0
14.000000	20.500000	0.500000	100	100	62	38	0	0	0
17.000000	0.500000	20.500000	100	100	0	0	100	0	0
17.000000	5.500000	15.500000	100	100	0	0	100	0	0
17.000000	10.500000	10.500000	100	100	49	0	51	0	0
17.000000	15.500000	5.500000	100	100	88	12	0	0	0
17.000000	20.500000	0.500000	100	100	70	30	0	0	0
20.000000	0.500000	20.500000	100	100	1	0	99	0	0
20.000000	5.500000	15.500000	100	100	2	0	98	0	0
20.000000	10.500000	10.500000	100	100	91	0	9	0	0
20.000000	15.500000	5.500000	100	100	95	5	0	0	0
20.000000	20.500000	0.500000	100	100	69	31	0	0	0
23.000000	0.500000	20.500000	100	100	1	0	99	0	0
23.000000	5.500000	15.500000	100	100	14	0	86	0	0
23.000000	10.500000	10.500000	100	100	100	0	0	0	0
23.000000	15.500000	5.500000	100	100	99	1	0	0	0
23.000000	20.500000	0.500000	100	100	68	32	0	0	0
26.000000	0.500000	20.500000	100	100	15	0	85	0	0
26.000000	5.500000	15.500000	100	100	58	0	42	0	0
26.000000	10.500000	10.500000	100	100	100	0	0	0	0
26.000000	15.500000	5.500000	100	100	100	0	0	0	0
26.000000	20.500000	0.500000	100	100	80	20	0	0	0
29.000000	0.500000	20.500000	100	100	48	0	52	0	0
29.000000	5.500000	15.500000	100	100	99	0	1	0	0
29.000000	10.500000	10.500000	100	100	100	0	0	0	0
29.000000	15.500000	5.500000	100	100	98	2	0	0	0
29.000000	20.500000	0.500000	100	100	67	33	0	0	0
32.000000	0.500000	20.500000	100	100	95	0	5	0	0
32.000000	5.500000	15.500000	100	100	100	0	0	0	0
32.000000	10.500000	10.500000	100	100	100	0	0	0	0
32.000000	15.500000	5.500000	100	100	99	1	0	0	0
32.000000	20.500000	0.500000	100	100	70	30	0	0	0
35.000000	0.500000	20.500000	100	100	100	0	0	0	0
35.000000	5.500000	15.500000	100	100	100	0	0	0	0
35.000000	10.500000	10.500000	100	100	100	0	0	0	0
35.000000	15.500000	5.500000	100	100	100	0	0	0	0
35.000000	20.500000	0.500000	100	100	72	28	0	0	0
38.000000	0.500000	20.500000	100	100	100	0	0	0	0
38.000000	5.500000	15.500000	100	100	100	0	0	0	0
38.000000	10.500000	10.500000	100	100	100	0	0	0	0
38.000000	15.500000	5.500000	100	100	100	0	0	0	0
38.000000	20.500000	0.500000	100	100	72	28	0	0	0
