mean	sd_long	sd_short	N_sim	N_count	dom_1	dom_2	coexist	extinct	ff
2.000000	0.500000	20.500000	100	100	0	0	100	0	0
2.000000	5.500000	15.500000	100	100	0	0	100	0	0
2.000000	10.500000	10.500000	100	100	1	63	36	0	0
2.000000	15.500000	5.500000	100	100	46	54	0	0	0
2.000000	20.500000	0.500000	100	100	55	45	0	0	0
5.000000	0.500000	20.500000	100	100	0	0	100	0	0
5.000000	5.500000	15.500000	100	100	0	0	100	0	0
5.000000	10.500000	10.500000	100	100	0	8	92	0	0
5.000000	15.500000	5.500000	100	100	63	37	0	0	0
5.000000	20.500000	0.500000	100	100	65	35	0	0	0
8.000000	0.500000	20.500000	100	100	0	0	100	0	0
8.000000	5.500000	15.500000	100	100	0	0	100	0	0
8.000000	10.500000	10.500000	100	100	2	4	94	0	0
8.000000	15.500000	5.500000	100	100	79	21	0	0	0
8.000000	20.500000	0.500000	100	100	63	37	0	0	0
11.000000	0.500000	20.500000	100	100	0	0	100	0	0
11.000000	5.500000	15.500000	100	100	0	0	100	0	0
11.000000	10.500000	10.500000	100	100	5	0	95	0	0
11.000000	15.500000	5.500000	100	100	79	21	0	0	0
11.000000	20.500000	0.500000	100	100	65	35	0	0	0
14.000000	0.500000	20.500000	100	100	0	0	100	0	0
14.000000	5.500000	15.500000	100	100	0	0	100	0	0
14.000000	10.500000	10.500000	100	100	20	0	80	0	0
14.000000	15.500000	5.500000	100	100	91	9	0	0	0
14.000000	20.500000	0.500000	100	100	67	33	0	0	0
17.000000	0.500000	20.500000	100	100	0	0	100	0	0
17.000000	5.500000	15.500000	100	100	0	0	100	0	0
17.000000	10.500000	10.500000	100	100	57	0	43	0	0
17.000000	15.500000	5.500000	100	100	97	3	0	0	0
17.000000	20.500000	0.500000	100	100	66	34	0	0	0
20.000000	0.500000	20.500000	100	100	0	0	100	0	0
20.000000	5.500000	15.500000	100	100	0	0	100	0	0
20.000000	10.500000	10.500000	100	100	88	0	12	0	0
20.000000	15.500000	5.500000	100	100	100	0	0	0	0
20.000000	20.500000	0.500000	100	100	71	29	0	0	0
23.000000	0.500000	20.500000	100	100	1	0	99	0	0
23.000000	5.500000	15.500000	100	100	8	0	92	0	0
23.000000	10.500000	10.500000	100	100	100	0	0	0	0
23.000000	15.500000	5.500000	100	100	98	2	0	0	0
23.000000	20.500000	0.500000	100	100	75	25	0	0	0
26.000000	0.500000	20.500000	100	100	11	0	89	0	0
26.000000	5.500000	15.500000	100	100	61	0	39	0	0
26.000000	10.500000	10.500000	100	100	100	0	0	0	0
26.000000	15.500000	5.500000	100	100	99	1	0	0	0
26.000000	20.500000	0.500000	100	100	82	18	0	0	0
29.000000	0.500000	20.500000	100	100	45	0	55	0	0
29.000000	5.500000	15.500000	100	100	99	0	1	0	0
29.000000	10.500000	10.500000	100	100	100	0	0	0	0
29.000000	15.500000	5.500000	100	100	100	0	0	0	0
29.000000	20.500000	0.500000	100	100	80	20	0	0	0
32.000000	0.500000	20.500000	100	100	93	0	7	0	0
32.000000	5.500000	15.500000	100	100	100	0	0	0	0
32.000000	10.500000	10.500000	100	100	100	0	0	0	0
32.000000	15.500000	5.500000	100	100	100	0	0	0	0
32.000000	20.500000	0.500000	100	100	79	21	0	0	0
35.000000	0.500000	20.500000	100	100	100	0	0	0	0
35.000000	5.500000	15.500000	100	100	100	0	0	0	0
35.000000	10.500000	10.500000	100	100	100	0	0	0	0
35.000000	15.500000	5.500000	100	100	100	0	0	0	0
35.000000	20.500000	0.500000	100	100	80	20	0	0	0
38.000000	0.500000	20.500000	100	100	100	0	0	0	0
38.000000	5.500000	15.500000	100	100	100	0	0	0	0
38.000000	10.500000	10.500000	100	100	100	0	0	0	0
38.000000	15.500000	5.500000	100	100	100	0	0	0	0
38.000000	20.500000	0.500000	100	100	80	20	0	0	0
