N1	N2	time	env
250.000000	250.000000	0.000000	20.000000
243.396967	243.396967	1.000000	45.236975
237.885447	237.576904	2.000000	7.639094
259.592974	380.543335	3.000000	17.807397
286.729318	593.300114	4.000000	18.379577
346.539551	747.253537	5.000000	21.030076
335.347499	722.156892	6.000000	9.737863
322.194722	686.068019	7.000000	37.102239
506.091748	651.891998	8.000000	30.862694
484.399806	620.422608	9.000000	7.456737
540.751735	908.362636	10.000000	19.241794
585.490992	1350.349709	11.000000	18.614163
808.095644	1236.654926	12.000000	24.873855
794.717293	1745.266587	13.000000	15.511058
733.131608	1567.490406	14.000000	-0.049423
720.288782	2201.836428	15.000000	15.680898
1042.933290	1933.191784	16.000000	26.944163
973.206255	2100.604002	17.000000	13.267904
1120.827329	2287.073888	18.000000	21.483606
1172.097852	2988.449322	19.000000	19.354854
1494.600697	2513.542472	20.000000	24.424749
1317.493653	2155.163319	21.000000	41.969691
1180.830016	1884.650294	22.000000	7.025610
1067.306716	1670.500573	23.000000	48.814894
1117.667640	2315.586693	24.000000	18.934870
1394.618025	2008.320785	25.000000	23.553941
1355.114569	2855.279727	26.000000	17.152850
1954.303732	2401.081018	27.000000	29.992479
1803.264773	3270.821914	28.000000	16.366404
2515.329707	2676.894982	29.000000	29.494698
2114.460621	2240.666903	30.000000	36.799153
1843.631355	2021.534396	31.000000	10.965068
2246.872429	1749.726875	32.000000	32.826800
1940.586497	1531.775324	33.000000	35.575481
1710.039960	1363.043197	34.000000	7.294457
1532.814049	1240.217907	35.000000	9.289638
2186.906135	1116.269294	36.000000	31.198495
3070.926851	995.455019	37.000000	28.647701
3121.133667	1239.336910	38.000000	20.399331
3388.958800	1220.764662	39.000000	22.239714
3664.258025	1162.943228	40.000000	22.437510
3008.844421	1020.922410	41.000000	38.030547
2897.782058	1430.311112	42.000000	18.751165
3088.868362	1525.328721	43.000000	21.619858
2584.028998	1329.935142	44.000000	4.063154
2666.548977	1644.515411	45.000000	20.375832
2300.532298	1558.557928	46.000000	11.650893
2007.886545	1416.111168	47.000000	10.299974
2167.160838	1679.076448	48.000000	20.860168
2997.994427	1460.786181	49.000000	28.202955
2636.544709	1885.321479	50.000000	15.070711
3588.087178	1608.686052	51.000000	30.352124
2948.221592	1394.941883	52.000000	8.675816
2844.968247	1892.970933	53.000000	18.979941
2606.083832	2637.544801	54.000000	17.353498
2198.075214	2236.399212	55.000000	9.386427
1889.919549	1918.331995	56.000000	6.072220
2089.866761	2055.757925	57.000000	21.540812
1811.632982	1781.059428	58.000000	6.547936
2590.480739	1553.875168	59.000000	29.731209
2369.141702	2201.320787	60.000000	16.452539
2177.738720	3044.030131	61.000000	16.875717
2804.662183	2499.439141	62.000000	26.211046
3330.332630	2077.720307	63.000000	24.578474
3138.918058	2663.302594	64.000000	19.212503
2571.891907	2208.341916	65.000000	3.891327
3438.506579	1861.488280	66.000000	28.008132
3367.076458	2218.187458	67.000000	20.310323
3181.441789	2784.746177	68.000000	19.417029
2734.062379	3548.368272	69.000000	15.838794
3172.272346	2828.147143	70.000000	24.311039
4070.547226	2294.145459	71.000000	30.978112
4665.408983	1876.915251	72.000000	25.221604
3993.179418	2526.233855	73.000000	17.736579
3390.542701	3339.166736	74.000000	16.756891
4303.105560	2640.186396	75.000000	28.538903
4261.806106	2497.610324	76.000000	21.913904
3477.729175	2046.522948	77.000000	34.782581
4476.539292	1705.192025	78.000000	30.769724
5343.345940	1416.363083	79.000000	26.899728
4085.105854	1197.681518	80.000000	44.708239
3340.124558	1114.018513	81.000000	11.332968
4131.197103	972.098588	82.000000	31.985770
3753.401579	1359.353366	83.000000	18.422765
4798.678025	1160.835937	84.000000	28.211398
5164.324914	986.466505	85.000000	23.948832
5773.838961	836.823184	86.000000	25.408491
6186.716955	707.578945	87.000000	32.391542
4944.149031	986.690132	88.000000	16.291931
4009.008040	1172.992566	89.000000	14.316448
3244.932256	1023.582370	90.000000	36.145100
2720.684374	910.535120	91.000000	5.003497
2335.351440	821.345208	92.000000	35.914079
2189.754818	1213.278758	93.000000	16.312998
2286.206273	1555.890888	94.000000	20.121061
1998.807049	1424.963136	95.000000	10.577480
2551.256454	1261.355402	96.000000	24.914853
3531.360984	1108.422869	97.000000	30.139201
4109.952589	965.810167	98.000000	24.407524
4397.060973	854.035002	99.000000	22.898745
3746.857227	1199.576534	100.000000	16.035876
3072.970558	1051.495286	101.000000	7.402453
2592.107291	936.817483	102.000000	1.354902
2329.310665	1187.198815	103.000000	14.530642
3237.990099	1052.067929	104.000000	30.710661
4196.883815	921.028940	105.000000	27.300205
5279.718034	795.008925	106.000000	30.910707
4391.698616	1130.127540	107.000000	16.603272
3686.561143	1502.236741	108.000000	15.461987
3387.600596	2045.062210	109.000000	18.531095
3985.244885	1713.494620	110.000000	24.913156
3200.276016	1460.436823	111.000000	37.629677
2763.534852	1738.567953	112.000000	14.297421
3731.852260	1489.255982	113.000000	30.547448
3039.285144	1287.073279	114.000000	-1.686904
3814.331744	1121.067843	115.000000	25.920573
3134.838098	995.686261	116.000000	9.315381
3970.866147	876.715267	117.000000	26.217869
5049.294776	761.718469	118.000000	28.079786
5093.771277	722.527634	119.000000	22.411002
4431.339479	1019.581487	120.000000	18.130080
3534.760661	889.864726	121.000000	35.921507
3145.375446	1288.142324	122.000000	16.435437
3611.981989	1122.922598	123.000000	32.879564
2974.373957	988.406999	124.000000	37.580170
2521.948300	884.609342	125.000000	-4.762624
2212.625028	845.840547	126.000000	11.033659
1950.149966	773.292665	127.000000	7.480909
1752.863520	732.169545	128.000000	10.244187
1639.489286	934.047452	129.000000	14.346156
1525.910382	1117.465158	130.000000	13.824955
1376.191868	1019.426993	131.000000	37.008164
2032.942099	929.838650	132.000000	28.870781
2659.573274	840.914267	133.000000	32.182977
2391.631328	1084.952964	134.000000	14.664251
3350.673288	964.356179	135.000000	29.883931
4381.463117	845.184854	136.000000	31.020495
3708.638274	1153.260173	137.000000	15.589820
