N1	N2	time	env
250.000000	250.000000	0.000000	20.000000
315.035128	245.354931	1.000000	28.068883
321.551213	310.180995	2.000000	16.404282
375.076856	303.765204	3.000000	23.730028
369.841946	308.227509	4.000000	11.363941
362.039087	301.830354	5.000000	5.441001
359.901103	330.077201	6.000000	13.304121
444.681024	322.920225	7.000000	31.563876
440.455481	347.980508	8.000000	13.034375
516.958876	340.024876	9.000000	24.179601
508.830941	332.200207	10.000000	34.902068
642.106131	324.423320	11.000000	29.966690
623.890626	316.700500	12.000000	36.756157
623.790317	381.167765	13.000000	15.150849
606.399216	371.663223	14.000000	5.405601
642.343708	448.197647	15.000000	19.538520
646.900107	558.036933	16.000000	16.127469
627.269734	541.624261	17.000000	4.329665
608.620069	526.005121	18.000000	4.298663
647.650405	623.342217	19.000000	19.878681
791.504926	603.554182	20.000000	31.568809
967.311006	583.752169	21.000000	27.040052
1094.728489	564.014688	22.000000	33.022682
1175.015972	630.015525	23.000000	20.961226
1281.722005	606.834779	24.000000	33.486889
1222.870358	584.698677	25.000000	35.626780
1219.583514	728.617926	26.000000	16.682972
1498.238504	699.245415	27.000000	28.842952
1429.106399	684.194513	28.000000	10.588373
1400.439010	824.033803	29.000000	15.566699
1329.580207	788.916830	30.000000	-4.782502
1633.044819	755.092506	31.000000	29.908940
1989.813181	720.950412	32.000000	29.800259
1864.694764	688.113002	33.000000	38.290134
1830.531140	850.369983	34.000000	16.765862
2049.164079	808.997365	35.000000	23.905614
1946.769649	865.474022	36.000000	13.447156
1864.591002	979.353908	37.000000	14.491422
1749.082341	930.067585	38.000000	4.933361
1854.049624	884.319644	39.000000	33.640908
1743.160979	842.557271	40.000000	7.503044
2107.072492	801.855629	41.000000	28.692154
2352.887726	761.545685	42.000000	32.709851
2185.379318	723.695211	43.000000	35.687555
2038.505489	689.425983	44.000000	37.772523
2451.351354	656.471862	45.000000	28.907251
2308.259615	696.039980	46.000000	13.269745
2638.464153	661.149127	47.000000	25.483446
2436.655241	628.144182	48.000000	36.371554
2367.101443	773.970119	49.000000	16.987407
2824.456163	732.916649	50.000000	29.297537
2670.769797	862.061485	51.000000	15.351892
2460.191394	814.845441	52.000000	1.397980
2293.541390	793.719861	53.000000	10.996631
2245.958189	973.156771	54.000000	17.488068
2087.160011	921.020112	55.000000	-2.283950
1947.765838	874.055080	56.000000	36.437334
2332.356508	829.431590	57.000000	30.884613
2691.488639	785.025823	58.000000	26.126365
2576.622933	955.006177	59.000000	16.377145
2418.889809	1032.697531	60.000000	13.812081
2529.180236	1086.826296	61.000000	21.525708
2333.192223	1023.140334	62.000000	4.313283
2782.445037	963.445541	63.000000	29.613741
2553.851713	907.543509	64.000000	35.151776
2672.806359	947.838750	65.000000	21.669546
3045.110230	891.473583	66.000000	31.941985
2779.914584	839.174577	67.000000	35.416698
3166.246344	790.439050	68.000000	26.042223
2993.916872	955.029621	69.000000	16.268460
2807.861831	1102.594086	70.000000	15.112512
2580.454730	1040.218542	71.000000	9.087618
2609.127515	1183.370181	72.000000	20.059338
2527.237153	1430.760064	73.000000	17.543917
2323.298568	1335.988548	74.000000	42.583681
2197.538760	1502.120603	75.000000	14.666433
2322.318670	1518.753824	76.000000	21.976637
2235.688705	1827.409515	77.000000	16.789397
2589.494424	1690.624649	78.000000	26.786381
3037.420804	1562.983058	79.000000	28.724335
2773.333233	1482.225617	80.000000	10.812458
2537.985871	1380.567458	81.000000	7.549671
2805.024860	1287.497991	82.000000	32.596395
2574.039736	1210.171564	83.000000	9.212915
3045.219416	1131.662127	84.000000	29.656794
3045.298795	1275.269445	85.000000	20.119109
3017.429936	1456.937653	86.000000	19.699748
3135.263315	1449.077413	87.000000	22.109690
3197.584380	1513.862721	88.000000	21.368158
2918.025538	1470.373742	89.000000	11.814484
2779.969688	1365.972121	90.000000	34.529415
2885.724452	1399.239812	91.000000	21.754876
3021.429230	1377.145909	92.000000	22.287562
3021.630414	1535.327227	93.000000	20.220760
3101.934533	1421.118712	94.000000	33.572095
3542.951108	1315.601686	95.000000	27.124801
3371.480334	1564.395012	96.000000	17.953149
3036.626225	1445.108826	97.000000	2.585260
2781.994769	1402.101575	98.000000	11.674466
2718.071395	1656.308222	99.000000	18.577376
2575.114136	1965.302235	100.000000	16.313210
2373.264617	1893.630352	101.000000	11.720198
2299.752466	2248.101840	102.000000	17.707302
2645.938825	2058.228850	103.000000	31.603942
2577.820736	2390.526159	104.000000	18.618561
2660.529708	2399.980219	105.000000	21.710054
2944.694135	2182.500595	106.000000	25.082611
2662.888609	1994.869075	107.000000	43.606957
2996.541261	1830.812119	108.000000	25.781430
2725.073122	1698.682096	109.000000	9.465967
3195.551203	1567.875070	110.000000	29.464857
2889.239089	1450.493164	111.000000	38.830896
2633.499945	1349.331016	112.000000	42.594217
2480.272303	1545.211670	113.000000	15.090097
2280.354737	1439.583537	114.000000	1.266275
2108.871795	1346.997339	115.000000	4.046652
2041.456330	1629.866931	116.000000	16.670392
2169.489303	1519.453807	117.000000	33.411711
2368.694693	1417.955112	118.000000	23.436025
2185.847118	1326.357285	119.000000	-4.890652
2039.292423	1270.903153	120.000000	10.631105
2267.469723	1194.404677	121.000000	24.025054
2101.731214	1124.237720	122.000000	47.814639
1970.114469	1090.461569	123.000000	10.993401
2350.105337	1029.214855	124.000000	30.949745
2671.201906	969.455141	125.000000	25.405928
2457.933322	914.005257	126.000000	44.075551
2278.324311	865.718601	127.000000	7.837973
2117.748339	821.203246	128.000000	35.591948
1997.542910	830.361533	129.000000	12.212082
2253.930201	788.892592	130.000000	24.479988
2467.380531	748.495573	131.000000	23.342828
2285.881014	710.762114	132.000000	37.570082
2608.821279	675.066841	133.000000	32.193519
2411.330698	641.329997	134.000000	3.998812
2258.349726	637.541674	135.000000	11.639118
2588.051307	606.743060	136.000000	25.522550
2671.338009	576.668281	137.000000	33.758494
2634.074671	699.273063	138.000000	18.443313
2431.981279	663.783240	139.000000	47.953073
2551.357639	630.875138	140.000000	33.583683
2474.982219	776.370352	141.000000	17.096733
2888.812864	734.511590	142.000000	31.424834
2785.679794	897.735725	143.000000	17.347649
2907.962994	926.608555	144.000000	21.813203
3118.277386	870.607464	145.000000	23.206655
2967.483834	1058.377452	146.000000	16.826488
2714.376869	994.139843	147.000000	7.685995
3206.693024	933.063521	148.000000	29.907646
3282.163029	985.909405	149.000000	21.382690
3216.448567	1151.586033	150.000000	19.224990
3706.842206	1071.453325	151.000000	27.944573
3951.117147	995.161755	152.000000	23.919094
3801.073531	1160.571660	153.000000	19.066380
3695.578156	1326.704048	154.000000	19.576256
3890.668935	1225.233910	155.000000	23.426865
3830.766840	1348.167030	156.000000	20.407968
4130.205265	1242.129173	157.000000	24.755302
3693.964979	1187.403600	158.000000	11.298304
3924.853416	1100.034705	159.000000	23.801456
3830.327926	1241.462911	160.000000	19.913149
3423.821940	1150.811918	161.000000	-3.007605
3140.337757	1208.333352	162.000000	13.497650
2899.922235	1280.687827	163.000000	13.654612
2993.171689	1327.883144	164.000000	21.587338
2912.445938	1568.277859	165.000000	18.587292
2734.961007	1833.893260	166.000000	15.779724
2502.299372	1706.007345	167.000000	9.513417
2682.539131	1580.015183	168.000000	33.092705
2751.660128	1671.640697	169.000000	21.177826
2952.167792	1545.503049	170.000000	23.366866
3290.592164	1429.362959	171.000000	25.438093
2972.471752	1325.527698	172.000000	40.740588
2707.286440	1235.789415	173.000000	38.586398
2482.923854	1157.364746	174.000000	39.875453
2334.168410	1260.373042	175.000000	14.020641
2624.892998	1181.008384	176.000000	24.940930
