N1	N2	time	env
250.000000	250.000000	0.000000	20.000000
281.563791	246.449165	1.000000	28.885223
277.857756	243.313550	2.000000	8.533391
274.398541	240.816836	3.000000	9.487616
270.465199	237.415233	4.000000	1.394834
297.549472	234.058239	5.000000	25.478420
334.099089	230.721809	6.000000	28.230313
374.792090	227.398526	7.000000	28.133947
376.042399	254.427845	8.000000	16.016064
423.469731	250.632853	9.000000	30.129738
428.566784	282.199021	10.000000	17.527899
423.966538	287.295636	11.000000	12.275965
475.752937	282.824513	12.000000	28.542327
479.008409	318.523420	13.000000	16.883474
509.868379	316.525596	14.000000	22.772956
513.917957	356.270397	15.000000	17.145475
505.048922	350.386574	16.000000	6.733051
496.104199	344.576415	17.000000	40.470755
557.588526	338.843422	18.000000	29.955660
547.444759	333.186199	19.000000	3.179754
537.513449	327.662474	20.000000	37.271572
531.901880	339.391215	21.000000	13.088553
523.876043	336.868925	22.000000	10.455062
514.713154	331.325575	23.000000	5.825155
531.625743	359.853400	24.000000	20.080974
535.034063	404.794817	25.000000	16.989457
587.483387	397.695015	26.000000	25.720699
576.412492	390.713349	27.000000	3.067679
645.678091	383.832445	28.000000	30.620738
633.185898	377.054817	29.000000	4.774042
689.069310	370.383992	30.000000	24.947152
771.365082	363.736429	31.000000	30.500181
755.186901	357.177489	32.000000	0.396898
827.311703	350.717029	33.000000	25.755687
912.240558	344.266226	34.000000	26.592289
956.449510	352.699448	35.000000	21.950339
942.681844	369.049599	36.000000	13.560417
1041.119705	361.959132	37.000000	31.464674
1079.490302	354.913756	38.000000	33.699044
1055.052241	349.513409	39.000000	9.569057
1029.383442	342.793953	40.000000	-3.271365
1004.686431	336.273829	41.000000	40.241886
1064.380022	329.875686	42.000000	33.127352
1162.932772	323.497723	43.000000	25.885340
1143.975712	339.728064	44.000000	13.713797
1148.138050	333.064247	45.000000	34.419768
1144.147345	373.177327	46.000000	16.611658
1177.581677	399.285008	47.000000	20.535451
1195.583860	439.490733	48.000000	19.191635
1199.831293	490.950776	49.000000	17.832575
1167.753669	480.333358	50.000000	39.334694
1164.803982	537.741151	51.000000	16.931188
1225.266681	534.932751	52.000000	22.601968
1360.225480	522.798697	53.000000	28.827929
1408.031664	543.642324	54.000000	21.395298
1366.554232	531.001538	55.000000	-7.576484
1360.150244	593.507832	56.000000	17.018246
1496.885940	579.234680	57.000000	27.441163
1611.823679	565.048720	58.000000	25.095547
1560.299799	551.218759	59.000000	36.964005
1707.345008	537.692206	60.000000	31.486307
1740.443193	574.931995	61.000000	20.369994
1867.046256	560.184541	62.000000	25.031710
1807.396027	551.580323	63.000000	10.611090
1911.306552	537.436717	64.000000	23.784180
1843.737534	523.699833	65.000000	41.206124
1780.552134	510.572911	66.000000	4.811317
1722.508250	498.508180	67.000000	8.162344
1743.969057	541.681334	68.000000	19.678451
1694.760013	544.191857	69.000000	12.087909
1668.708020	600.810665	70.000000	15.856852
1673.846275	585.598226	71.000000	34.264275
1798.663144	570.694268	72.000000	25.119009
1737.520490	556.187437	73.000000	4.521978
1688.749145	559.458541	74.000000	12.162792
1809.210477	545.360448	75.000000	24.835585
1756.910196	548.222622	76.000000	12.140593
1887.226652	534.287043	77.000000	25.169243
1878.300653	593.670553	78.000000	17.934682
1812.128885	578.189559	79.000000	-6.637186
1943.025612	563.128793	80.000000	32.319981
1873.380595	548.478086	81.000000	37.401726
1809.149758	534.636654	82.000000	7.081897
1829.186354	580.545874	83.000000	19.667388
1766.725299	565.683120	84.000000	6.196722
1707.026376	551.418969	85.000000	36.143493
1650.656337	537.764235	86.000000	41.100118
1618.323804	579.178174	87.000000	14.780137
1714.588216	564.677919	88.000000	32.843334
1893.551846	550.263650	89.000000	29.378891
1829.394556	537.039676	90.000000	8.605388
1766.612795	523.523002	91.000000	2.653233
1932.665043	510.301146	92.000000	27.284631
1871.482069	505.932952	93.000000	11.253404
1828.136835	540.120251	94.000000	14.489531
1806.857982	602.092954	95.000000	16.816011
1919.929136	586.278298	96.000000	24.235528
1858.304459	579.626013	97.000000	11.088167
1926.014953	586.132212	98.000000	22.091589
2081.114221	570.451104	99.000000	26.023222
2023.413673	598.838449	100.000000	13.968275
2055.285784	637.731696	101.000000	20.436111
1978.624758	620.240712	102.000000	4.603516
1906.352323	603.577287	103.000000	-7.314718
2097.753258	587.309237	104.000000	28.956826
2020.698684	571.936170	105.000000	8.035692
2007.673261	634.707838	106.000000	17.949584
2124.294768	617.165675	107.000000	24.097782
2076.124086	674.275309	108.000000	15.484273
2085.342886	733.679598	109.000000	19.393993
2076.774751	808.508942	110.000000	18.457701
2279.935585	784.053570	111.000000	29.334043
2187.090297	760.355953	112.000000	2.553385
2168.589728	840.211819	113.000000	18.079799
2099.348048	862.936720	114.000000	13.318703
2301.437594	836.185693	115.000000	28.950380
2294.142822	810.133182	116.000000	34.204551
2199.907933	785.343434	117.000000	40.040837
2123.429840	761.866309	118.000000	34.899447
2270.740800	739.173053	119.000000	32.229509
2180.187256	717.406824	120.000000	6.840047
2304.166529	696.260365	121.000000	24.227300
2290.321960	766.209389	122.000000	18.529511
2197.510949	743.198164	123.000000	5.432353
2154.529957	822.559879	124.000000	16.399496
2077.884756	812.640053	125.000000	11.363943
2091.301360	877.763206	126.000000	19.685888
2180.330566	851.067972	127.000000	22.989480
2300.571224	824.637280	128.000000	24.138560
2206.350504	799.252162	129.000000	5.126373
2184.236275	883.662418	130.000000	17.929467
2097.198852	856.328906	131.000000	5.370559
2079.448898	946.086314	132.000000	17.999631
2099.390525	1011.587835	133.000000	20.076923
2016.338069	979.147612	134.000000	4.517288
2015.336561	1069.418472	135.000000	18.936396
2199.219561	1034.131532	136.000000	27.827945
2111.101500	1000.923549	137.000000	7.856722
2052.483010	1066.174739	138.000000	14.677037
1978.094766	1044.385367	139.000000	10.828710
1974.788285	1142.334672	140.000000	18.784199
1942.320788	1262.539209	141.000000	16.823744
1968.964059	1332.578456	142.000000	20.469434
2006.092459	1285.238361	143.000000	33.728179
2070.435008	1282.564836	144.000000	22.188887
2219.811052	1236.790405	145.000000	25.744987
2126.163206	1193.151852	146.000000	-5.002755
2296.650097	1151.444807	147.000000	26.629401
2499.938549	1110.730843	148.000000	28.119857
2387.858054	1071.746593	149.000000	-8.469527
2512.787213	1034.585537	150.000000	24.229216
2400.650804	999.138003	151.000000	-1.859657
2606.932045	965.096091	152.000000	31.096670
2528.423178	1047.221954	153.000000	15.484638
2550.418271	1101.755687	154.000000	20.586426
2439.836822	1067.838986	155.000000	9.655596
2547.314367	1030.640665	156.000000	23.579817
2762.876055	994.394645	157.000000	27.931815
2759.297547	1064.238762	158.000000	19.855446
2968.620048	1025.324950	159.000000	31.426574
3133.195991	987.383337	160.000000	25.178319
3220.353894	953.722081	161.000000	22.928378
3062.727971	931.953788	162.000000	11.003989
3163.705632	898.210796	163.000000	23.267855
3067.043496	989.217957	164.000000	16.613814
2915.618008	955.149595	165.000000	8.755479
2775.756373	922.144043	166.000000	7.776623
2644.942724	890.649982	167.000000	46.742701
2719.326551	883.519665	168.000000	22.383020
2826.233782	853.477943	169.000000	32.967829
2844.390243	897.791995	170.000000	20.628978
2894.732363	912.758508	171.000000	21.702558
2779.517983	942.060668	172.000000	13.660771
2758.336668	1021.965543	173.000000	19.166262
2628.034192	985.947620	174.000000	3.984393
2640.573436	1045.379185	175.000000	20.295583
2600.811876	1147.941907	176.000000	18.123240
2582.144286	1244.626583	177.000000	19.088428
2731.981508	1197.713105	178.000000	25.043667
2611.991941	1175.498622	179.000000	11.424224
2625.996677	1239.340668	180.000000	20.427423
2823.133668	1192.305363	181.000000	26.868392
2685.097171	1147.547984	182.000000	-1.560270
2774.061488	1107.235690	183.000000	22.958689
2644.828020	1069.008026	184.000000	8.731084
2858.648323	1030.434800	185.000000	31.197787
2982.620685	992.884200	186.000000	23.974048
2983.999695	1050.576997	187.000000	20.304877
3233.176690	1011.102593	188.000000	30.413781
3427.785561	972.504237	189.000000	25.985936
3679.183880	934.783800	190.000000	30.978436
3468.268390	898.856983	191.000000	2.510855
3578.623519	864.895908	192.000000	23.601914
3855.142569	831.764701	193.000000	30.016395
3632.501334	801.124348	194.000000	8.347430
3432.426526	772.805617	195.000000	8.433237
3448.055763	799.895627	196.000000	21.119576
3323.996727	876.574320	197.000000	16.133606
3155.061745	850.380340	198.000000	10.036738
3130.133438	915.062853	199.000000	19.585773
3389.748144	881.473225	200.000000	29.600113
3644.712743	848.377522	201.000000	28.196269
3653.542081	874.223719	202.000000	21.198496
3669.487132	894.745353	203.000000	21.398736
3532.699152	981.903467	204.000000	16.458810
3466.680366	1064.216432	205.000000	18.955813
3273.953010	1022.734934	206.000000	37.417798
3102.334187	984.768403	207.000000	7.574732
3314.440342	948.055267	208.000000	26.683572
3178.935824	1009.482068	209.000000	14.849582
3332.439050	971.324979	210.000000	24.768672
3505.594085	934.286260	211.000000	25.279107
3355.122607	994.693947	212.000000	14.872128
3173.856329	957.234619	213.000000	38.978998
3283.672235	921.762143	214.000000	23.540606
3160.089763	998.237038	215.000000	15.517735
3003.424360	967.393938	216.000000	9.974743
2883.823919	1011.423910	217.000000	14.157136
2748.242489	978.616955	218.000000	9.328671
2628.450200	958.788829	219.000000	11.066351
2517.522103	939.471953	220.000000	11.001639
2630.585791	907.804376	221.000000	23.684610
2846.836287	876.828208	222.000000	27.619324
2734.177945	901.112679	223.000000	13.480812
2857.883910	870.185245	224.000000	23.939561
3058.338230	839.960999	225.000000	31.726167
2961.549485	921.717520	226.000000	16.133324
2816.489321	889.471142	227.000000	5.142959
2916.742332	858.763601	228.000000	23.202999
3037.590993	828.971479	229.000000	23.799045
2886.672124	800.569335	230.000000	35.272310
2748.583957	773.964451	231.000000	44.232582
2904.590983	748.450359	232.000000	24.912699
3043.116132	723.472392	233.000000	24.278837
2893.565561	699.566483	234.000000	3.641047
2808.579309	768.921249	235.000000	16.065410
2677.819985	743.943270	236.000000	4.989478
2688.550234	720.196414	237.000000	33.942319
2587.232698	736.951423	238.000000	13.215978
2794.293088	713.464137	239.000000	31.419696
2953.882978	690.292294	240.000000	32.362981
2829.112822	693.802267	241.000000	12.498689
3008.638851	671.281248	242.000000	25.605599
3207.197960	649.059234	243.000000	26.097483
3121.354085	717.833602	244.000000	17.121733
3021.743967	788.427258	245.000000	16.107258
2873.898823	761.896892	246.000000	5.970893
2780.109931	826.183087	247.000000	15.395390
2667.032723	831.432748	248.000000	12.596671
2648.046877	906.032440	249.000000	19.003948
2672.517116	951.112757	250.000000	20.711605
2795.718533	918.191192	251.000000	23.965039
2665.920515	887.377074	252.000000	7.788388
2598.726914	979.079451	253.000000	16.515647
2821.682926	944.982721	254.000000	30.875323
2686.985567	912.254815	255.000000	0.362469
2660.712379	996.271532	256.000000	18.768900
2643.956005	961.647967	257.000000	34.158782
2545.445594	991.855914	258.000000	13.615635
2762.364609	957.432723	259.000000	27.997129
2930.312905	923.706456	260.000000	25.392082
2900.907652	1002.792561	261.000000	19.088874
3147.749519	966.080556	262.000000	29.255238
3000.947973	957.937442	263.000000	12.028290
3237.618564	922.936185	264.000000	27.954515
3386.372395	888.739038	265.000000	32.519414
3207.033663	856.879099	266.000000	7.887189
3142.199094	939.962607	267.000000	18.209607
2981.178121	906.082288	268.000000	3.788200
2833.957814	874.451383	269.000000	-0.552857
2794.245703	958.505552	270.000000	18.444751
2939.593220	924.634208	271.000000	24.624916
2795.535132	892.330853	272.000000	43.563930
3040.514023	861.277903	273.000000	29.548117
3220.061235	830.740874	274.000000	25.535413
3415.811610	800.837568	275.000000	25.935068
3323.916460	881.944494	276.000000	17.588118
3293.150619	946.179158	277.000000	19.676218
3197.565635	1041.921511	278.000000	17.158014
3267.868219	1022.961145	279.000000	22.523787
3232.320075	1099.434472	280.000000	19.504410
3345.752195	1056.543375	281.000000	23.708259
3165.433830	1016.067790	282.000000	5.476799
3371.064932	977.523465	283.000000	26.406397
3380.792403	1013.497591	284.000000	20.988704
3238.774198	1077.559496	285.000000	14.837131
3066.873198	1036.507502	286.000000	-0.139533
2982.197316	998.149350	287.000000	34.518219
2836.801283	963.199804	288.000000	8.168432
2900.215966	929.101207	289.000000	33.400162
3017.863499	896.179636	290.000000	23.736278
2958.196448	985.211408	291.000000	17.995945
2845.716381	1041.947261	292.000000	14.559473
2787.374136	1146.323894	293.000000	17.713054
2867.413492	1118.194366	294.000000	22.696324
3019.857502	1076.171530	295.000000	24.887805
3220.969831	1035.349744	296.000000	26.404111
3244.503962	1064.749421	297.000000	21.253165
3119.076865	1146.584528	298.000000	15.340076
3258.019596	1101.772002	299.000000	24.424790
3086.278626	1059.750787	300.000000	7.236415
2998.040905	1166.493985	301.000000	16.928845
2929.918660	1280.125394	302.000000	17.742783
2787.631316	1235.493982	303.000000	9.597675
2651.892848	1188.693000	304.000000	35.254850
2823.199868	1144.210282	305.000000	25.731920
3035.490071	1100.941073	306.000000	27.168294
2883.607226	1060.335245	307.000000	7.678969
2947.026997	1056.395473	308.000000	22.190779
2875.489522	1163.132423	309.000000	17.347673
2885.090786	1221.314677	310.000000	20.540664
2845.907595	1326.902171	311.000000	18.785856
2768.866516	1457.187671	312.000000	16.932567
