N1	N2	time	env
250.000000	250.000000	0.000000	20.000000
1002.873508	889.850882	10.000000	29.743835
1621.388998	1087.488488	20.000000	14.374407
3599.624003	1819.645493	30.000000	14.682131
4192.417623	1535.273282	40.000000	26.085565
3451.269679	1001.051431	50.000000	18.313192
1941.889457	1667.411010	60.000000	9.952627
2413.275647	2099.087775	70.000000	21.192588
2247.080543	2022.398461	80.000000	19.598844
5161.149014	953.980438	90.000000	32.925923
3566.743132	589.215740	100.000000	22.784527
2719.341924	584.297937	110.000000	7.947262
3362.489455	852.345779	120.000000	32.070419
2007.255144	802.490626	130.000000	-1.049604
2348.270530	565.759937	140.000000	3.203028
2238.662864	1349.526529	150.000000	16.783775
2164.883308	2226.552162	160.000000	18.446223
2160.443866	1981.695852	170.000000	29.210603
1129.169910	3387.268135	180.000000	13.130489
699.672469	4429.854158	190.000000	12.356472
1419.653932	2621.484740	200.000000	27.271927
1349.621104	3883.521535	210.000000	14.928703
2394.830440	1582.155961	220.000000	25.988933
1731.373183	2734.569063	230.000000	13.739704
1303.265538	2294.496352	240.000000	1.915049
2318.971505	2055.678909	250.000000	22.152523
2899.764325	1890.503713	260.000000	17.618817
3262.122318	1905.465933	270.000000	16.151101
2860.437822	1329.607081	280.000000	24.756638
2904.840397	1008.850722	290.000000	19.774350
3037.803249	899.152521	300.000000	33.689442
2634.078538	1708.672130	310.000000	24.542680
3808.548701	1751.863205	320.000000	27.562746
2633.133781	1571.065970	330.000000	13.719369
3330.764075	951.340408	340.000000	26.402847
2572.951532	732.705813	350.000000	8.173720
4501.630282	1028.726400	360.000000	17.726371
2778.927326	2172.123580	370.000000	15.540917
1493.706129	2736.049260	380.000000	17.117282
1988.375558	1947.357783	390.000000	6.775992
2084.558441	1253.414977	400.000000	12.471114
2722.766610	483.867211	410.000000	5.821492
3102.051878	747.398271	420.000000	44.708509
3419.465421	1114.949966	430.000000	20.336820
4530.406568	1083.012377	440.000000	29.592577
2627.620809	847.629288	450.000000	38.957078
1099.243566	1668.055300	460.000000	6.419079
3184.059527	1332.955855	470.000000	24.461225
2150.011229	1766.497188	480.000000	11.552012
2052.594653	2161.378071	490.000000	24.701457
3558.691373	1806.286565	500.000000	29.271086
2892.929450	1818.705163	510.000000	34.534822
2070.121235	2280.752192	520.000000	18.333279
5306.412276	1037.754584	530.000000	28.054683
3467.508934	596.862938	540.000000	18.247861
4507.489549	959.902656	550.000000	30.892263
1862.184824	2561.520010	560.000000	17.698427
3254.325281	1611.280196	570.000000	15.517388
2735.346290	3011.237794	580.000000	23.999348
1835.745315	1280.266744	590.000000	9.483126
3763.424150	1227.810198	600.000000	20.948102
4674.545773	436.001770	610.000000	7.145430
2967.937588	743.061718	620.000000	17.709986
1520.109631	1299.806333	630.000000	14.273915
1109.403088	4025.658364	640.000000	17.982760
1595.278169	2700.215701	650.000000	9.762150
2122.137736	2096.911152	660.000000	1.517207
2234.996412	1554.776237	670.000000	-1.253240
6828.212874	773.167492	680.000000	30.663126
1843.662118	1191.176285	690.000000	10.153571
1433.889753	1414.638413	700.000000	11.188294
3589.484038	1252.909194	710.000000	23.327176
2775.153983	1430.564143	720.000000	10.012740
2125.333532	2015.040566	730.000000	10.651884
2805.441296	1449.094216	740.000000	42.067073
2984.014667	2861.464987	750.000000	21.460725
4102.404723	821.869829	760.000000	2.525139
2640.991114	668.671848	770.000000	19.285713
3127.166679	929.367621	780.000000	1.555529
1918.629489	3947.915230	790.000000	18.422502
2866.670847	949.081728	800.000000	26.107056
3687.392760	1555.794449	810.000000	18.900400
4311.177592	649.644737	820.000000	23.479406
1844.436117	1581.863758	830.000000	15.744439
2111.893625	2567.051823	840.000000	25.425439
2840.932208	1978.738257	850.000000	9.539583
2174.209570	2960.137062	860.000000	26.388889
1872.386167	2642.540976	870.000000	15.727035
1082.917667	2460.943070	880.000000	0.669810
3179.317311	1593.078249	890.000000	32.591657
2370.107529	1632.838512	900.000000	19.944867
4315.563371	893.008035	910.000000	21.420217
2231.338974	923.838147	920.000000	13.916266
2349.992285	719.023612	930.000000	24.927148
1703.245143	2910.494225	940.000000	18.790482
1595.112424	4063.119298	950.000000	20.811517
1569.432194	4473.374392	960.000000	19.568196
1513.308267	2697.033377	970.000000	39.221646
1226.040924	1539.469032	980.000000	30.227982
2384.608861	1171.223968	990.000000	6.738284
3255.193900	1995.674914	1000.000000	16.389344
2371.294975	1468.494381	1010.000000	30.708769
2697.185226	1922.006375	1020.000000	18.014857
2090.369643	1859.696958	1030.000000	20.805507
3238.876975	1122.960228	1040.000000	8.128208
3083.522343	1267.133591	1050.000000	21.781497
1946.743149	2829.162628	1060.000000	21.583245
1938.851532	2697.181520	1070.000000	16.173329
2080.548178	2262.168575	1080.000000	11.362155
3043.468044	1847.178795	1090.000000	28.248677
3693.767828	746.536845	1100.000000	31.902285
4311.863552	501.300343	1110.000000	11.980802
1970.186152	389.198955	1120.000000	18.916170
2489.394844	1284.555026	1130.000000	16.232853
1629.963802	2261.810285	1140.000000	14.983567
2432.363090	1775.291938	1150.000000	6.885311
3170.131079	1143.082446	1160.000000	11.935581
2433.532487	1817.733878	1170.000000	13.938473
2047.014367	1406.942948	1180.000000	7.597950
1452.987726	3422.831295	1190.000000	14.999067
2178.125082	1939.070620	1200.000000	23.949234
1761.811122	3877.756088	1210.000000	18.006436
1786.997214	4456.903150	1220.000000	18.266652
1653.051935	1647.320925	1230.000000	8.018763
3032.087738	1704.298971	1240.000000	18.630822
2832.198541	1297.007907	1250.000000	41.730627
2054.897391	2546.306941	1260.000000	12.401602
1458.753511	1824.017070	1270.000000	20.579624
2387.294295	2233.506746	1280.000000	10.988697
5993.357010	784.478198	1290.000000	21.105748
4274.014488	576.660839	1300.000000	17.701766
6192.867632	278.149326	1310.000000	27.387284
3037.246767	469.895563	1320.000000	16.923381
3501.538651	370.872450	1330.000000	25.774003
3388.595146	795.031330	1340.000000	25.753780
2526.038582	765.364601	1350.000000	21.679963
3087.639428	652.908470	1360.000000	16.983988
3327.211683	626.206671	1370.000000	28.256123
2216.404537	841.526259	1380.000000	10.952988
2634.665496	549.361646	1390.000000	19.444847
2799.848398	1856.101312	1400.000000	17.241952
2491.341202	801.145397	1410.000000	0.215669
3162.440385	563.035548	1420.000000	23.081507
