N1	N2	time	env
250.000000	250.000000	0.000000	20.000000
2102.362270	1475.153568	100.000000	2.379339
344.854514	2387.727573	200.000000	13.761534
2164.988765	1218.036288	300.000000	6.940656
4254.146903	439.616641	400.000000	20.994774
1653.930382	3816.667303	500.000000	16.717052
3937.736664	526.478488	600.000000	31.366576
2248.024495	2907.952549	700.000000	29.684020
3713.939948	1597.196056	800.000000	23.653916
4333.271407	956.230063	900.000000	27.628519
1711.716657	1485.572941	1000.000000	7.382045
1431.804736	2104.447041	1100.000000	12.571946
2000.300736	1665.850066	1200.000000	10.254007
3250.663603	662.170140	1300.000000	25.490066
2087.941758	1432.309276	1400.000000	14.084691
2535.786366	970.265768	1500.000000	37.458016
2051.895454	1631.510537	1600.000000	8.541509
2248.056956	3288.542162	1700.000000	18.580817
2309.404435	1540.685462	1800.000000	16.467152
3962.601116	792.598653	1900.000000	23.289260
4338.714463	1140.778913	2000.000000	14.253531
3881.131162	1729.145634	2100.000000	29.359205
3864.671875	1287.082657	2200.000000	32.088204
3851.614744	994.900567	2300.000000	23.369662
1705.700869	1508.241957	2400.000000	21.957528
3793.148535	1629.871840	2500.000000	17.162090
1101.557038	4416.752889	2600.000000	17.110922
2110.102284	1101.139907	2700.000000	2.383219
2602.493637	1528.106979	2800.000000	5.955230
2472.648654	1148.201280	2900.000000	25.371723
2078.397431	1180.650401	3000.000000	23.267117
2017.699980	1545.046519	3100.000000	38.526973
1175.132004	1448.274909	3200.000000	15.730476
2416.557121	1434.114177	3300.000000	44.661856
2530.394061	1582.328899	3400.000000	28.806129
2031.331542	2454.774570	3500.000000	14.669031
3398.646988	2862.762417	3600.000000	16.461846
3326.729820	1122.505348	3700.000000	9.195284
2691.751575	680.406046	3800.000000	33.913786
4458.038496	587.672472	3900.000000	22.602244
3428.116125	988.660116	4000.000000	24.584082
3280.323766	1439.923750	4100.000000	22.344013
2356.767634	2295.021355	4200.000000	31.871873
4360.551910	1088.387657	4300.000000	21.685749
3198.113786	1247.669685	4400.000000	28.638474
2958.000802	1260.141961	4500.000000	8.611592
3457.386559	281.706304	4600.000000	27.332927
